symbol,timeframe,cut_number,as_of_bar_time,previous_phase,current_phase,transition_type,pivot_set_changed,display_policy
EURUSD.r,H4,1,2025-08-26T00:00:00,not_applicable,possible_wave1,initial_cut,False,show_with_warning
EURUSD.r,H4,2,2025-09-16T20:00:00,possible_wave1,possible_wave1,stable,False,show_with_warning
EURUSD.r,H4,3,2025-10-08T20:00:00,possible_wave1,possible_wave2,phase_change,True,show_with_warning
EURUSD.r,H4,4,2025-10-30T16:00:00,possible_wave2,possible_wave3_candidate,phase_change,True,show_with_warning
EURUSD.r,H4,5,2025-11-21T16:00:00,possible_wave3_candidate,possible_wave5_candidate,phase_change,True,show_with_warning
EURUSD.r,H4,6,2025-12-15T12:00:00,possible_wave5_candidate,possible_wave5_active,phase_change,True,show_with_warning
EURUSD.r,H4,7,2026-01-08T12:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
EURUSD.r,H4,8,2026-01-30T08:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
EURUSD.r,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
EURUSD.r,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,stable,False,show_with_warning
GBPUSD.r,H4,1,2025-08-26T00:00:00,not_applicable,possible_wave1,initial_cut,False,show_with_warning
GBPUSD.r,H4,2,2025-09-16T20:00:00,possible_wave1,possible_wave1,stable,False,show_with_warning
GBPUSD.r,H4,3,2025-10-08T20:00:00,possible_wave1,possible_wave2,phase_change,True,show_with_warning
GBPUSD.r,H4,4,2025-10-30T16:00:00,possible_wave2,possible_wave5_active,phase_change,True,show_with_warning
GBPUSD.r,H4,5,2025-11-21T16:00:00,possible_wave5_active,possible_wave5_candidate,phase_change,False,show_with_warning
GBPUSD.r,H4,6,2025-12-15T12:00:00,possible_wave5_candidate,possible_wave5_candidate,stable,True,show_with_warning
GBPUSD.r,H4,7,2026-01-08T12:00:00,possible_wave5_candidate,possible_wave5_candidate,stable,False,show_with_warning
GBPUSD.r,H4,8,2026-01-30T08:00:00,possible_wave5_candidate,possible_wave5_active,phase_change,True,show_with_warning
GBPUSD.r,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
GBPUSD.r,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,stable,False,show_with_warning
US500,H4,1,2025-08-25T08:00:00,not_applicable,possible_wave1,initial_cut,False,show_with_warning
US500,H4,2,2025-09-16T08:00:00,possible_wave1,possible_wave2,phase_change,True,show_with_warning
US500,H4,3,2025-10-08T08:00:00,possible_wave2,possible_wave2,stable,False,show_with_warning
US500,H4,4,2025-10-30T04:00:00,possible_wave2,possible_wave3_active,phase_change,True,show_with_warning
US500,H4,5,2025-11-21T04:00:00,possible_wave3_active,possible_wave4,phase_change,True,show_with_warning
US500,H4,6,2025-12-15T04:00:00,possible_wave4,possible_wave5_candidate,phase_change,True,show_with_warning
US500,H4,7,2026-01-08T04:00:00,possible_wave5_candidate,possible_wave5_active,phase_change,True,show_with_warning
US500,H4,8,2026-01-30T04:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
US500,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
US500,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
XAUUSD.r,H4,1,2025-08-26T00:00:00,not_applicable,possible_wave1,initial_cut,False,show_with_warning
XAUUSD.r,H4,2,2025-09-16T20:00:00,possible_wave1,possible_wave2,phase_change,True,show_with_warning
XAUUSD.r,H4,3,2025-10-08T20:00:00,possible_wave2,possible_wave2,stable,False,show_with_warning
XAUUSD.r,H4,4,2025-10-30T16:00:00,possible_wave2,possible_wave2,stable,False,show_with_warning
XAUUSD.r,H4,5,2025-11-21T16:00:00,possible_wave2,possible_wave4,phase_change,True,show_with_warning
XAUUSD.r,H4,6,2025-12-15T12:00:00,possible_wave4,possible_wave5_active,phase_change,True,show_with_warning
XAUUSD.r,H4,7,2026-01-08T12:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
XAUUSD.r,H4,8,2026-01-30T08:00:00,possible_wave5_active,possible_wave5_active,stable,False,show_with_warning
XAUUSD.r,H4,9,2026-02-23T08:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
XAUUSD.r,H4,10,2026-03-17T04:00:00,possible_wave5_active,possible_wave5_active,stable,True,show_with_warning
