case_id,symbol,market_group,timeframe,segment_order,segment_label,start_label,end_label,start_time,end_time,start_price,end_price,segment_kind
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-03-11 17:00:00,2026-03-13 23:00:00,0.97591,0.95707,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,1,W2? actual,W1,W2?,2026-03-13 23:00:00,2026-03-16 22:00:00,0.95707,0.96822,current
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-03-09 00:00:00,2026-03-11 16:00:00,0.94619,0.97591,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-03-11 16:00:00,2026-03-13 20:00:00,0.97591,0.95707,previous
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,2,W3? actual,W2,W3?,2026-03-13 20:00:00,2026-03-17 04:00:00,0.95707,0.96779,current
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-03-11 18:00:00,2026-03-16 00:00:00,113.959,111.463,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,1,W2? actual,W1,W2?,2026-03-16 00:00:00,2026-03-16 22:00:00,111.463,112.583,current
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-03-05 16:00:00,2026-03-11 16:00:00,110.066,113.959,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,1,W2 previa,W1,W2,2026-03-11 16:00:00,2026-03-16 00:00:00,113.959,111.463,previous
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,2,W3? actual,W2,W3?,2026-03-16 00:00:00,2026-03-17 04:00:00,111.463,112.622,current
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,0,W1 previa,origen,W1,2026-03-06 00:00:00,2026-03-06 14:00:00,1.18614,1.19355,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,1,W2 previa,W1,W2,2026-03-06 14:00:00,2026-03-09 13:00:00,1.19355,1.18703,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,2,W3 previa,W2,W3,2026-03-09 13:00:00,2026-03-13 09:00:00,1.18703,1.21204,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,3,W4 previa,W3,W4,2026-03-13 09:00:00,2026-03-16 06:00:00,1.21204,1.20543,previous
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,4,W5? actual,W4,W5?,2026-03-16 06:00:00,2026-03-17 09:00:00,1.20543,1.21409,current
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,0,W1 previa,origen,W1,2026-03-02 00:00:00,2026-03-03 08:00:00,1.18031,1.19803,previous
