case_id,symbol,market_group,timeframe,point_order,point_label,point_time,point_price,point_kind,pivot_type,structural_pivot_id
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,0,origen,2026-03-11 17:00:00,0.97591,pivot,high,53
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,1,W1,2026-03-13 23:00:00,0.95707,pivot,low,54
weavecount_screener_h1_h4_v1|AUDCAD.r|H1|W2?|2026-03-17 09:00:00,AUDCAD.r,Forex Majors,H1,2,W2?,2026-03-16 22:00:00,0.96822,current,high,55
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,0,origen,2026-03-09 00:00:00,0.94619,pivot,low,80
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,1,W1,2026-03-11 16:00:00,0.97591,pivot,high,81
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,2,W2,2026-03-13 20:00:00,0.95707,pivot,low,82
weavecount_screener_h1_h4_v1|AUDCAD.r|H4|W3?|2026-03-17 04:00:00,AUDCAD.r,Forex Majors,H4,3,W3?,2026-03-17 04:00:00,0.96779,latest,,
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,0,origen,2026-03-11 18:00:00,113.959,pivot,high,61
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,1,W1,2026-03-16 00:00:00,111.463,pivot,low,62
weavecount_screener_h1_h4_v1|AUDJPY.r|H1|W2?|2026-03-17 09:00:00,AUDJPY.r,Forex Majors,H1,2,W2?,2026-03-16 22:00:00,112.583,current,high,63
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,0,origen,2026-03-05 16:00:00,110.066,pivot,low,71
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,1,W1,2026-03-11 16:00:00,113.959,pivot,high,72
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,2,W2,2026-03-16 00:00:00,111.463,pivot,low,73
weavecount_screener_h1_h4_v1|AUDJPY.r|H4|W3?|2026-03-17 04:00:00,AUDJPY.r,Forex Majors,H4,3,W3?,2026-03-17 04:00:00,112.622,latest,,
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,0,origen,2026-03-06 00:00:00,1.18614,pivot,low,38
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,1,W1,2026-03-06 14:00:00,1.19355,pivot,high,39
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,2,W2,2026-03-09 13:00:00,1.18703,pivot,low,40
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,3,W3,2026-03-13 09:00:00,1.21204,pivot,high,41
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,4,W4,2026-03-16 06:00:00,1.20543,pivot,low,42
weavecount_screener_h1_h4_v1|AUDNZD.r|H1|W5?|2026-03-17 09:00:00,AUDNZD.r,Forex Majors,H1,5,W5?,2026-03-17 09:00:00,1.21409,latest,,
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,0,origen,2026-03-02 00:00:00,1.18031,pivot,low,74
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,1,W1,2026-03-03 08:00:00,1.19803,pivot,high,75
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,2,W2,2026-03-06 00:00:00,1.18614,pivot,low,76
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,3,W3,2026-03-13 08:00:00,1.21204,pivot,high,77
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,4,W4,2026-03-16 04:00:00,1.20543,pivot,low,78
weavecount_screener_h1_h4_v1|AUDNZD.r|H4|W5?|2026-03-17 04:00:00,AUDNZD.r,Forex Majors,H4,5,W5?,2026-03-17 04:00:00,1.21074,latest,,
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W3?|2026-03-17 09:00:00,AUDUSD.r,Forex Majors,H1,0,origen,2026-03-11 07:00:00,0.71854,pivot,high,57
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W3?|2026-03-17 09:00:00,AUDUSD.r,Forex Majors,H1,1,W1,2026-03-13 23:00:00,0.69787,pivot,low,58
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W3?|2026-03-17 09:00:00,AUDUSD.r,Forex Majors,H1,2,W2,2026-03-16 22:00:00,0.70823,pivot,high,59
weavecount_screener_h1_h4_v1|AUDUSD.r|H1|W3?|2026-03-17 09:00:00,AUDUSD.r,Forex Majors,H1,3,W3?,2026-03-17 09:00:00,0.70713,latest,,
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-03-17 04:00:00,AUDUSD.r,Forex Majors,H4,0,origen,2026-03-09 04:00:00,0.69562,pivot,low,75
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-03-17 04:00:00,AUDUSD.r,Forex Majors,H4,1,W1,2026-03-11 16:00:00,0.71872,pivot,high,76
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-03-17 04:00:00,AUDUSD.r,Forex Majors,H4,2,W2,2026-03-13 20:00:00,0.69787,pivot,low,77
weavecount_screener_h1_h4_v1|AUDUSD.r|H4|W3?|2026-03-17 04:00:00,AUDUSD.r,Forex Majors,H4,3,W3?,2026-03-17 04:00:00,0.70726,latest,,
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W3?|2026-03-17 09:00:00,CADCHF.r,Forex Majors,H1,0,origen,2026-03-10 00:00:00,0.57084,pivot,low,52
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W3?|2026-03-17 09:00:00,CADCHF.r,Forex Majors,H1,1,W1,2026-03-13 11:00:00,0.57771,pivot,high,53
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W3?|2026-03-17 09:00:00,CADCHF.r,Forex Majors,H1,2,W2,2026-03-17 00:00:00,0.57439,pivot,low,54
weavecount_screener_h1_h4_v1|CADCHF.r|H1|W3?|2026-03-17 09:00:00,CADCHF.r,Forex Majors,H1,3,W3?,2026-03-17 09:00:00,0.57608,latest,,
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,0,origen,2026-03-02 00:00:00,0.56124,pivot,low,81
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,1,W1,2026-03-03 12:00:00,0.57443,pivot,high,82
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,2,W2,2026-03-05 00:00:00,0.56999,pivot,low,83
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,3,W3,2026-03-13 08:00:00,0.57771,pivot,high,84
weavecount_screener_h1_h4_v1|CADCHF.r|H4|W4?|2026-03-17 04:00:00,CADCHF.r,Forex Majors,H4,4,W4?,2026-03-17 04:00:00,0.57598,latest,,
weavecount_screener_h1_h4_v1|CADJPY.r|H1|W3?|2026-03-17 09:00:00,CADJPY.r,Forex Majors,H1,0,origen,2026-03-16 10:00:00,116.041,pivot,low,52
