phase,metric,value,share_pct,interpretation
2.5.6,total_candidates,108,100.0,Politica oficial vigente.
2.5.6,bucket_exclude_from_guided_search,90,83.33,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_auxiliary_low_prominence_substructure,7,6.48,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_usable_provisional_structure,4,3.7,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_auxiliary_substructure,4,3.7,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_high_quality_structure,1,0.93,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_visual_watchlist_low_prominence,1,0.93,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.6,bucket_experimental_only,1,0.93,Distribucion de phase256_policy_bucket en 2.5.6.
2.5.7,total_candidates,162,100.0,Expansion descriptiva estratificada por mercado.
2.5.7,market_group_Forex Majors,72,44.44,Distribucion de resolved_market_group en 2.5.7.
2.5.7,market_group_Metals,45,27.78,Distribucion de resolved_market_group en 2.5.7.
2.5.7,market_group_Index,45,27.78,Distribucion de resolved_market_group en 2.5.7.
2.5.8,decision,use_robust_window_prominence_next,,Auditoria de normalizacion/prominencia.
2.5.8,robust_improvement_cases,30,,Auditoria de normalizacion/prominencia.
2.5.8,true_low_metals_cases,0,,Auditoria de normalizacion/prominencia.
2.5.8,metals_diagnosis_alternative_metrics_unavailable,15,50.0,Distribucion de metals_prominence_diagnosis en 2.5.8.
2.5.8,metals_diagnosis_visual_window_too_large_possible,14,46.67,Distribucion de metals_prominence_diagnosis en 2.5.8.
2.5.8,metals_diagnosis_metals_prominence_acceptable_in_this_case,1,3.33,Distribucion de metals_prominence_diagnosis en 2.5.8.
2.5.9,total_candidates,162,100.0,Trial de prominencia robusta.
2.5.9,prominence_diagnostic_not_applicable,66,40.74,Distribucion de phase259_prominence_diagnostic en 2.5.9.
2.5.9,prominence_diagnostic_insufficient_prominence_context,54,33.33,Distribucion de phase259_prominence_diagnostic en 2.5.9.
2.5.9,prominence_diagnostic_robust_prominence_confirmed,26,16.05,Distribucion de phase259_prominence_diagnostic en 2.5.9.
2.5.9,prominence_diagnostic_window_distorted_low_prominence,13,8.02,Distribucion de phase259_prominence_diagnostic en 2.5.9.
2.5.9,prominence_diagnostic_true_low_prominence,3,1.85,Distribucion de phase259_prominence_diagnostic en 2.5.9.
2.5.9,bucket_change_unchanged,162,100.0,Distribucion de phase259_bucket_change_vs_256 en 2.5.9.
2.5.9,recommendation,adopt_robust_prominence_as_diagnostic_only,,Robust prominence is useful diagnostically but does not change buckets in this sample.
