candidate_id,structure_type,timeframe_policy,swing_degree,matches_guided_impulse_profile,guided_profile_match_score,phase252_candidate_action,phase252_reason,chart_path
impulse_forex_audjpy_h4_minor_impulse_005,impulse,primary_h4_d1,minor,near_miss,78,manual_review_before_expansion,Near-miss because minor_substructure; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,impulse,primary_h4_d1,minor,near_miss,78,manual_review_before_expansion,Near-miss because minor_substructure; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,impulse,primary_h4_d1,minor,near_miss,78,manual_review_before_expansion,Near-miss because minor_substructure; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,primary_h4_d1,minor,no,60,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,intermediate,yes,100,keep_as_seed_example,Defines the minimal H4/D1 intermediate guided impulse profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,primary_h4_d1,intermediate,yes,100,keep_as_seed_example,Defines the minimal H4/D1 intermediate guided impulse profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,primary_h4_d1,intermediate,near_miss,90,manual_review_before_expansion,Near-miss due to context_conflict. Do not force into seed set.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,primary_h4_d1,intermediate,yes,100,keep_as_seed_example,Defines the minimal H4/D1 intermediate guided impulse profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,invalid_or_negative,primary_h4_d1,major,no,42,use_as_negative_example,Excluded or negative candidate confirms the profile should not rescue bad counts.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,primary_h4_d1,major,near_miss,78,manual_review_before_expansion,Near-miss because higher_degree_context; useful context but not base profile.,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\010_impulse_metals_xpdusd_h4_major_impulse_001.png
