candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order
impulse_exp252_forex_audjpy_h4_minor_impulse_004,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,4,9,2025-08-27 00:00:00,2025-09-12 12:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png,1
impulse_exp252_metals_xagusd_h4_minor_impulse_004,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_minor_impulse_004,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,4,9,2025-08-27 12:00:00,2025-09-03 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,2
impulse_exp252_index_aus200_h4_minor_impulse_028,impulse,impulse_diagnostics,exp252_index_aus200_h4_minor_impulse_028,exp252_index_aus200_h4,Index,AUS200,H4,minor,bearish,strict_candidate_impulse,full_impulse_12345,28,33,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,3
impulse_exp252_forex_audjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_022,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2025-10-17 08:00:00,2025-11-03 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,4
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_intermediate_impulse_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 16:00:00,2025-09-12 12:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,5
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_intermediate_impulse_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 08:00:00,2025-09-03 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,6
impulse_exp252_index_aus200_h4_intermediate_impulse_020,impulse,impulse_diagnostics,exp252_index_aus200_h4_intermediate_impulse_020,exp252_index_aus200_h4,Index,AUS200,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,20,25,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,7
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,impulse,impulse_diagnostics,exp252_forex_eurjpy_h4_intermediate_impulse_007,exp252_forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2025-09-09 12:00:00,2025-09-26 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png,8
impulse_exp252_forex_eurusd_h4_major_impulse_016,impulse,impulse_diagnostics,exp252_forex_eurusd_h4_major_impulse_016,exp252_forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2025-11-21 16:00:00,2025-12-24 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png,9
impulse_exp252_metals_xagusd_h4_major_impulse_002,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_major_impulse_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 08:00:00,2025-10-09 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png,10
impulse_exp252_index_aus200_h4_major_impulse_016,impulse,impulse_diagnostics,exp252_index_aus200_h4_major_impulse_016,exp252_index_aus200_h4,Index,AUS200,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,16,21,2025-10-21 04:00:00,2025-11-21 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\011_impulse_exp252_index_aus200_h4_major_impulse_016.png,11
impulse_exp252_forex_eurusd_h4_major_impulse_029,impulse,impulse_diagnostics,exp252_forex_eurusd_h4_major_impulse_029,exp252_forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,29,34,2026-02-23 00:00:00,2026-03-09 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\impulses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png,12
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,partial_123,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 16:00:00,2025-09-03 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,13
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,partial_123,partial_impulses,exp252_metals_xagusd_h4_intermediate_partial123_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 08:00:00,2025-09-01 08:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,14
partial_123_exp252_index_aus200_h4_intermediate_partial123_001,partial_123,partial_impulses,exp252_index_aus200_h4_intermediate_partial123_001,exp252_index_aus200_h4,Index,AUS200,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-08-13 04:00:00,2025-08-25 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,15
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,partial_123,partial_impulses,exp252_forex_audjpy_h4_intermediate_partial123_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,4,7,2025-08-27 00:00:00,2025-09-12 12:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,16
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,partial_123,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 16:00:00,2025-08-28 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,17
partial_123_exp252_metals_xagusd_h4_minor_partial123_002,partial_123,partial_impulses,exp252_metals_xagusd_h4_minor_partial123_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,2,5,2025-08-20 08:00:00,2025-08-28 20:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\018_partial_123_exp252_metals_xagusd_h4_minor_partial123_002.png,18
partial_123_exp252_index_aus200_h4_minor_partial123_001,partial_123,partial_impulses,exp252_index_aus200_h4_minor_partial123_001,exp252_index_aus200_h4,Index,AUS200,H4,minor,bullish,partial_123_candidate,partial_impulse_123,1,4,2025-08-13 04:00:00,2025-08-25 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\019_partial_123_exp252_index_aus200_h4_minor_partial123_001.png,19
partial_123_exp252_forex_audjpy_h4_minor_partial123_004,partial_123,partial_impulses,exp252_forex_audjpy_h4_minor_partial123_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123_candidate,partial_impulse_123,4,7,2025-08-27 00:00:00,2025-09-03 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_3_h4_d1_expanded\charts\partials\020_partial_123_exp252_forex_audjpy_h4_minor_partial123_004.png,20
