candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path
impulse_exp252_forex_audjpy_h4_minor_impulse_004,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_004,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,4,9,2025-08-27 00:00:00,2025-09-12 12:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png,1,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.843428571428575,0.19385714285715494,positive,D1,2025-09-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_minor_impulse_004,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,4,9,2025-08-27 12:00:00,2025-09-03 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,2,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.192785714285705,0.0010857142857076951,positive,D1,2025-09-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
impulse_exp252_index_aus200_h4_minor_impulse_028,impulse,impulse_diagnostics,exp252_index_aus200_h4_minor_impulse_028,exp252_index_aus200_h4,Index,AUS200,H4,minor,bearish,strict_candidate_impulse,full_impulse_12345,28,33,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,3,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-96.68314285714223,-10.150285714285928,negative,D1,2025-11-04,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png
impulse_exp252_forex_audjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_minor_impulse_022,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2025-10-17 08:00:00,2025-11-03 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,4,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.4961857142857298,-0.0522285714285573,positive,D1,2025-10-31,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,impulse,impulse_diagnostics,exp252_forex_audjpy_h4_intermediate_impulse_002,exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 16:00:00,2025-09-12 12:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,5,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.843428571428575,0.19385714285715494,positive,D1,2025-09-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_intermediate_impulse_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 08:00:00,2025-09-03 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png,6,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.192785714285705,0.0010857142857076951,positive,D1,2025-09-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_index_aus200_h4_intermediate_impulse_020,impulse,impulse_diagnostics,exp252_index_aus200_h4_intermediate_impulse_020,exp252_index_aus200_h4,Index,AUS200,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,20,25,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,7,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-96.68314285714223,-10.150285714285928,negative,D1,2025-11-04,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,impulse,impulse_diagnostics,exp252_forex_eurjpy_h4_intermediate_impulse_007,exp252_forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2025-09-09 12:00:00,2025-09-26 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png,8,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=inside_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.45311428571426404,0.05802857142850826,positive,D1,2025-09-25,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
impulse_exp252_forex_eurusd_h4_major_impulse_016,impulse,impulse_diagnostics,exp252_forex_eurusd_h4_major_impulse_016,exp252_forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2025-11-21 16:00:00,2025-12-24 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png,9,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.004141285714285736,0.0007587142857143903,positive,D1,2025-12-23,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,impulse,impulse_diagnostics,exp252_metals_xagusd_h4_major_impulse_002,exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,2,7,2025-08-20 08:00:00,2025-10-09 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png,10,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.1620428571428576,0.19274285714286066,positive,D1,2025-10-08,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
