candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_007,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,7,12,2026-01-15 11:00:00,2026-01-19 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,1,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.4360714285714238,-0.06172857142857424,negative,H4,2026-01-16 20:00:00,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_minor_impulse_005,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,5,10,2026-01-13 01:00:00,2026-01-15 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,2,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,2.841314285714276,0.42717142857141255,positive,H4,2026-01-14 20:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png
impulse_aux252b_index_aus200_h1_minor_impulse_014,impulse,impulse_diagnostics,aux252b_index_aus200_h1_minor_impulse_014,aux252b_index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,14,19,2026-01-16 04:00:00,2026-01-21 15:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png,3,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-25.161428571427678,-9.23285714285521,negative,H4,2026-01-21 08:00:00,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png
impulse_aux252b_forex_audjpy_h1_minor_impulse_016,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_016,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2026-01-20 15:00:00,2026-01-22 09:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png,4,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.9931857142857012,0.2021999999999906,positive,H4,2026-01-22 04:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_016,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2026-01-27 15:00:00,2026-01-30 17:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,5,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.2151285714285649,0.2647571428571496,positive,H4,2026-01-30 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_intermediate_impulse_036,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,36,41,2026-02-16 11:00:00,2026-02-18 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,6,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-1.6857428571428557,0.48931428571428626,negative,H4,2026-02-17 20:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,impulse,impulse_diagnostics,aux252b_index_aus200_h1_intermediate_impulse_007,aux252b_index_aus200_h1,Index,AUS200,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2026-01-13 17:00:00,2026-01-16 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,7,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,23.545714285712165,9.231428571425567,positive,H4,2026-01-16 00:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_022,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2026-02-02 08:00:00,2026-02-04 14:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,8,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.6443714285714179,-0.06505714285714248,positive,H4,2026-02-04 08:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png
impulse_aux252b_forex_audjpy_h1_major_impulse_006,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_006,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,6,11,2026-01-26 13:00:00,2026-01-30 17:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,9,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.2151285714285649,0.2647571428571496,positive,H4,2026-01-30 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png
impulse_aux252b_metals_xagusd_h1_major_impulse_025,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_major_impulse_025,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,25,30,2026-02-17 17:00:00,2026-02-25 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png,10,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.746185714285744,0.01035714285717404,positive,H4,2026-02-25 16:00:00,mixed_or_unclear,bearish_alignment,above_band,no_transition,True,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png
