example_id,group,symbol,timeframe,htf_timeframe,status,ltf_rows,htf_rows,htf_status,error
aux252b_forex_eurusd_h1,Forex Majors,EURUSD.r,H1,H4,ok,1100,520,ok,
aux252b_forex_gbpusd_h1,Forex Majors,GBPUSD.r,H1,H4,ok,1100,520,ok,
aux252b_forex_usdjpy_h1,Forex Majors,USDJPY.r,H1,H4,error,0,0,not_available,insufficient SQL rows: 0
aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,H4,ok,1100,520,ok,
aux252b_forex_eurjpy_h1,Forex Majors,EURJPY.r,H1,H4,ok,1100,520,ok,
aux252b_forex_gbpjpy_h1,Forex Majors,GBPJPY.r,H1,H4,ok,1100,520,ok,
aux252b_metals_xauusd_h1,Metals,XAUUSD.r,H1,H4,ok,1100,520,ok,
aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,H4,ok,1100,520,ok,
aux252b_metals_xptusd_h1,Metals,XPTUSD,H1,H4,ok,1100,520,ok,
aux252b_metals_xpdusd_h1,Metals,XPDUSD,H1,H4,ok,1100,520,ok,
aux252b_index_aus200_h1,Index,AUS200,H1,H4,ok,1100,520,ok,
aux252b_index_hk50_h1,Index,HK50,H1,H4,ok,1100,520,ok,
aux252b_index_us500_h1,Index,US500,H1,H4,ok,1100,520,ok,
aux252b_index_us30_h1,Index,US30,H1,H4,ok,1100,520,ok,
