scope,metric,label,case_count,share_pct
h1_h4,profile_class,no,42,77.78
h1_h4,profile_class,near_miss_aux,8,14.81
h1_h4,profile_class,yes_aux,4,7.41
h1_h4,visual_status,not_usable,33,61.11
h1_h4,visual_status,useful_lower_tf_substructure,11,20.37
h1_h4,visual_status,good_negative_example,9,16.67
h1_h4,visual_status,good_aux_structure,1,1.85
h1_h4,near_miss_reason,missing,46,85.19
h1_h4,near_miss_reason,minor_substructure,4,7.41
h1_h4,near_miss_reason,higher_degree_context,4,7.41
h1_h4,scale_fit_label,not_applicable,42,77.78
h1_h4,scale_fit_label,better_as_lower_tf_substructure,7,12.96
h1_h4,scale_fit_label,ambiguous_scale,4,7.41
h1_h4,scale_fit_label,acceptable_for_timeframe,1,1.85
h1_h4,swing_degree,minor,18,33.33
h1_h4,swing_degree,intermediate,18,33.33
h1_h4,swing_degree,major,18,33.33
