scope,metric,label,case_count,share_pct
h4_d1,profile_class,no,42,77.78
h4_d1,profile_class,near_miss,9,16.67
h4_d1,profile_class,yes,3,5.56
h4_d1,visual_status,not_usable,33,61.11
h4_d1,visual_status,good_negative_example,9,16.67
h4_d1,visual_status,near_miss_useful,8,14.81
h4_d1,visual_status,strong_match,3,5.56
h4_d1,visual_status,false_positive_risk,1,1.85
h4_d1,near_miss_reason,missing,45,83.33
h4_d1,near_miss_reason,minor_substructure,4,7.41
h4_d1,near_miss_reason,higher_degree_context,4,7.41
h4_d1,near_miss_reason,context_conflict,1,1.85
h4_d1,phase253_action,exclude_from_expansion,33,61.11
h4_d1,phase253_action,manual_review_before_expansion,9,16.67
h4_d1,phase253_action,use_as_negative_example,9,16.67
h4_d1,phase253_action,expand_h4_d1_search,3,5.56
h4_d1,swing_degree,minor,18,33.33
h4_d1,swing_degree,intermediate,18,33.33
h4_d1,swing_degree,major,18,33.33
