source_scope,candidate_id,group,symbol,timeframe,swing_degree,matches_guided_impulse_profile,matches_h1_h4_aux_profile,near_miss_reason,aux_near_miss_reason,visual_expansion_status,visual_aux_status,ema_htf_helpfulness,ewo_helpfulness,reviewed_chart_path,chart_path,visual_notes
h4_d1,impulse_exp252_index_aus200_h4_intermediate_impulse_020,Index,AUS200,H4,intermediate,near_miss,,context_conflict,,false_positive_risk,,explains_correction,supports_wave_role,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\impulses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,profile=near_miss; near_miss=context_conflict; context=correction_against_htf; EWO=supports_wave_role; EMA/HTF=explains_correction; status=false_positive_risk
h4_d1,hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,Forex Majors,AUDJPY.r,H4,intermediate,no,,,,good_negative_example,,misleading,unclear,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\invalidations\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example
h4_d1,hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,Metals,XAGUSD.r,H4,intermediate,no,,,,good_negative_example,,misleading,unclear,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\invalidations\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example
h4_d1,hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001,Forex Majors,AUDJPY.r,H4,minor,no,,,,good_negative_example,,misleading,unclear,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\invalidations\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example
h4_d1,hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,Metals,XAGUSD.r,H4,minor,no,,,,good_negative_example,,misleading,unclear,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\invalidations\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example
h4_d1,hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,Metals,XAGUSD.r,H4,major,no,,,,good_negative_example,,misleading,unclear,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_expanded\charts\invalidations\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png,profile=no; near_miss=none; context=conflict_with_htf; EWO=unclear; EMA/HTF=misleading; status=good_negative_example
h1_h4,near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005,Forex Majors,AUDJPY.r,H1,intermediate,,no,,,,not_usable,misleading,supports_momentum_only,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\037_near_miss_aux252b_forex_audjpy_h1_intermediate_impulse_005.png,not_usable; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none
h1_h4,near_miss_aux252b_metals_xagusd_h1_minor_impulse_012,Metals,XAGUSD.r,H1,minor,,no,,,,not_usable,misleading,supports_momentum_only,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\041_near_miss_aux252b_metals_xagusd_h1_minor_impulse_012.png,not_usable; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none
h1_h4,near_miss_aux252b_metals_xagusd_h1_major_impulse_002,Metals,XAGUSD.r,H1,major,,no,,,,not_usable,misleading,supports_momentum_only,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\044_near_miss_aux252b_metals_xagusd_h1_major_impulse_002.png,not_usable; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none
h1_h4,hard_invalid_aux252b_forex_audjpy_h1_major_impulse_001,Forex Majors,AUDJPY.r,H1,major,,no,,,,good_negative_example,misleading,supports_momentum_only,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_negatives\052_hard_invalid_aux252b_forex_audjpy_h1_major_impulse_001.png,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\invalidations\052_hard_invalid_aux252b_forex_audjpy_h1_major_impulse_001.png,good_negative_example; scale=not_applicable; EWO=supports_momentum_only; EMA/HTF=misleading; near=none
