source_scope,ewo_metric,ewo_label,profile_class,case_count
h4_d1_expansion,ewo_helpfulness,supports_momentum_only,near_miss,1
h4_d1_expansion,ewo_helpfulness,supports_wave_role,near_miss,8
h4_d1_expansion,ewo_helpfulness,supports_wave_role,yes,3
h4_d1_expansion,ewo_helpfulness,unclear,no,42
h1_h4_auxiliary,ewo_helpfulness,supports_momentum_only,near_miss_aux,1
h1_h4_auxiliary,ewo_helpfulness,supports_momentum_only,no,7
h1_h4_auxiliary,ewo_helpfulness,supports_momentum_only,yes_aux,2
h1_h4_auxiliary,ewo_helpfulness,supports_wave_role,near_miss_aux,7
h1_h4_auxiliary,ewo_helpfulness,supports_wave_role,no,35
h1_h4_auxiliary,ewo_helpfulness,supports_wave_role,yes_aux,2
phase2_5_0_all_candidates,ewo_role_support,contradicts,exclude,4
phase2_5_0_all_candidates,ewo_role_support,not_available,ambiguous_context,1
phase2_5_0_all_candidates,ewo_role_support,not_available,exclude,12
phase2_5_0_all_candidates,ewo_role_support,not_available,experimental_only,5
phase2_5_0_all_candidates,ewo_role_support,not_available,high_quality_context,5
phase2_5_0_all_candidates,ewo_role_support,not_available,usable_but_provisional,6
phase2_5_0_all_candidates,ewo_role_support,partially_supports,exclude,32
phase2_5_0_all_candidates,ewo_role_support,partially_supports,experimental_only,4
phase2_5_0_all_candidates,ewo_role_support,partially_supports,high_quality_context,10
phase2_5_0_all_candidates,ewo_role_support,partially_supports,usable_but_provisional,2
phase2_5_0_all_candidates,ewo_role_support,supports_wave_role,exclude,6
phase2_5_0_all_candidates,ewo_role_support,supports_wave_role,experimental_only,13
phase2_5_0_all_candidates,ewo_role_support,supports_wave_role,high_quality_context,14
phase2_5_0_all_candidates,ewo_role_support,supports_wave_role,usable_but_provisional,2
phase2_5_0_all_candidates,ewo_role_support,unclear,exclude,20
phase2_5_0_all_candidates,ewo_role_support,unclear,experimental_only,1
