source_scope,timeframe,swing_degree,scale_fit_label,case_count,prominence_mean,prominence_median,duration_mean,duration_median
h1_h4,H1,intermediate,ambiguous_scale,1,0.2594,0.2594,0.0682,0.0682
h1_h4,H1,intermediate,better_as_lower_tf_substructure,3,0.2165,0.1751,0.0436,0.0491
h1_h4,H1,intermediate,not_applicable,14,0.1973,0.182,0.0641,0.0623
h1_h4,H1,major,acceptable_for_timeframe,1,0.3354,0.3354,0.13,0.13
h1_h4,H1,major,ambiguous_scale,3,0.4092,0.3215,0.0879,0.09
h1_h4,H1,major,not_applicable,14,0.2668,0.2988,0.0953,0.0759
h1_h4,H1,minor,better_as_lower_tf_substructure,4,0.1959,0.2075,0.047,0.0409
h1_h4,H1,minor,not_applicable,14,0.1574,0.1269,0.0479,0.0373
h4_d1,H4,intermediate,acceptable_for_timeframe,1,0.2056,0.2056,0.1133,0.1133
h4_d1,H4,intermediate,ambiguous_scale,1,0.1851,0.1851,0.0889,0.0889
h4_d1,H4,intermediate,not_applicable,14,0.1648,0.1477,0.0712,0.0717
h4_d1,H4,intermediate,too_small_for_timeframe,2,0.2509,0.2509,0.0717,0.0717
h4_d1,H4,major,acceptable_for_timeframe,2,0.6704,0.6704,0.1522,0.1522
h4_d1,H4,major,ambiguous_scale,1,0.1684,0.1684,0.2433,0.2433
h4_d1,H4,major,not_applicable,14,0.181,0.2056,0.105,0.0889
h4_d1,H4,major,too_small_for_timeframe,1,0.4884,0.4884,0.0689,0.0689
h4_d1,H4,minor,better_as_lower_tf_substructure,1,0.1474,0.1474,0.0844,0.0844
h4_d1,H4,minor,not_applicable,14,0.1419,0.0908,0.0539,0.0533
h4_d1,H4,minor,too_small_for_timeframe,3,0.2473,0.2535,0.0611,0.0733
