candidate_id,source_scope,symbol,timeframe,swing_degree,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,is_aus200_required_case,chart_path
impulse_exp252_forex_audjpy_h4_minor_impulse_004,h4_d1,AUDJPY.r,H4,minor,0.147364,0.084444,medium_small,better_as_lower_tf_substructure,better_as_lower_tf_substructure,-14,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png
impulse_exp252_metals_xagusd_h4_minor_impulse_004,h4_d1,XAGUSD.r,H4,minor,0.039935,0.035556,small,too_small_for_timeframe,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
impulse_exp252_index_aus200_h4_minor_impulse_028,h4_d1,AUS200,H4,minor,0.448578,0.073333,medium_small,too_small_for_timeframe,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png
impulse_exp252_forex_audjpy_h4_minor_impulse_022,h4_d1,AUDJPY.r,H4,minor,0.253464,0.074444,medium_small,too_small_for_timeframe,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,h4_d1,AUDJPY.r,H4,intermediate,0.205604,0.113333,medium_small,acceptable_for_timeframe,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,h4_d1,XAGUSD.r,H4,intermediate,0.053223,0.07,small,too_small_for_timeframe,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,False,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
impulse_exp252_index_aus200_h4_intermediate_impulse_020,h4_d1,AUS200,H4,intermediate,0.448578,0.073333,medium_small,too_small_for_timeframe,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,True,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png
impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,h4_d1,EURJPY.r,H4,intermediate,0.185072,0.088889,medium_small,ambiguous_scale,ambiguous_scale,-7,scale is ambiguous,False,False,scale diagnostic is ambiguous; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
impulse_exp252_forex_eurusd_h4_major_impulse_016,h4_d1,EURUSD.r,H4,major,0.472202,0.151111,balanced,acceptable_for_timeframe,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\009_impulse_exp252_forex_eurusd_h4_major_impulse_016.png
impulse_exp252_metals_xagusd_h4_major_impulse_002,h4_d1,XAGUSD.r,H4,major,0.168387,0.243333,medium_small,ambiguous_scale,ambiguous_scale,-11,scale is ambiguous,False,False,scale diagnostic is ambiguous; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
