scope,metric,label,case_count,share_pct
h1_h4,final_soft_quality_bucket,exclude_from_guided_search,43,79.63
h1_h4,final_soft_quality_bucket,auxiliary_substructure,7,12.96
h1_h4,final_soft_quality_bucket,experimental_only,4,7.41
h1_h4,structural_quality_policy,exclude_from_guided_search,43,79.63
h1_h4,structural_quality_policy,auxiliary_substructure,7,12.96
h1_h4,structural_quality_policy,experimental_only,4,7.41
h1_h4,prominence_policy_label,prominence_not_applicable,42,77.78
h1_h4,prominence_policy_label,better_as_lower_tf_substructure,7,12.96
h1_h4,prominence_policy_label,ambiguous_scale,4,7.41
h1_h4,prominence_policy_label,acceptable_for_timeframe,1,1.85
h1_h4,ewo_policy_label,relative_wave_role_support,44,81.48
h1_h4,ewo_policy_label,momentum_context_only,10,18.52
h1_h4,ema_htf_policy_label,ema_htf_context_support,33,61.11
h1_h4,ema_htf_policy_label,ema_htf_correction_context,17,31.48
h1_h4,ema_htf_policy_label,ema_htf_misleading_warning,4,7.41
h4_d1,final_soft_quality_bucket,exclude_from_guided_search,47,87.04
h4_d1,final_soft_quality_bucket,usable_provisional_structure,5,9.26
h4_d1,final_soft_quality_bucket,ambiguous_structure,1,1.85
h4_d1,final_soft_quality_bucket,high_quality_structure,1,1.85
h4_d1,structural_quality_policy,exclude_from_guided_search,47,87.04
h4_d1,structural_quality_policy,usable_provisional_structure,5,9.26
h4_d1,structural_quality_policy,ambiguous_structure,1,1.85
h4_d1,structural_quality_policy,high_quality_structure,1,1.85
h4_d1,prominence_policy_label,prominence_not_applicable,42,77.78
h4_d1,prominence_policy_label,low_prominence_vs_window,6,11.11
h4_d1,prominence_policy_label,acceptable_for_timeframe,3,5.56
h4_d1,prominence_policy_label,ambiguous_scale,2,3.7
h4_d1,prominence_policy_label,better_as_lower_tf_substructure,1,1.85
h4_d1,ewo_policy_label,ewo_unclear_or_unavailable,42,77.78
h4_d1,ewo_policy_label,relative_wave_role_support,11,20.37
h4_d1,ewo_policy_label,momentum_context_only,1,1.85
h4_d1,ema_htf_policy_label,ema_htf_context_support,39,72.22
h4_d1,ema_htf_policy_label,ema_htf_correction_context,10,18.52
h4_d1,ema_htf_policy_label,ema_htf_misleading_warning,5,9.26
