diagnostic_scope,metric,label,case_count,share_pct,interpretation
global,total_rows,all,108,100.0,all scored structures from Phase 2.5.4
global,excluded_rows,exclude_from_guided_search,90,83.33,raw exclusion ratio to audit visually
all_rows,final_soft_quality_bucket,exclude_from_guided_search,90,83.33,distribution across all scored structures
all_rows,final_soft_quality_bucket,auxiliary_substructure,7,6.48,distribution across all scored structures
all_rows,final_soft_quality_bucket,usable_provisional_structure,5,4.63,distribution across all scored structures
all_rows,final_soft_quality_bucket,experimental_only,4,3.7,distribution across all scored structures
all_rows,final_soft_quality_bucket,ambiguous_structure,1,0.93,distribution across all scored structures
all_rows,final_soft_quality_bucket,high_quality_structure,1,0.93,distribution across all scored structures
excluded_only,final_soft_quality_bucket,exclude_from_guided_search,90,100.0,composition of exclude_from_guided_search
all_rows,source_scope,h4_d1,54,50.0,distribution across all scored structures
all_rows,source_scope,h1_h4,54,50.0,distribution across all scored structures
excluded_only,source_scope,h4_d1,47,52.22,composition of exclude_from_guided_search
excluded_only,source_scope,h1_h4,43,47.78,composition of exclude_from_guided_search
all_rows,timeframe,H4,54,50.0,distribution across all scored structures
all_rows,timeframe,H1,54,50.0,distribution across all scored structures
excluded_only,timeframe,H4,47,52.22,composition of exclude_from_guided_search
excluded_only,timeframe,H1,43,47.78,composition of exclude_from_guided_search
all_rows,swing_degree,minor,36,33.33,distribution across all scored structures
all_rows,swing_degree,intermediate,36,33.33,distribution across all scored structures
all_rows,swing_degree,major,36,33.33,distribution across all scored structures
excluded_only,swing_degree,minor,32,35.56,composition of exclude_from_guided_search
excluded_only,swing_degree,intermediate,29,32.22,composition of exclude_from_guided_search
excluded_only,swing_degree,major,29,32.22,composition of exclude_from_guided_search
all_rows,review_category,impulse,24,22.22,distribution across all scored structures
all_rows,review_category,partial_123,24,22.22,distribution across all scored structures
all_rows,review_category,abc,24,22.22,distribution across all scored structures
all_rows,review_category,near_miss,18,16.67,distribution across all scored structures
all_rows,review_category,hard_invalid,18,16.67,distribution across all scored structures
excluded_only,review_category,partial_123,24,26.67,composition of exclude_from_guided_search
excluded_only,review_category,abc,24,26.67,composition of exclude_from_guided_search
excluded_only,review_category,near_miss,18,20.0,composition of exclude_from_guided_search
excluded_only,review_category,hard_invalid,18,20.0,composition of exclude_from_guided_search
excluded_only,review_category,impulse,6,6.67,composition of exclude_from_guided_search
all_rows,prominence_policy_label,prominence_not_applicable,84,77.78,distribution across all scored structures
all_rows,prominence_policy_label,better_as_lower_tf_substructure,8,7.41,distribution across all scored structures
all_rows,prominence_policy_label,low_prominence_vs_window,6,5.56,distribution across all scored structures
all_rows,prominence_policy_label,ambiguous_scale,6,5.56,distribution across all scored structures
all_rows,prominence_policy_label,acceptable_for_timeframe,4,3.7,distribution across all scored structures
excluded_only,prominence_policy_label,prominence_not_applicable,84,93.33,composition of exclude_from_guided_search
excluded_only,prominence_policy_label,low_prominence_vs_window,5,5.56,composition of exclude_from_guided_search
excluded_only,prominence_policy_label,better_as_lower_tf_substructure,1,1.11,composition of exclude_from_guided_search
all_rows,ewo_policy_label,relative_wave_role_support,55,50.93,distribution across all scored structures
all_rows,ewo_policy_label,ewo_unclear_or_unavailable,42,38.89,distribution across all scored structures
all_rows,ewo_policy_label,momentum_context_only,11,10.19,distribution across all scored structures
excluded_only,ewo_policy_label,ewo_unclear_or_unavailable,42,46.67,composition of exclude_from_guided_search
excluded_only,ewo_policy_label,relative_wave_role_support,40,44.44,composition of exclude_from_guided_search
excluded_only,ewo_policy_label,momentum_context_only,8,8.89,composition of exclude_from_guided_search
all_rows,ema_htf_policy_label,ema_htf_context_support,72,66.67,distribution across all scored structures
all_rows,ema_htf_policy_label,ema_htf_correction_context,27,25.0,distribution across all scored structures
all_rows,ema_htf_policy_label,ema_htf_misleading_warning,9,8.33,distribution across all scored structures
excluded_only,ema_htf_policy_label,ema_htf_context_support,59,65.56,composition of exclude_from_guided_search
excluded_only,ema_htf_policy_label,ema_htf_correction_context,22,24.44,composition of exclude_from_guided_search
excluded_only,ema_htf_policy_label,ema_htf_misleading_warning,9,10.0,composition of exclude_from_guided_search
warnings_all_rows,policy_warnings,low_prominence_or_small_structure,14,12.96,warning occurrence across all scored structures
warnings_excluded_only,policy_warnings,low_prominence_or_small_structure,6,6.67,warning occurrence inside excluded structures
warnings_all_rows,policy_warnings,context_must_not_rescue_bad_count,64,59.26,warning occurrence across all scored structures
warnings_excluded_only,policy_warnings,context_must_not_rescue_bad_count,64,71.11,warning occurrence inside excluded structures
warnings_all_rows,policy_warnings,htf_or_ema_band_conflict,37,34.26,warning occurrence across all scored structures
warnings_excluded_only,policy_warnings,htf_or_ema_band_conflict,32,35.56,warning occurrence inside excluded structures
warnings_all_rows,policy_warnings,micro_or_substructure,36,33.33,warning occurrence across all scored structures
warnings_excluded_only,policy_warnings,micro_or_substructure,32,35.56,warning occurrence inside excluded structures
warnings_all_rows,policy_warnings,major_higher_degree_context,36,33.33,warning occurrence across all scored structures
warnings_excluded_only,policy_warnings,major_higher_degree_context,29,32.22,warning occurrence inside excluded structures
