selection_order,candidate_id,source_scope,group,symbol,timeframe,swing_degree,direction,review_category,matches_guided_impulse_profile,matches_h1_h4_aux_profile,visual_expansion_status,visual_aux_status,near_miss_reason,scale_fit_label,ewo_helpfulness,ema_htf_helpfulness,chart_path,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,ewo_policy_label,ewo_soft_support,ewo_score_delta,ewo_warning,ewo_role_reason,ewo_svm_future_feature_candidate,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,structural_quality_policy,final_soft_quality_score,final_soft_quality_bucket,policy_reasons,policy_warnings,ready_for_next_expansion,selection_reasons,reviewed_chart_path,chart_exists
1,impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016,h1_h4,Forex Majors,AUDJPY.r,H1,intermediate,bullish,impulse,,yes_aux,,good_aux_structure,,ambiguous_scale,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,ambiguous_scale,-11,scale is ambiguous,False,False,scale diagnostic is ambiguous; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.2648,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,auxiliary_substructure,69,auxiliary_substructure,structure=impulse; degree=intermediate; H1/H4 auxiliary match=yes_aux; visual_status=good_aux_structure; scale diagnostic is ambiguous; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.2648; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,"H1/H4 is auxiliary, not primary; scale is ambiguous",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\001_005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,True
2,impulse_aux252b_index_aus200_h1_intermediate_impulse_007,h1_h4,Index,AUS200,H1,intermediate,bullish,impulse,,yes_aux,,useful_lower_tf_substructure,,better_as_lower_tf_substructure,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,better_as_lower_tf_substructure,-18,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=9.231,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,auxiliary_substructure,58,auxiliary_substructure,structure=impulse; degree=intermediate; H1/H4 auxiliary match=yes_aux; visual_status=useful_lower_tf_substructure; diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=9.231; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,"H1/H4 is auxiliary, not primary; better handled as lower-timeframe substructure",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\002_007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,True
3,impulse_aux252b_metals_xagusd_h1_major_impulse_025,h1_h4,Metals,XAGUSD.r,H1,major,bullish,impulse,,near_miss_aux,,useful_lower_tf_substructure,higher_degree_context,acceptable_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01036,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=above_band; htf_match=False; ltf_match=True; htf_conflict_warning,auxiliary_substructure,56,auxiliary_substructure,structure=impulse; visual_status=useful_lower_tf_substructure; structure size is acceptable for the reviewed timeframe; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01036; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=above_band; htf_match=False; ltf_match=True; htf_conflict_warning,"H1/H4 is auxiliary, not primary; major is higher-degree context; H1/H4 near_miss_aux; htf_conflict_warning",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\003_010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png,True
4,impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,h1_h4,Forex Majors,AUDJPY.r,H1,intermediate,bullish,impulse,,yes_aux,,useful_lower_tf_substructure,,better_as_lower_tf_substructure,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,better_as_lower_tf_substructure,-14,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.06506,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,auxiliary_substructure,55,auxiliary_substructure,structure=impulse; degree=intermediate; H1/H4 auxiliary match=yes_aux; visual_status=useful_lower_tf_substructure; diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.06506; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,"H1/H4 is auxiliary, not primary; better handled as lower-timeframe substructure; EWO supports momentum but not full wave role",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\004_008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,True
5,impulse_aux252b_forex_audjpy_h1_major_impulse_006,h1_h4,Forex Majors,AUDJPY.r,H1,major,bullish,impulse,,near_miss_aux,,useful_lower_tf_substructure,higher_degree_context,ambiguous_scale,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,ambiguous_scale,-7,scale is ambiguous,False,False,scale diagnostic is ambiguous; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.2648,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,auxiliary_substructure,55,auxiliary_substructure,structure=impulse; visual_status=useful_lower_tf_substructure; scale diagnostic is ambiguous; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.2648; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,"H1/H4 is auxiliary, not primary; major is higher-degree context; H1/H4 near_miss_aux; scale is ambiguous",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\005_009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,True
6,impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,h1_h4,Metals,XAGUSD.r,H1,intermediate,bearish,impulse,,yes_aux,,useful_lower_tf_substructure,,better_as_lower_tf_substructure,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,better_as_lower_tf_substructure,-18,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=negative; end_ewo_slope=0.4893,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=below_band; htf_match=True; ltf_match=True,auxiliary_substructure,51,auxiliary_substructure,structure=impulse; degree=intermediate; H1/H4 auxiliary match=yes_aux; visual_status=useful_lower_tf_substructure; diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_momentum_only; end_ewo_direction=negative; end_ewo_slope=0.4893; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=below_band; htf_match=True; ltf_match=True,"H1/H4 is auxiliary, not primary; better handled as lower-timeframe substructure; EWO supports momentum but not full wave role",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\006_006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,True
7,impulse_aux252b_index_aus200_h1_major_impulse_028,h1_h4,Index,AUS200,H1,major,bearish,impulse,,near_miss_aux,,useful_lower_tf_substructure,higher_degree_context,ambiguous_scale,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\011_impulse_aux252b_index_aus200_h1_major_impulse_028.png,ambiguous_scale,-7,scale is ambiguous,False,False,scale diagnostic is ambiguous; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-49.28,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,auxiliary_substructure,45,auxiliary_substructure,structure=impulse; visual_status=useful_lower_tf_substructure; scale diagnostic is ambiguous; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-49.28; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,"H1/H4 is auxiliary, not primary; major is higher-degree context; H1/H4 near_miss_aux; scale is ambiguous; htf_conflict_warning",auxiliary_only,all_auxiliary_substructure,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\007_011_impulse_aux252b_index_aus200_h1_major_impulse_028.png,True
8,impulse_exp252_forex_eurusd_h4_major_impulse_029,h4_d1,Forex Majors,EURUSD.r,H4,major,bearish,impulse,near_miss,,near_miss_useful,,higher_degree_context,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.001054,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,51,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.001054; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,major is higher-degree context; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no,top_scoring_excluded_near_threshold; excluded_low_prominence_vs_window; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\008_012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png,True
9,impulse_exp252_metals_xagusd_h4_minor_impulse_004,h4_d1,Metals,XAGUSD.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,50,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no,top_scoring_excluded_near_threshold; excluded_low_prominence_vs_window; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\009_002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,True
10,impulse_exp252_forex_audjpy_h4_minor_impulse_022,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.05223,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,47,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.05223; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; EWO supports momentum but not full wave role,no,top_scoring_excluded_near_threshold; excluded_low_prominence_vs_window; excluded_even_though_ewo_supports_or_partially_supports,artifacts\wavecount\05_guided_profile\phase2_5_5_soft_policy_visual_audit_2026-05-24\charts\selected_review\010_004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,True
