candidate_id,source_scope,group,symbol,timeframe,swing_degree,direction,review_category,matches_guided_impulse_profile,matches_h1_h4_aux_profile,visual_expansion_status,visual_aux_status,near_miss_reason,scale_fit_label,ewo_helpfulness,ema_htf_helpfulness,chart_path,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,ewo_policy_label,ewo_soft_support,ewo_score_delta,ewo_warning,ewo_role_reason,ewo_svm_future_feature_candidate,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,structural_quality_policy,final_soft_quality_score,final_soft_quality_bucket,policy_reasons,policy_warnings,ready_for_next_expansion,phase256_policy_bucket,phase256_score,phase256_score_delta,phase256_adjustment_reason,phase256_prominence_action,phase256_ready_for_expansion,phase256_from_phase255_false_positive
impulse_exp252_metals_xagusd_h4_minor_impulse_004,h4_d1,Metals,XAGUSD.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,50,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001086; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no,exclude_from_guided_search,50.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
impulse_exp252_index_aus200_h4_minor_impulse_028,h4_d1,Index,AUS200,H4,minor,bearish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\003_impulse_exp252_index_aus200_h4_minor_impulse_028.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,44,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no,exclude_from_guided_search,44.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
impulse_exp252_forex_audjpy_h4_minor_impulse_022,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\004_impulse_exp252_forex_audjpy_h4_minor_impulse_022.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.05223,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,47,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.05223; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; EWO supports momentum but not full wave role,no,exclude_from_guided_search,47.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
impulse_exp252_index_aus200_h4_intermediate_impulse_020,h4_d1,Index,AUS200,H4,intermediate,bearish,impulse,near_miss,,false_positive_risk,,context_conflict,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\007_impulse_exp252_index_aus200_h4_intermediate_impulse_020.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,exclude_from_guided_search,24,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; degree=intermediate; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no,exclude_from_guided_search,24.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
impulse_exp252_forex_eurusd_h4_major_impulse_029,h4_d1,Forex Majors,EURUSD.r,H4,major,bearish,impulse,near_miss,,near_miss_useful,,higher_degree_context,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.001054,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,51,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-0.001054; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,major is higher-degree context; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no,exclude_from_guided_search,51.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\013_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1117; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,exclude_from_guided_search,0.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002,h4_d1,Metals,XAGUSD.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\014_partial_123_exp252_metals_xagusd_h4_intermediate_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.5657,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.5657; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,exclude_from_guided_search,0.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
partial_123_exp252_index_aus200_h4_intermediate_partial123_001,h4_d1,Index,AUS200,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\015_partial_123_exp252_index_aus200_h4_intermediate_partial123_001.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=6.54; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,exclude_from_guided_search,0.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004,h4_d1,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\016_partial_123_exp252_forex_audjpy_h4_intermediate_partial123_004.png,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; degree=intermediate; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1939; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,exclude_from_guided_search,0.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,h4_d1,Forex Majors,AUDJPY.r,H4,minor,bullish,partial_123,no,,not_usable,,,not_applicable,unclear,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,ewo_unclear_or_unavailable,unclear,0,EWO context is unclear or unavailable,input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01996,False,ema_htf_context_support,supports,0,,,True,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,exclude_from_guided_search,0,exclude_from_guided_search,H4/D1 primary scope; no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=unclear; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.01996; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True; context_must_not_rescue_bad_count; context_support_on_no_profile_is_not_validation,partial_123_is_provisional_context_only; minor is substructure; H4/D1 profile match=no; visual_status=not_usable; EWO context is unclear or unavailable; context_must_not_rescue_bad_count,no,exclude_from_guided_search,0.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False
