symbol,sql_market_group,artifact_market_group,resolved_market_group,mapping_confidence,category_source,symbol_in_sql,symbol_enabled,artifact_candidate_prefixes,evidence,notes
AUDCAD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
AUDJPY.r,Forex Majors,Forex Majors,Forex Majors,sql_explicit,symbol_control.group,True,1,"aux252b, exp252, forex","sql_group=Forex Majors; artifact_group=Forex Majors; prefixes=aux252b, exp252, forex",
AUDNZD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
AUDUSD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
AUS200,Index,Index,Index,sql_explicit,symbol_control.group,True,1,"aux252b, exp252, index","sql_group=Index; artifact_group=Index; prefixes=aux252b, exp252, index",
BRENT,Commodities,,Commodities,sql_explicit,symbol_control.group,True,1,,sql_group=Commodities; artifact_group=none; prefixes=none,
BTCUSD,Crypto,,Crypto,sql_explicit,symbol_control.group,True,1,,sql_group=Crypto; artifact_group=none; prefixes=none,
CADCHF.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
CADJPY.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
CHFJPY.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
CHINA50,Index,,Index,sql_explicit,symbol_control.group,True,1,,sql_group=Index; artifact_group=none; prefixes=none,
COFFEE,Commodities,,Commodities,sql_explicit,symbol_control.group,True,1,,sql_group=Commodities; artifact_group=none; prefixes=none,
ETHUSD,Crypto,,Crypto,sql_explicit,symbol_control.group,True,1,,sql_group=Crypto; artifact_group=none; prefixes=none,
EURAUD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
EURCAD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
EURCHF.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
EURGBP.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
EURJPY.r,Forex Majors,Forex Majors,Forex Majors,sql_explicit,symbol_control.group,True,1,forex,sql_group=Forex Majors; artifact_group=Forex Majors; prefixes=forex,
EURNZD.r,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,1,,sql_group=Forex Majors; artifact_group=none; prefixes=none,
EURO50,Index,,Index,sql_explicit,symbol_control.group,True,1,,sql_group=Index; artifact_group=none; prefixes=none,
