selection_order,candidate_id,resolved_market_group,symbol,timeframe,swing_degree,source_scope,phase256_policy_bucket,phase256_score,selection_reason,chart_path
1,impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors,AUDJPY.r,H4,intermediate,h4_d1,high_quality_structure,100.0,best_high_quality,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\001_forex_majors_005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
2,impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007,Forex Majors,EURJPY.r,H4,intermediate,h4_d1,usable_provisional_structure,100.0,usable_or_provisional,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\002_forex_majors_008_impulse_exp252_forex_eurjpy_h4_intermediate_impulse_007.png
3,impulse_exp252_forex_eurusd_h4_major_impulse_029,Forex Majors,EURUSD.r,H4,major,h4_d1,exclude_from_guided_search,51.0,low_prominence_representative,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\003_forex_majors_012_impulse_exp252_forex_eurusd_h4_major_impulse_029.png
4,hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,Forex Majors,AUDJPY.r,H4,intermediate,h4_d1,exclude_from_guided_search,0.0,ema_htf_conflict_or_misleading,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\004_forex_majors_046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png
5,impulse_exp252_index_aus200_h4_major_impulse_016,Index,AUS200,H4,major,h4_d1,usable_provisional_structure,75.0,usable_or_provisional,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\005_index_011_impulse_exp252_index_aus200_h4_major_impulse_016.png
6,impulse_aux252b_index_aus200_h1_intermediate_impulse_007,Index,AUS200,H1,intermediate,h1_h4,auxiliary_low_prominence_substructure,52.0,low_prominence_representative,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\006_index_007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png
7,impulse_exp252_index_aus200_h4_minor_impulse_028,Index,AUS200,H4,minor,h4_d1,exclude_from_guided_search,44.0,excluded_highest_score,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\007_index_003_impulse_exp252_index_aus200_h4_minor_impulse_028.png
8,impulse_exp252_metals_xagusd_h4_major_impulse_002,Metals,XAGUSD.r,H4,major,h4_d1,usable_provisional_structure,70.0,usable_or_provisional,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\008_metals_010_impulse_exp252_metals_xagusd_h4_major_impulse_002.png
9,impulse_exp252_metals_xagusd_h4_intermediate_impulse_002,Metals,XAGUSD.r,H4,intermediate,h4_d1,visual_watchlist_low_prominence,44.0,watchlist_low_prominence,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\009_metals_006_impulse_exp252_metals_xagusd_h4_intermediate_impulse_002.png
10,impulse_exp252_metals_xagusd_h4_minor_impulse_004,Metals,XAGUSD.r,H4,minor,h4_d1,exclude_from_guided_search,50.0,low_prominence_representative,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\010_metals_002_impulse_exp252_metals_xagusd_h4_minor_impulse_004.png
11,hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,Metals,XAGUSD.r,H4,intermediate,h4_d1,exclude_from_guided_search,0.0,ema_htf_conflict_or_misleading,artifacts\wavecount\05_guided_profile\phase2_5_6b_market_group_bias_audit_2026-05-24\charts\selected_by_market_group\011_metals_047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
