candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
1,impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,Forex Majors,AUDCAD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_minor_impulse_028,exp257_forex_majors_audcadr_h4,2025-09-02 16:00:00,2025-09-12 04:00:00
2,impulse_exp257_metals_xageurr_h4_minor_impulse_012,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,Metals,XAGEUR.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_metals_xageurr_h4_minor_impulse_012,exp257_metals_xageurr_h4,2025-07-31 12:00:00,2025-08-07 16:00:00
3,impulse_exp257_index_aus200_h4_minor_impulse_049,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,Index,AUS200,H4,minor,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_index_aus200_h4_minor_impulse_049,exp257_index_aus200_h4,2025-10-21 04:00:00,2025-11-05 00:00:00
4,impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,Forex Majors,AUDCAD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_minor_impulse_080,exp257_forex_majors_audcadr_h4,2026-01-15 00:00:00,2026-02-03 08:00:00
5,impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_004,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_004,exp257_forex_majors_audcadr_h4,2025-07-17 08:00:00,2025-07-28 04:00:00
6,impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,Metals,XAGEUR.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_metals_xageurr_h4_intermediate_impulse_008,exp257_metals_xageurr_h4,2025-07-31 12:00:00,2025-08-14 04:00:00
7,impulse_exp257_index_aus200_h4_intermediate_impulse_035,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,Index,AUS200,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_index_aus200_h4_intermediate_impulse_035,exp257_index_aus200_h4,2025-10-21 04:00:00,2025-11-05 00:00:00
8,impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_046,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,Forex Majors,AUDCAD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_046,exp257_forex_majors_audcadr_h4,2025-11-19 04:00:00,2025-12-05 12:00:00
9,impulse_exp257_forex_majors_audcadr_h4_major_impulse_034,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png,Forex Majors,AUDCAD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_forex_majors_audcadr_h4_major_impulse_034,exp257_forex_majors_audcadr_h4,2026-01-09 12:00:00,2026-02-12 16:00:00
10,impulse_exp257_metals_xageurr_h4_major_impulse_030,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,Metals,XAGEUR.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,exp257_metals_xageurr_h4_major_impulse_030,exp257_metals_xageurr_h4,2025-12-31 20:00:00,2026-01-28 04:00:00
