example_id,group,symbol,timeframe,status,rows,first_time,last_time,raw_confirmed_pivots,degree_pivots,error
exp257_forex_majors_audjpyr_h4,Forex Majors,AUDJPY.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,184,217,
exp257_forex_majors_eurjpyr_h4,Forex Majors,EURJPY.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,179,216,
exp257_forex_majors_eurusdr_h4,Forex Majors,EURUSD.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,185,214,
exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,202,232,
exp257_forex_majors_audnzdr_h4,Forex Majors,AUDNZD.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,204,218,
exp257_forex_majors_audusdr_h4,Forex Majors,AUDUSD.r,H4,ok,1100,2025-07-01T00:00:00,2026-03-17T04:00:00,188,223,
exp257_index_aus200_h4,Index,AUS200,H4,ok,1100,2025-06-26T08:00:00,2026-03-17T04:00:00,200,228,
exp257_index_china50_h4,Index,CHINA50,H4,ok,1100,2025-06-30T00:00:00,2026-03-17T04:00:00,169,228,
exp257_index_euro50_h4,Index,EURO50,H4,ok,1100,2025-06-26T00:00:00,2026-03-17T04:00:00,204,236,
exp257_index_fra40_h4,Index,FRA40,H4,ok,1100,2025-06-25T20:00:00,2026-03-17T04:00:00,207,245,
exp257_index_ger40_h4,Index,GER40,H4,ok,1100,2025-06-25T16:00:00,2026-03-17T04:00:00,209,248,
exp257_index_hk50_h4,Index,HK50,H4,ok,1100,2025-06-12T04:00:00,2026-03-17T04:00:00,174,233,
exp257_metals_xagusdr_h4,Metals,XAGUSD.r,H4,ok,1100,2025-06-30T20:00:00,2026-03-17T04:00:00,177,208,
exp257_metals_xageurr_h4,Metals,XAGEUR.r,H4,ok,1100,2025-06-30T20:00:00,2026-03-17T04:00:00,175,204,
exp257_metals_xaueurr_h4,Metals,XAUEUR.r,H4,ok,1100,2025-06-30T20:00:00,2026-03-17T04:00:00,187,198,
exp257_metals_xauusdr_h4,Metals,XAUUSD.r,H4,ok,1100,2025-06-30T20:00:00,2026-03-17T04:00:00,168,202,
exp257_metals_xcuusdr_h4,Metals,XCUUSD.r,H4,ok,1100,2025-06-24T00:00:00,2026-03-17T04:00:00,191,230,
exp257_metals_xpdusd_h4,Metals,XPDUSD,H4,ok,1100,2025-06-30T00:00:00,2026-03-17T04:00:00,218,258,
