candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,impulse,impulse_diagnostics,exp257_forex_majors_audcadr_h4_minor_impulse_028,exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,28,33,2025-09-02 16:00:00,2025-09-12 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,1,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.009156000000000053,0.0011728571428571977,positive,D1,2025-09-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png
impulse_exp257_metals_xageurr_h4_minor_impulse_012,impulse,impulse_diagnostics,exp257_metals_xageurr_h4_minor_impulse_012,exp257_metals_xageurr_h4,Metals,XAGEUR.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2025-07-31 12:00:00,2025-08-07 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,2,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.32907142857143157,0.15752857142857124,positive,D1,2025-08-06,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
impulse_exp257_index_aus200_h4_minor_impulse_049,impulse,impulse_diagnostics,exp257_index_aus200_h4_minor_impulse_049,exp257_index_aus200_h4,Index,AUS200,H4,minor,bearish,strict_candidate_impulse,full_impulse_12345,49,54,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,3,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-96.68314285714405,-10.150285714285928,negative,D1,2025-11-04,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,impulse,impulse_diagnostics,exp257_forex_majors_audcadr_h4_minor_impulse_080,exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,80,85,2026-01-15 00:00:00,2026-02-03 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,4,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.0033885714285715185,0.004072857142857433,positive,D1,2026-02-02,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_004,impulse,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_004,exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,4,9,2025-07-17 08:00:00,2025-07-28 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,5,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.003585714285714414,0.0004007142857143098,positive,D1,2025-07-25,mixed_or_unclear,bearish_alignment,above_band,no_transition,True,
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,impulse,impulse_diagnostics,exp257_metals_xageurr_h4_intermediate_impulse_008,exp257_metals_xageurr_h4,Metals,XAGEUR.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,8,13,2025-07-31 12:00:00,2025-08-14 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,6,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.25428571428571445,0.18312857142857553,positive,D1,2025-08-13,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
impulse_exp257_index_aus200_h4_intermediate_impulse_035,impulse,impulse_diagnostics,exp257_index_aus200_h4_intermediate_impulse_035,exp257_index_aus200_h4,Index,AUS200,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,35,40,2025-10-21 04:00:00,2025-11-05 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,7,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-96.68314285714405,-10.150285714285928,negative,D1,2025-11-04,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_046,impulse,impulse_diagnostics,exp257_forex_majors_audcadr_h4_intermediate_impulse_046,exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,46,51,2025-11-19 04:00:00,2025-12-05 12:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,8,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.004781857142857171,-0.0001151428571428692,positive,D1,2025-12-04,bullish_alignment,bullish_alignment,above_band,no_transition,True,
impulse_exp257_forex_majors_audcadr_h4_major_impulse_034,impulse,impulse_diagnostics,exp257_forex_majors_audcadr_h4_major_impulse_034,exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,34,39,2026-01-09 12:00:00,2026-02-12 16:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png,9,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.007951142857142712,-0.00015900000000002024,positive,D1,2026-02-11,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png
impulse_exp257_metals_xageurr_h4_major_impulse_030,impulse,impulse_diagnostics,exp257_metals_xageurr_h4_major_impulse_030,exp257_metals_xageurr_h4,Metals,XAGEUR.r,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,30,35,2025-12-31 20:00:00,2026-01-28 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,10,impulse_with_htf,60,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,7.179171428571436,-0.20175714285713298,positive,D1,2026-01-27,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png
