example_id,group,symbol,timeframe,htf_timeframe,status,ltf_rows,htf_rows,htf_status,error
exp257_forex_majors_audjpyr_h4,Forex Majors,AUDJPY.r,H4,D1,ok,1100,520,ok,
exp257_forex_majors_eurjpyr_h4,Forex Majors,EURJPY.r,H4,D1,ok,1100,520,ok,
exp257_forex_majors_eurusdr_h4,Forex Majors,EURUSD.r,H4,D1,ok,1100,520,ok,
exp257_forex_majors_audcadr_h4,Forex Majors,AUDCAD.r,H4,D1,ok,1100,520,ok,
exp257_forex_majors_audnzdr_h4,Forex Majors,AUDNZD.r,H4,D1,ok,1100,520,ok,
exp257_forex_majors_audusdr_h4,Forex Majors,AUDUSD.r,H4,D1,ok,1100,520,ok,
exp257_index_aus200_h4,Index,AUS200,H4,D1,ok,1100,520,ok,
exp257_index_china50_h4,Index,CHINA50,H4,D1,ok,1100,520,ok,
exp257_index_euro50_h4,Index,EURO50,H4,D1,ok,1100,520,ok,
exp257_index_fra40_h4,Index,FRA40,H4,D1,ok,1100,520,ok,
exp257_index_ger40_h4,Index,GER40,H4,D1,ok,1100,520,ok,
exp257_index_hk50_h4,Index,HK50,H4,D1,ok,1100,520,ok,
exp257_metals_xagusdr_h4,Metals,XAGUSD.r,H4,D1,ok,1100,520,ok,
exp257_metals_xageurr_h4,Metals,XAGEUR.r,H4,D1,ok,1100,520,ok,
exp257_metals_xaueurr_h4,Metals,XAUEUR.r,H4,D1,ok,1100,520,ok,
exp257_metals_xauusdr_h4,Metals,XAUUSD.r,H4,D1,ok,1100,520,ok,
exp257_metals_xcuusdr_h4,Metals,XCUUSD.r,H4,D1,ok,1100,520,ok,
exp257_metals_xpdusd_h4,Metals,XPDUSD,H4,D1,ok,1100,520,ok,
