candidate_id,source_scope,group,symbol,timeframe,swing_degree,direction,review_category,matches_guided_impulse_profile,matches_h1_h4_aux_profile,visual_expansion_status,visual_aux_status,near_miss_reason,scale_fit_label,ewo_helpfulness,ema_htf_helpfulness,chart_path,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,ewo_policy_label,ewo_soft_support,ewo_score_delta,ewo_warning,ewo_role_reason,ewo_svm_future_feature_candidate,ema_htf_policy_label,ema_htf_soft_support,ema_htf_score_delta,ema_band_warning,htf_conflict_warning,context_must_not_rescue_bad_count,ema_htf_policy_reason,structural_quality_policy,final_soft_quality_score,final_soft_quality_bucket,policy_reasons,policy_warnings,ready_for_next_expansion,phase256_policy_bucket,phase256_score,phase256_score_delta,phase256_adjustment_reason,phase256_prominence_action,phase256_ready_for_expansion,phase256_from_phase255_false_positive,prominence_vs_window,duration_vs_window,relative_structure_size,sql_market_group,artifact_market_group,resolved_market_group,mapping_confidence,category_source,symbol_in_sql,expansion_origin,diagnostic_only,category_notes,htf_timeframe,phase257_policy_bucket,phase257_score,phase257_policy_reasons,phase257_policy_warnings,phase257_ready_for_next_step
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,h4_d1,Forex Majors,AUDCAD.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001173,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,54,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.001173; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no,exclude_from_guided_search,54.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.306805,0.041818,small,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,54.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no
impulse_exp257_metals_xageurr_h4_minor_impulse_012,h4_d1,Metals,XAGEUR.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1575,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,50,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1575; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no,exclude_from_guided_search,50.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.019648,0.029091,small,Metals,,Metals,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,50.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no
impulse_exp257_index_aus200_h4_minor_impulse_049,h4_d1,Index,AUS200,H4,minor,bearish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-2,,htf_conflict_warning,False,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,exclude_from_guided_search,44,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no,exclude_from_guided_search,44.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.448578,0.06,medium_small,Index,Index,Index,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,44.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,no
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,h4_d1,Forex Majors,AUDCAD.r,H4,minor,bullish,impulse,near_miss,,near_miss_useful,,minor_substructure,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.004073,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,exclude_from_guided_search,54,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.004073; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no,exclude_from_guided_search,54.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.40732,0.073636,medium_small,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,54.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,no
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,bullish,impulse,near_miss,,false_positive_risk,,context_conflict,too_small_for_timeframe,supports_wave_role,explains_correction,,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.0004007,True,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=above_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,exclude_from_guided_search,20,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; degree=intermediate; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.0004007; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=above_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no,exclude_from_guided_search,20.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.154802,0.038182,small,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,20.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,h4_d1,Metals,XAGEUR.r,H4,intermediate,bullish,impulse,yes,,strong_match,,,too_small_for_timeframe,supports_wave_role,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,low_prominence_vs_window,-24,count is too small or short relative to visible window,True,False,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1831,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,84,usable_provisional_structure,structure=impulse; H4/D1 primary scope; degree=intermediate; H4/D1 profile match=yes; visual_status=strong_match; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=positive; end_ewo_slope=0.1831; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,count is too small or short relative to visible window,yes_with_manual_spot_check,visual_watchlist_low_prominence,54.0,-30,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,downgrade_to_watchlist,watchlist_only,False,0.020125,0.053636,small,Metals,,Metals,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,visual_watchlist_low_prominence,54.0,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,count is too small or short relative to visible window,watchlist_only
impulse_exp257_index_aus200_h4_intermediate_impulse_035,h4_d1,Index,AUS200,H4,intermediate,bearish,impulse,near_miss,,false_positive_risk,,context_conflict,too_small_for_timeframe,supports_wave_role,explains_correction,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,True,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,relative_wave_role_support,supports,8,,input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15,True,ema_htf_correction_context,contextual,-10,,htf_conflict_warning,True,input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,exclude_from_guided_search,24,exclude_from_guided_search,structure=impulse; H4/D1 primary scope; degree=intermediate; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_wave_role; momentum_matches_direction=True; end_ewo_direction=negative; end_ewo_slope=-10.15; input_label=explains_correction; trend_context_label=correction_against_htf; ema_band=below_band; htf_match=False; ltf_match=True; htf_conflict_warning; context_must_not_rescue_bad_count,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no,exclude_from_guided_search,24.0,0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,keep,no,False,0.448578,0.06,medium_small,Index,Index,Index,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,exclude_from_guided_search,24.0,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,no
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_046,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,bullish,impulse,yes,,acceptable_match,,,too_small_for_timeframe,supports_momentum_only,supports_context,,low_prominence_vs_window,-20,count is too small or short relative to visible window,True,False,too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.0001151,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,77,usable_provisional_structure,structure=impulse; H4/D1 primary scope; degree=intermediate; H4/D1 profile match=yes; visual_status=acceptable_match; too_small_for_timeframe from prominence diagnostics; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.0001151; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,count is too small or short relative to visible window; EWO supports momentum but not full wave role,yes_with_manual_spot_check,visual_watchlist_low_prominence,47.0,-30,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,downgrade_to_watchlist,watchlist_only,False,0.224647,0.068182,medium_small,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,visual_watchlist_low_prominence,47.0,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,count is too small or short relative to visible window; EWO supports momentum but not full wave role,watchlist_only
impulse_exp257_forex_majors_audcadr_h4_major_impulse_034,h4_d1,Forex Majors,AUDCAD.r,H4,major,bullish,impulse,near_miss,,near_miss_useful,,higher_degree_context,acceptable_for_timeframe,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png,acceptable_for_timeframe,4,,False,False,structure size is acceptable for the reviewed timeframe,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.000159,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,78,usable_provisional_structure,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; structure size is acceptable for the reviewed timeframe; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.000159; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,major is higher-degree context; H4/D1 near_miss stays provisional; EWO supports momentum but not full wave role,yes_with_manual_spot_check,usable_provisional_structure,78.0,0,No 2.5.6 prominence adjustment required.,no_change,yes,False,0.497873,0.132727,balanced,Forex Majors,,Forex Majors,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,usable_provisional_structure,78.0,No 2.5.6 prominence adjustment required.,major is higher-degree context; H4/D1 near_miss stays provisional; EWO supports momentum but not full wave role,yes
impulse_exp257_metals_xageurr_h4_major_impulse_030,h4_d1,Metals,XAGEUR.r,H4,major,bullish,impulse,near_miss,,near_miss_useful,,higher_degree_context,ambiguous_scale,supports_momentum_only,supports_context,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,ambiguous_scale,-7,scale is ambiguous,False,False,scale diagnostic is ambiguous; relative_structure_size=medium_small,momentum_context_only,partial,1,EWO supports momentum but not full wave role,input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.2018,True,ema_htf_context_support,supports,8,,,False,input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,usable_provisional_structure,67,usable_provisional_structure,structure=impulse; H4/D1 primary scope; visual_status=near_miss_useful; scale diagnostic is ambiguous; relative_structure_size=medium_small; input_label=supports_momentum_only; end_ewo_direction=positive; end_ewo_slope=-0.2018; input_label=supports_context; trend_context_label=impulse_with_htf; ema_band=above_band; htf_match=True; ltf_match=True,major is higher-degree context; H4/D1 near_miss stays provisional; scale is ambiguous; EWO supports momentum but not full wave role,yes_with_manual_spot_check,usable_provisional_structure,67.0,0,No 2.5.6 prominence adjustment required.,no_change,yes,False,0.553603,0.100909,medium_small,Metals,,Metals,sql_explicit,symbol_control.group,True,new_controlled_h4_d1_by_market_group,True,,,usable_provisional_structure,67.0,No 2.5.6 prominence adjustment required.,major is higher-degree context; H4/D1 near_miss stays provisional; scale is ambiguous; EWO supports momentum but not full wave role,yes
