resolved_market_group,symbol,timeframe,swing_degree,candidate_count,prominence_vs_window_count,prominence_vs_window_mean,prominence_vs_window_median,prominence_vs_window_p10,prominence_vs_window_p25,prominence_vs_window_p75,prominence_vs_window_p90,prominence_vs_window_min,prominence_vs_window_max,duration_vs_window_count,duration_vs_window_mean,duration_vs_window_median,duration_vs_window_p10,duration_vs_window_p25,duration_vs_window_p75,duration_vs_window_p90,duration_vs_window_min,duration_vs_window_max,low_prominence_count,too_small_for_timeframe_count
Forex Majors,AUDCAD.r,H4,intermediate,8,8,0.156873,0.15178,0.122935,0.143637,0.167142,0.189624,0.110477,0.224647,8,0.045227,0.038182,0.025818,0.029091,0.06,0.072818,0.018182,0.083636,2,2
Forex Majors,AUDCAD.r,H4,major,8,8,0.32887,0.371278,0.164652,0.172123,0.415099,0.498243,0.164652,0.499105,8,0.124205,0.140455,0.057273,0.100909,0.155455,0.160364,0.057273,0.171818,0,0
Forex Majors,AUDCAD.r,H4,minor,8,8,0.217288,0.174614,0.162861,0.171676,0.207662,0.336959,0.162861,0.40732,8,0.041704,0.036818,0.023636,0.029773,0.052273,0.061546,0.023636,0.073636,2,2
Forex Majors,AUDJPY.r,H1,intermediate,8,8,0.183927,0.171621,0.087697,0.118397,0.202749,0.295861,0.087697,0.38086,8,0.054546,0.055455,0.028182,0.040454,0.062727,0.076364,0.028182,0.095455,1,0
Forex Majors,AUDJPY.r,H1,major,8,8,0.287274,0.286474,0.171621,0.257289,0.326578,0.369094,0.171621,0.432884,8,0.085568,0.071363,0.060909,0.060909,0.087727,0.118545,0.060909,0.180909,0,0
Forex Majors,AUDJPY.r,H1,minor,8,8,0.121298,0.102961,0.087697,0.090784,0.127858,0.162348,0.087697,0.241024,8,0.033977,0.031818,0.028182,0.028182,0.039318,0.041363,0.028182,0.044545,2,0
Forex Majors,AUDJPY.r,H4,intermediate,7,7,0.155947,0.147978,0.147364,0.147364,0.147978,0.171028,0.147364,0.205604,7,0.086666,0.084444,0.067778,0.076111,0.094444,0.102,0.067778,0.113333,0,0
Forex Majors,AUDJPY.r,H4,major,6,6,0.160778,0.205604,0.071125,0.104745,0.205604,0.205604,0.071125,0.205604,6,0.122778,0.113333,0.088889,0.095,0.1475,0.166111,0.088889,0.173333,0,0
Forex Majors,AUDJPY.r,H4,minor,8,8,0.128387,0.113437,0.088311,0.089738,0.138045,0.179194,0.084982,0.253464,8,0.060278,0.063889,0.038222,0.038889,0.076111,0.082111,0.036667,0.084444,2,1
Forex Majors,EURJPY.r,H4,intermediate,1,1,0.185072,0.185072,0.185072,0.185072,0.185072,0.185072,0.185072,0.185072,1,0.088889,0.088889,0.088889,0.088889,0.088889,0.088889,0.088889,0.088889,0,0
Forex Majors,EURUSD.r,H4,major,2,2,0.480325,0.480325,0.473827,0.476264,0.484386,0.486823,0.472202,0.488448,2,0.11,0.11,0.077111,0.089445,0.130555,0.142889,0.068889,0.151111,1,1
Index,AUS200,H1,intermediate,5,5,0.227294,0.240335,0.201211,0.240335,0.240335,0.240335,0.175129,0.240335,5,0.073818,0.069091,0.057091,0.069091,0.086364,0.091819,0.049091,0.095455,1,0
Index,AUS200,H1,major,5,5,0.375954,0.311727,0.311727,0.311727,0.325644,0.501623,0.311727,0.618943,5,0.124909,0.129091,0.102364,0.120909,0.129091,0.144909,0.09,0.155455,0,0
Index,AUS200,H1,minor,5,5,0.21518,0.240335,0.165954,0.234923,0.240335,0.240335,0.119974,0.240335,5,0.073455,0.078182,0.044727,0.070909,0.095455,0.095455,0.027273,0.095455,1,0
Index,AUS200,H4,intermediate,10,10,0.275639,0.281982,0.149947,0.153631,0.369566,0.448578,0.149947,0.448578,10,0.055151,0.056666,0.021818,0.042652,0.071363,0.081222,0.021818,0.082222,2,2
Index,AUS200,H4,major,10,10,0.419509,0.29659,0.281982,0.285634,0.379935,0.868578,0.281982,0.868578,10,0.088606,0.081667,0.053333,0.075455,0.094318,0.128243,0.053333,0.153333,0,0
Index,AUS200,H4,minor,10,10,0.274165,0.281982,0.149947,0.149947,0.369566,0.448578,0.149947,0.448578,10,0.050788,0.053333,0.021818,0.029773,0.07,0.081222,0.021818,0.082222,2,2
