candidate_id,source_scope,resolved_market_group,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,phase257_score,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,chart_path,example_id,metrics_available,metrics_unavailable_reason,visual_window_prominence,last_n_bars_prominence_120,last_n_bars_prominence_240,last_n_bars_prominence_480,last_n_bars_prominence_960,last_n_bars_prominence_primary,major_context_prominence,major_context_status,robust_window_prominence_p05_p95,robust_window_prominence_p10_p90,atr_normalized_count_size,robust_improvement_ratio_p05_p95,last_n_improvement_ratio,atr_14_at_end,count_window_range_recomputed,visible_window_range_recomputed,robust_window_range_p05_p95,robust_window_range_p10_p90,count_bars_recomputed,visible_window_bars_recomputed,last_n_primary,offline_metric_note,group_percentile_prominence,symbol_percentile_prominence,group_percentile_robust_prominence,symbol_percentile_robust_prominence
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,h4_d1,Forex Majors,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,54.0,0.306805,0.041818,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,exp257_forex_majors_audcadr_h4,True,,0.3068054622789346,0.8470333745364648,0.7917388792605448,0.7594901634801883,,0.7917388792605448,,not_available,0.3694020296222431,0.4026382278629772,12.139829167984868,1.2040268999070112,2.580589254766035,0.002257857142857137,0.027410000000000045,0.08934000000000009,0.07420099999999996,0.06807600000000003,46,1100,240,offline_diagnostic_not_live_rule,0.875,0.875,0.875,0.875
impulse_exp257_metals_xageurr_h4_minor_impulse_012,h4_d1,Metals,XAGEUR.r,H4,minor,impulse,exclude_from_guided_search,50.0,0.019648,0.029091,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,exp257_metals_xageurr_h4,True,,0.019647744017963632,0.6255585344057188,0.421052631578947,0.421052631578947,,0.421052631578947,,not_available,0.029199881531909198,0.03303406047592638,6.765619606489502,1.4861696846829942,21.430075187969926,0.2069285714285703,1.3999999999999986,71.255,47.94539999999998,42.38050000000002,32,1100,240,offline_diagnostic_not_live_rule,0.2,0.2,0.2,0.2
impulse_exp257_index_aus200_h4_minor_impulse_049,h4_d1,Index,AUS200,H4,minor,impulse,exclude_from_guided_search,44.0,0.448578,0.06,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,exp257_index_aus200_h4,True,,0.4485781710914455,1.0,0.9445452060920775,0.6664154118533849,,0.9445452060920775,,not_available,0.758592203562991,0.8963483066592486,9.29673362445415,1.6911036970819233,2.1056423762081056,40.892857142857146,380.1700000000001,847.5,501.15200000000004,424.1319999999996,66,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,h4_d1,Forex Majors,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,54.0,0.40732,0.073636,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,exp257_forex_majors_audcadr_h4,True,,0.4073203492276696,0.9511238891792986,0.6772752652149636,0.6331999303984691,,0.6772752652149636,,not_available,0.4904246573496321,0.5345496210118106,8.539389875963796,1.204026899907011,1.662758235622557,0.004261428571428575,0.03639000000000003,0.08934000000000009,0.07420099999999996,0.06807600000000003,81,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,impulse,exclude_from_guided_search,20.0,0.154802,0.038182,small,too_small_for_timeframe,low_prominence_vs_window,,exp257_forex_majors_audcadr_h4,True,,0.15480188045668228,0.8865384615384588,0.8865384615384588,0.8865384615384588,,0.8865384615384588,,not_available,0.1863856282260349,0.20315529702097662,7.238130841121516,1.2040268999070112,5.726923076923062,0.0019107142857142814,0.013830000000000009,0.08934000000000009,0.07420099999999996,0.06807600000000003,42,1100,240,offline_diagnostic_not_live_rule,0.625,0.625,0.625,0.625
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,h4_d1,Metals,XAGEUR.r,H4,intermediate,impulse,visual_watchlist_low_prominence,54.0,0.020125,0.053636,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,exp257_metals_xageurr_h4,True,,0.020124903515542834,0.6991711360312058,0.43127819548872326,0.43127819548872326,,0.43127819548872326,,not_available,0.029909021511969974,0.033836316230341876,8.01437125748498,1.4861696846829942,21.43007518796993,0.17892857142857313,1.4340000000000046,71.255,47.94539999999998,42.38050000000002,59,1100,240,offline_diagnostic_not_live_rule,0.2,0.2,0.2,0.2
impulse_exp257_index_aus200_h4_intermediate_impulse_035,h4_d1,Index,AUS200,H4,intermediate,impulse,exclude_from_guided_search,24.0,0.448578,0.06,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,exp257_index_aus200_h4,True,,0.4485781710914455,1.0,0.9445452060920775,0.6664154118533849,,0.9445452060920775,,not_available,0.758592203562991,0.8963483066592486,9.29673362445415,1.6911036970819233,2.1056423762081056,40.892857142857146,380.1700000000001,847.5,501.15200000000004,424.1319999999996,66,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_046,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,impulse,visual_watchlist_low_prominence,47.0,0.224647,0.068182,medium_small,too_small_for_timeframe,low_prominence_vs_window,,exp257_forex_majors_audcadr_h4,True,,0.22464741437206193,1.0,0.9723837209302345,0.5682332955832395,,0.9723837209302345,,not_available,0.2704815298985195,0.2948175568482288,10.997260273972493,1.2040268999070112,4.328488372093029,0.001825000000000021,0.020070000000000032,0.08934000000000009,0.07420099999999996,0.06807600000000003,75,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_forex_majors_audcadr_h4_major_impulse_034,h4_d1,Forex Majors,AUDCAD.r,H4,major,impulse,usable_provisional_structure,78.0,0.497873,0.132727,balanced,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png,exp257_forex_majors_audcadr_h4,True,,0.49787329303783334,1.043886411640461,0.7283445226788935,0.6924034869240352,,0.7283445226788935,,not_available,0.5994528375628374,0.6533873905634887,14.041037204058613,1.2040268999070112,1.4629114131324708,0.0031678571428571506,0.044480000000000075,0.08934000000000009,0.07420099999999996,0.06807600000000003,146,1100,240,offline_diagnostic_not_live_rule,0.875,0.875,0.875,0.875
impulse_exp257_metals_xageurr_h4_major_impulse_030,h4_d1,Metals,XAGEUR.r,H4,major,impulse,usable_provisional_structure,67.0,0.553603,0.100909,medium_small,ambiguous_scale,ambiguous_scale,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,exp257_metals_xageurr_h4,True,,0.5536032559118659,1.0,0.7780166462861425,0.6574280857304756,,0.7780166462861425,,not_available,0.8227483762780167,0.9307818454241924,8.335592350535071,1.4861696846829942,1.4053686245118535,4.7323571428571425,39.447,71.255,47.94539999999998,42.38050000000002,111,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_index_aus200_h4_major_impulse_023,h4_d1,Index,AUS200,H4,major,impulse,usable_provisional_structure,75.0,0.868578,0.125455,large,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\011_impulse_exp257_index_aus200_h4_major_impulse_023.png,exp257_index_aus200_h4,True,,0.8685781710914464,1.0389104509208944,1.0,1.0,,1.0,,not_available,1.4688557563374,1.7355917497382924,15.246893123446576,1.6911036970819229,1.151306852143671,48.28000000000001,736.1200000000008,847.5,501.15200000000004,424.1319999999996,138,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,h4_d1,Forex Majors,AUDCAD.r,H4,major,impulse,usable_provisional_structure,85.0,0.499105,0.148182,balanced,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png,exp257_forex_majors_audcadr_h4,True,,0.49910454443698204,1.6775771256583873,0.7784567039106148,0.6849462365591396,,0.7784567039106148,,not_available,0.6009352973679606,0.6550032316822375,14.19417917235121,1.2040268999070112,1.559706703910616,0.003141428571428541,0.04459000000000002,0.08934000000000009,0.07420099999999996,0.06807600000000003,163,1100,240,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0
partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.148758,0.029091,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.14875755540631308,0.8519230769230752,0.8519230769230752,0.8519230769230752,,0.8519230769230752,,not_available,0.1791080982736086,0.19522298607438773,7.161662817551975,1.2040268999070112,5.726923076923061,0.0018557142857142858,0.013290000000000024,0.08934000000000009,0.07420099999999996,0.06807600000000003,32,1100,240,offline_diagnostic_not_live_rule,0.4375,0.4375,0.4375,0.4375
partial_123_exp257_metals_xageurr_h4_intermediate_partial123_002,h4_d1,Metals,XAGEUR.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.038776,0.055455,small,not_applicable,prominence_not_applicable,,exp257_metals_xageurr_h4,True,,0.03877622622973829,0.8309774436090233,0.8309774436090233,0.8309774436090233,,0.8309774436090233,,not_available,0.0576280519090466,0.0651950779249891,11.862005519779258,1.4861696846829942,21.43007518796993,0.23292857142857062,2.7630000000000017,71.255,47.94539999999998,42.38050000000002,61,1100,240,offline_diagnostic_not_live_rule,0.6,0.6,0.6,0.6
partial_123_exp257_index_aus200_h4_intermediate_partial123_002,h4_d1,Index,AUS200,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.149947,0.021818,small,not_applicable,prominence_not_applicable,,exp257_index_aus200_h4,True,,0.14994690265486718,1.0,1.0,1.0,,1.0,,not_available,0.2535757614456291,0.2996237020550207,3.6415588668740537,1.6911036970819229,6.669027384324838,34.89714285714308,127.07999999999993,847.5,501.15200000000004,424.1319999999996,24,1100,240,offline_diagnostic_not_live_rule,0.4,0.4,0.4,0.4
partial_123_exp257_forex_majors_audcadr_h4_intermediate_partial123_006,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,partial_123,exclude_from_guided_search,0.0,0.128274,0.018182,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.1282740094022836,0.7346153846153836,0.7346153846153836,0.7346153846153836,,0.7346153846153836,,not_available,0.1544453578792743,0.16834126564428023,5.997757009345821,1.204026899907011,5.726923076923061,0.0019107142857142814,0.011460000000000026,0.08934000000000009,0.07420099999999996,0.06807600000000003,20,1100,240,offline_diagnostic_not_live_rule,0.25,0.25,0.25,0.25
partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_002,h4_d1,Forex Majors,AUDCAD.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.174614,0.031818,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.1746138347884491,1.0,1.0,1.0,,1.0,,not_available,0.21023975418121138,0.2291556495681305,6.7407407407407,1.2040268999070112,5.726923076923061,0.002314285714285737,0.015600000000000058,0.08934000000000009,0.07420099999999996,0.06807600000000003,35,1100,240,offline_diagnostic_not_live_rule,0.5625,0.5625,0.5625,0.5625
partial_123_exp257_metals_xageurr_h4_minor_partial123_002,h4_d1,Metals,XAGEUR.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.043295,0.044545,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\018_partial_123_exp257_metals_xageurr_h4_minor_partial123_002.png,exp257_metals_xageurr_h4,True,,0.043295207353869866,0.9853082082401791,0.9853082082401791,0.9853082082401791,,0.9853082082401791,,not_available,0.06434402466138563,0.07279291183445206,9.818140486474197,1.4861696846829942,22.757904822740365,0.3142142857142855,3.0849999999999973,71.255,47.94539999999998,42.38050000000002,49,1100,240,offline_diagnostic_not_live_rule,0.7,0.7,0.7,0.7
partial_123_exp257_index_aus200_h4_minor_partial123_002,h4_d1,Index,AUS200,H4,minor,partial_123,exclude_from_guided_search,0.0,0.149947,0.021818,small,not_applicable,prominence_not_applicable,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\partials\019_partial_123_exp257_index_aus200_h4_minor_partial123_002.png,exp257_index_aus200_h4,True,,0.14994690265486718,1.0,1.0,1.0,,1.0,,not_available,0.2535757614456291,0.2996237020550207,3.6415588668740537,1.6911036970819229,6.669027384324838,34.89714285714308,127.07999999999993,847.5,501.15200000000004,424.1319999999996,24,1100,240,offline_diagnostic_not_live_rule,0.5,0.5,0.5,0.5
partial_123_exp257_forex_majors_audcadr_h4_minor_partial123_005,h4_d1,Forex Majors,AUDCAD.r,H4,minor,partial_123,exclude_from_guided_search,0.0,0.162861,0.023636,small,not_applicable,prominence_not_applicable,,exp257_forex_majors_audcadr_h4,True,,0.16286098052384204,0.9326923076923083,0.9326923076923083,0.9326923076923083,,0.9326923076923083,,not_available,0.19608900149593766,0.21373171161642954,5.860184119677795,1.2040268999070112,5.726923076923062,0.0024828571428571517,0.014550000000000063,0.08934000000000009,0.07420099999999996,0.06807600000000003,26,1100,240,offline_diagnostic_not_live_rule,0.1875,0.1875,0.1875,0.1875
