candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,phase257_policy_bucket,prominence_visual_verdict,normalization_need,should_change_policy_now,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,reviewed_chart_path,notes
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,exclude_from_guided_search,acceptable_after_group_normalization,group_percentile,no_document_only,0.11047683008730608,0.13301707524157275,0.6326923076923011,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\001_028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,Revisión visual asistida; la fase no cambia política 2.5.6.
abc_exp252_forex_audjpy_h4_intermediate_abc_002,Forex Majors,h4_d1,AUDJPY.r,H4,intermediate,exclude_from_guided_search,acceptable_after_group_normalization,group_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\002_025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors,h4_d1,AUDJPY.r,H4,intermediate,high_quality_structure,acceptable_after_group_normalization,none,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\003_005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
abc_exp252_forex_audjpy_h4_major_abc_005,Forex Majors,h4_d1,AUDJPY.r,H4,major,exclude_from_guided_search,true_low_prominence,symbol_timeframe_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\004_036_abc_exp252_forex_audjpy_h4_major_abc_005.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp252_forex_audjpy_h4_major_partial123_002,Forex Majors,h4_d1,AUDJPY.r,H4,major,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\005_021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,Forex Majors,h4_d1,AUDCAD.r,H4,major,usable_provisional_structure,acceptable_after_group_normalization,none,no_document_only,0.49910454443698204,0.6009352973679606,0.7784567039106148,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\006_012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png,Revisión visual asistida; la fase no cambia política 2.5.6.
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,Forex Majors,h4_d1,AUDJPY.r,H4,minor,exclude_from_guided_search,acceptable_after_group_normalization,group_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\007_017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp252_forex_audjpy_h4_minor_impulse_004,Forex Majors,h4_d1,AUDJPY.r,H4,minor,auxiliary_low_prominence_substructure,acceptable_after_group_normalization,group_percentile,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\008_001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png,Revisión visual asistida; la fase no cambia política 2.5.6.
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,0.4073203492276696,0.4904246573496321,0.6772752652149636,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\009_004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,Revisión visual asistida; la fase no cambia política 2.5.6.
abc_exp257_index_aus200_h4_intermediate_abc_002,Index,h4_d1,AUS200,H4,intermediate,exclude_from_guided_search,acceptable_after_group_normalization,group_percentile,no_document_only,0.14994690265486718,0.2535757614456291,1.0,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\010_027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,Revisión visual asistida; la fase no cambia política 2.5.6.
abc_exp252_index_aus200_h4_intermediate_abc_001,Index,h4_d1,AUS200,H4,intermediate,exclude_from_guided_search,acceptable_after_group_normalization,none,no_document_only,,,,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\011_027_abc_exp252_index_aus200_h4_intermediate_abc_001.png,Revisión visual asistida; la fase no cambia política 2.5.6.
