candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,prominence_vs_window,visual_window_prominence,robust_window_prominence_p05_p95,last_n_bars_prominence_primary,atr_normalized_count_size,group_percentile_prominence,symbol_percentile_prominence,chart_path,reviewed_chart_path
abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010,Forex Majors_intermediate_low_visual_prominence,Forex Majors,h4_d1,AUDCAD.r,H4,intermediate,abc,exclude_from_guided_search,0.110477,0.11047683008730608,0.13301707524157275,0.6326923076923011,4.748453608247407,0.125,0.125,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\001_028_abc_exp257_forex_majors_audcadr_h4_intermediate_abc_010.png
abc_exp252_forex_audjpy_h4_intermediate_abc_002,Forex Majors_intermediate_mid_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,intermediate,abc,exclude_from_guided_search,0.147978,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\002_025_abc_exp252_forex_audjpy_h4_intermediate_abc_002.png
impulse_exp252_forex_audjpy_h4_intermediate_impulse_002,Forex Majors_intermediate_high_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,intermediate,impulse,high_quality_structure,0.205604,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\matches\005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\003_005_impulse_exp252_forex_audjpy_h4_intermediate_impulse_002.png
abc_exp252_forex_audjpy_h4_major_abc_005,Forex Majors_major_low_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,major,abc,exclude_from_guided_search,0.071125,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\036_abc_exp252_forex_audjpy_h4_major_abc_005.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\004_036_abc_exp252_forex_audjpy_h4_major_abc_005.png
partial_123_exp252_forex_audjpy_h4_major_partial123_002,Forex Majors_major_mid_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,major,partial_123,exclude_from_guided_search,0.205604,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\005_021_partial_123_exp252_forex_audjpy_h4_major_partial123_002.png
impulse_exp257_forex_majors_audcadr_h4_major_impulse_036,Forex Majors_major_high_visual_prominence,Forex Majors,h4_d1,AUDCAD.r,H4,major,impulse,usable_provisional_structure,0.499105,0.49910454443698204,0.6009352973679606,0.7784567039106148,14.19417917235121,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\006_012_impulse_exp257_forex_majors_audcadr_h4_major_impulse_036.png
partial_123_exp252_forex_audjpy_h4_minor_partial123_002,Forex Majors_minor_low_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,minor,partial_123,exclude_from_guided_search,0.084982,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\007_017_partial_123_exp252_forex_audjpy_h4_minor_partial123_002.png
impulse_exp252_forex_audjpy_h4_minor_impulse_004,Forex Majors_minor_mid_visual_prominence,Forex Majors,h4_d1,AUDJPY.r,H4,minor,impulse,auxiliary_low_prominence_substructure,0.147364,,,,,,,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\near_misses\001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\008_001_impulse_exp252_forex_audjpy_h4_minor_impulse_004.png
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,Forex Majors_minor_high_visual_prominence,Forex Majors,h4_d1,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,0.40732,0.4073203492276696,0.4904246573496321,0.6772752652149636,8.539389875963796,1.0,1.0,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\forex_majors\009_004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png
abc_exp257_index_aus200_h4_intermediate_abc_002,Index_intermediate_low_visual_prominence,Index,h4_d1,AUS200,H4,intermediate,abc,exclude_from_guided_search,0.149947,0.14994690265486718,0.2535757614456291,1.0,3.6415588668740537,0.4,0.4,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\abc\027_abc_exp257_index_aus200_h4_intermediate_abc_002.png,artifacts\wavecount\05_guided_profile\phase2_5_8_prominence_normalization_audit_2026-05-24\charts\prominence_review\index\010_027_abc_exp257_index_aus200_h4_intermediate_abc_002.png
