candidate_id,source_scope,resolved_market_group,symbol,timeframe,swing_degree,review_category,phase257_policy_bucket,phase257_score,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,chart_path,example_id,metrics_available,metrics_unavailable_reason,visual_window_prominence,last_n_bars_prominence_120,last_n_bars_prominence_240,last_n_bars_prominence_480,last_n_bars_prominence_960,last_n_bars_prominence_primary,major_context_prominence,major_context_status,robust_window_prominence_p05_p95,robust_window_prominence_p10_p90,atr_normalized_count_size,robust_improvement_ratio_p05_p95,last_n_improvement_ratio,atr_14_at_end,count_window_range_recomputed,visible_window_range_recomputed,robust_window_range_p05_p95,robust_window_range_p10_p90,count_bars_recomputed,visible_window_bars_recomputed,last_n_primary,offline_metric_note,group_percentile_prominence,symbol_percentile_prominence,group_percentile_robust_prominence,symbol_percentile_robust_prominence,direction,phase256_policy_bucket,phase256_score,phase256_prominence_action,phase256_ready_for_expansion,phase256_adjustment_reason,context_must_not_rescue_bad_count,ema_htf_policy_label,ewo_policy_label,phase257_policy_warnings,phase257_policy_reasons,diagnostic_only,expansion_origin,phase256_policy_bucket_exact,phase256_score_exact,phase256_prominence_action_exact,phase256_ready_for_expansion_exact,phase256_policy_source,symbol_timeframe_degree_family_size,group_timeframe_degree_family_size,percentile_scope_used,robust_prominence_percentile,percentile_family_size,percentile_confidence
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028,h4_d1,Forex Majors,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,54.0,0.306805,0.041818,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\001_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_028.png,exp257_forex_majors_audcadr_h4,True,,0.3068054622789346,0.8470333745364648,0.7917388792605448,0.7594901634801883,,0.7917388792605448,,not_available,0.3694020296222431,0.4026382278629772,12.139829167984868,1.2040268999070112,2.580589254766035,0.0022578571428571,0.02741,0.08934,0.0742009999999999,0.068076,46,1100,240.0,offline_diagnostic_not_live_rule,0.875,0.875,0.875,0.875,bullish,exclude_from_guided_search,54.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,False,ema_htf_context_support,relative_wave_role_support,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.875,8,good
impulse_exp257_metals_xageurr_h4_minor_impulse_012,h4_d1,Metals,XAGEUR.r,H4,minor,impulse,exclude_from_guided_search,50.0,0.019648,0.029091,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,exp257_metals_xageurr_h4,True,,0.0196477440179636,0.6255585344057188,0.421052631578947,0.421052631578947,,0.421052631578947,,not_available,0.0291998815319091,0.0330340604759263,6.765619606489502,1.4861696846829942,21.430075187969926,0.2069285714285703,1.3999999999999986,71.255,47.94539999999998,42.38050000000002,32,1100,240.0,offline_diagnostic_not_live_rule,0.2,0.2,0.2,0.2,bullish,exclude_from_guided_search,50.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,False,ema_htf_context_support,relative_wave_role_support,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.2,5,good
impulse_exp257_index_aus200_h4_minor_impulse_049,h4_d1,Index,AUS200,H4,minor,impulse,exclude_from_guided_search,44.0,0.448578,0.06,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\003_impulse_exp257_index_aus200_h4_minor_impulse_049.png,exp257_index_aus200_h4,True,,0.4485781710914455,1.0,0.9445452060920776,0.6664154118533849,,0.9445452060920776,,not_available,0.758592203562991,0.8963483066592486,9.29673362445415,1.691103697081923,2.1056423762081056,40.892857142857146,380.1700000000001,847.5,501.152,424.1319999999996,66,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bearish,exclude_from_guided_search,44.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,False,ema_htf_correction_context,relative_wave_role_support,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window; htf_conflict_warning,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,1.0,5,good
impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080,h4_d1,Forex Majors,AUDCAD.r,H4,minor,impulse,exclude_from_guided_search,54.0,0.40732,0.073636,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\004_impulse_exp257_forex_majors_audcadr_h4_minor_impulse_080.png,exp257_forex_majors_audcadr_h4,True,,0.4073203492276696,0.9511238891792986,0.6772752652149636,0.6331999303984691,,0.6772752652149636,,not_available,0.4904246573496321,0.5345496210118106,8.539389875963796,1.204026899907011,1.662758235622557,0.0042614285714285,0.03639,0.08934,0.0742009999999999,0.068076,81,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bullish,exclude_from_guided_search,54.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,False,ema_htf_context_support,relative_wave_role_support,minor is substructure; H4/D1 near_miss stays provisional; count is too small or short relative to visible window,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,1.0,8,good
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_004,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,impulse,exclude_from_guided_search,20.0,0.154802,0.038182,small,too_small_for_timeframe,low_prominence_vs_window,,exp257_forex_majors_audcadr_h4,True,,0.1548018804566822,0.8865384615384588,0.8865384615384588,0.8865384615384588,,0.8865384615384588,,not_available,0.1863856282260349,0.2031552970209766,7.238130841121516,1.2040268999070112,5.726923076923062,0.0019107142857142,0.01383,0.08934,0.0742009999999999,0.068076,42,1100,240.0,offline_diagnostic_not_live_rule,0.625,0.625,0.625,0.625,bullish,exclude_from_guided_search,20.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_correction_context,relative_wave_role_support,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.625,8,good
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,h4_d1,Metals,XAGEUR.r,H4,intermediate,impulse,visual_watchlist_low_prominence,54.0,0.020125,0.053636,small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,exp257_metals_xageurr_h4,True,,0.0201249035155428,0.6991711360312058,0.4312781954887232,0.4312781954887232,,0.4312781954887232,,not_available,0.0299090215119699,0.0338363162303418,8.01437125748498,1.4861696846829942,21.43007518796993,0.1789285714285731,1.4340000000000046,71.255,47.94539999999998,42.38050000000002,59,1100,240.0,offline_diagnostic_not_live_rule,0.2,0.2,0.2,0.2,bullish,visual_watchlist_low_prominence,54.0,downgrade_to_watchlist,watchlist_only,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,False,ema_htf_context_support,relative_wave_role_support,count is too small or short relative to visible window,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,0.2,5,good
impulse_exp257_index_aus200_h4_intermediate_impulse_035,h4_d1,Index,AUS200,H4,intermediate,impulse,exclude_from_guided_search,24.0,0.448578,0.06,medium_small,too_small_for_timeframe,low_prominence_vs_window,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\007_impulse_exp257_index_aus200_h4_intermediate_impulse_035.png,exp257_index_aus200_h4,True,,0.4485781710914455,1.0,0.9445452060920776,0.6664154118533849,,0.9445452060920776,,not_available,0.758592203562991,0.8963483066592486,9.29673362445415,1.691103697081923,2.1056423762081056,40.892857142857146,380.1700000000001,847.5,501.152,424.1319999999996,66,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bearish,exclude_from_guided_search,24.0,keep,no,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,ema_htf_correction_context,relative_wave_role_support,H4/D1 near_miss stays provisional; visual_status=false_positive_risk; count is too small or short relative to visible window; htf_conflict_warning; context_must_not_rescue_bad_count,Already excluded by 2.5.4; 2.5.5 did not find false-negative exclusions in the selected sample.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,1.0,5,good
impulse_exp257_forex_majors_audcadr_h4_intermediate_impulse_046,h4_d1,Forex Majors,AUDCAD.r,H4,intermediate,impulse,visual_watchlist_low_prominence,47.0,0.224647,0.068182,medium_small,too_small_for_timeframe,low_prominence_vs_window,,exp257_forex_majors_audcadr_h4,True,,0.2246474143720619,1.0,0.9723837209302344,0.5682332955832395,,0.9723837209302344,,not_available,0.2704815298985195,0.2948175568482288,10.997260273972492,1.2040268999070112,4.328488372093029,0.001825,0.02007,0.08934,0.0742009999999999,0.068076,75,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bullish,visual_watchlist_low_prominence,47.0,downgrade_to_watchlist,watchlist_only,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,False,ema_htf_context_support,momentum_context_only,count is too small or short relative to visible window; EWO supports momentum but not full wave role,H4/D1 intermediate low-prominence impulse is kept only as non-operational watchlist.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,1.0,8,good
impulse_exp257_forex_majors_audcadr_h4_major_impulse_034,h4_d1,Forex Majors,AUDCAD.r,H4,major,impulse,usable_provisional_structure,78.0,0.497873,0.132727,balanced,acceptable_for_timeframe,acceptable_for_timeframe,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\009_impulse_exp257_forex_majors_audcadr_h4_major_impulse_034.png,exp257_forex_majors_audcadr_h4,True,,0.4978732930378333,1.043886411640461,0.7283445226788935,0.6924034869240352,,0.7283445226788935,,not_available,0.5994528375628374,0.6533873905634887,14.041037204058613,1.2040268999070112,1.4629114131324708,0.0031678571428571,0.04448,0.08934,0.0742009999999999,0.068076,146,1100,240.0,offline_diagnostic_not_live_rule,0.875,0.875,0.875,0.875,bullish,usable_provisional_structure,78.0,no_change,yes,No 2.5.6 prominence adjustment required.,False,ema_htf_context_support,momentum_context_only,major is higher-degree context; H4/D1 near_miss stays provisional; EWO supports momentum but not full wave role,No 2.5.6 prominence adjustment required.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,8,8,symbol_timeframe_degree,0.875,8,good
impulse_exp257_metals_xageurr_h4_major_impulse_030,h4_d1,Metals,XAGEUR.r,H4,major,impulse,usable_provisional_structure,67.0,0.553603,0.100909,medium_small,ambiguous_scale,ambiguous_scale,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\010_impulse_exp257_metals_xageurr_h4_major_impulse_030.png,exp257_metals_xageurr_h4,True,,0.5536032559118659,1.0,0.7780166462861425,0.6574280857304756,,0.7780166462861425,,not_available,0.8227483762780167,0.9307818454241924,8.335592350535071,1.4861696846829942,1.4053686245118535,4.732357142857143,39.447,71.255,47.94539999999998,42.38050000000002,111,1100,240.0,offline_diagnostic_not_live_rule,1.0,1.0,1.0,1.0,bullish,usable_provisional_structure,67.0,no_change,yes,No 2.5.6 prominence adjustment required.,False,ema_htf_context_support,momentum_context_only,major is higher-degree context; H4/D1 near_miss stays provisional; scale is ambiguous; EWO supports momentum but not full wave role,No 2.5.6 prominence adjustment required.,True,new_controlled_h4_d1_by_market_group,,,,,phase257_phase256_compatible_expansion,5,5,symbol_timeframe_degree,1.0,5,good
