candidate_id,resolved_market_group,source_scope,symbol,timeframe,swing_degree,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase259_prominence_diagnostic,phase259_visual_verdict,robust_metric_verdict,percentile_verdict,reviewed_chart_path,notes
impulse_exp257_metals_xageurr_h4_minor_impulse_012,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,true_low_prominence,should_remain_excluded,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\001_002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,Metals,h4_d1,XAGEUR.r,H4,intermediate,visual_watchlist_low_prominence,candidate_visual_watchlist_low_prominence,unchanged,true_low_prominence,change_correct,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\002_006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002,Metals,h4_d1,XAGEUR.r,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\003_038_near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_index_aus200_h4_intermediate_impulse_002,Index,h4_d1,AUS200,H4,intermediate,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\004_039_near_miss_exp257_index_aus200_h4_intermediate_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002,Forex Majors,h4_d1,AUDCAD.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\005_040_near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_metals_xageurr_h4_minor_impulse_002,Metals,h4_d1,XAGEUR.r,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\006_041_near_miss_exp257_metals_xageurr_h4_minor_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_index_aus200_h4_minor_impulse_002,Index,h4_d1,AUS200,H4,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\007_042_near_miss_exp257_index_aus200_h4_minor_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
near_miss_exp257_metals_xageurr_h4_major_impulse_002,Metals,h4_d1,XAGEUR.r,H4,major,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\008_044_near_miss_exp257_metals_xageurr_h4_major_impulse_002.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,Forex Majors,h1_h4,AUDJPY.r,H1,minor,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,should_remain_excluded,robust_metric_helpful,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\009_001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,Metals,h1_h4,XAGUSD.r,H1,intermediate,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,true_low_prominence,change_correct,robust_metric_not_enough,percentile_helpful,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\010_006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,Heuristic visual audit selection; 2.5.9 remains a candidate policy trial.
