candidate_id,selection_reason,resolved_market_group,source_scope,symbol,timeframe,swing_degree,review_category,phase256_policy_bucket,phase259_candidate_bucket,phase259_bucket_change_vs_256,phase259_prominence_diagnostic,visual_window_prominence,robust_window_prominence_p05_p95,robust_prominence_percentile,percentile_scope_used,chart_path,reviewed_chart_path
impulse_exp257_metals_xageurr_h4_minor_impulse_012,true_low_prominence,Metals,h4_d1,XAGEUR.r,H4,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,true_low_prominence,0.0196477440179636,0.0291998815319091,0.2,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\001_002_impulse_exp257_metals_xageurr_h4_minor_impulse_012.png
impulse_exp257_metals_xageurr_h4_intermediate_impulse_008,true_low_prominence,Metals,h4_d1,XAGEUR.r,H4,intermediate,impulse,visual_watchlist_low_prominence,candidate_visual_watchlist_low_prominence,unchanged,true_low_prominence,0.0201249035155428,0.0299090215119699,0.2,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\002_006_impulse_exp257_metals_xageurr_h4_intermediate_impulse_008.png
near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002,window_distorted_low_prominence,Metals,h4_d1,XAGEUR.r,H4,intermediate,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.0387762262297382,0.0576280519090466,0.6,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\038_near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\003_038_near_miss_exp257_metals_xageurr_h4_intermediate_impulse_002.png
near_miss_exp257_index_aus200_h4_intermediate_impulse_002,window_distorted_low_prominence,Index,h4_d1,AUS200,H4,intermediate,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1646843657817105,0.2784983398250425,0.8,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\039_near_miss_exp257_index_aus200_h4_intermediate_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\004_039_near_miss_exp257_index_aus200_h4_intermediate_impulse_002.png
near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002,window_distorted_low_prominence,Forex Majors,h4_d1,AUDCAD.r,H4,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1746138347884491,0.2102397541812113,0.5625,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\040_near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\005_040_near_miss_exp257_forex_majors_audcadr_h4_minor_impulse_002.png
near_miss_exp257_metals_xageurr_h4_minor_impulse_002,window_distorted_low_prominence,Metals,h4_d1,XAGEUR.r,H4,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.0432952073538698,0.0643440246613856,0.7,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\041_near_miss_exp257_metals_xageurr_h4_minor_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\006_041_near_miss_exp257_metals_xageurr_h4_minor_impulse_002.png
near_miss_exp257_index_aus200_h4_minor_impulse_002,window_distorted_low_prominence,Index,h4_d1,AUS200,H4,minor,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1499469026548671,0.2535757614456291,0.5,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\042_near_miss_exp257_index_aus200_h4_minor_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\index\007_042_near_miss_exp257_index_aus200_h4_minor_impulse_002.png
near_miss_exp257_metals_xageurr_h4_major_impulse_002,window_distorted_low_prominence,Metals,h4_d1,XAGEUR.r,H4,major,near_miss,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.0387762262297382,0.0576280519090466,0.4,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_7_market_stratified_expansion_2026-05-24\diagnostic_phase2_4_h4_d1_stratified\charts\impulses\044_near_miss_exp257_metals_xageurr_h4_major_impulse_002.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\008_044_near_miss_exp257_metals_xageurr_h4_major_impulse_002.png
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,window_distorted_low_prominence,Forex Majors,h1_h4,AUDJPY.r,H1,minor,impulse,exclude_from_guided_search,candidate_exclude_from_guided_search,unchanged,window_distorted_low_prominence,0.1276011891150238,0.1670908818685431,0.75,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\forex_majors\009_001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,true_low_prominence,Metals,h1_h4,XAGUSD.r,H1,intermediate,impulse,auxiliary_low_prominence_substructure,candidate_auxiliary_low_prominence_substructure,unchanged,true_low_prominence,0.0934389493980924,0.1476250723854112,0.2,symbol_timeframe_degree,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_matches\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,artifacts\wavecount\05_guided_profile\phase2_5_9_robust_prominence_policy_trial_2026-05-24\charts\reviewed_changes\metals\010_006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png
