doc_name,current_path,topic,phase,doc_type,is_current,superseded_by,keep_in_docs_root,future_proposed_path,contains_old_folder_refs,contains_compressed_axis_refs,contains_abc_legacy_refs,recommendation
WAVECOUNT_ARTIFACTS_MANIFEST.md,docs\WAVECOUNT_ARTIFACTS_MANIFEST.md,artifacts_manifest,general,indice/manifest,True,,True,docs/wavecount/INDEX.md,True,True,True,keep root index/audit
WAVECOUNT_AUDITORIA_GLOBAL_2026-05-24.md,docs\WAVECOUNT_AUDITORIA_GLOBAL_2026-05-24.md,auditoria_global_2026-05-24,global_audit,auditoria,True,,True,docs/wavecount/90_audits/WAVECOUNT_AUDITORIA_GLOBAL_2026-05-24.md,False,False,False,keep root index/audit
WAVECOUNT_FASE1_5_SWINGS.md,docs\WAVECOUNT_FASE1_5_SWINGS.md,fase1_5_swings,1.5,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_5_SWINGS.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE1_6_GRADOS.md,docs\WAVECOUNT_FASE1_6_GRADOS.md,fase1_6_grados,1.6,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_6_GRADOS.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE1_PIVOTES.md,docs\WAVECOUNT_FASE1_PIVOTES.md,fase1_pivotes,1,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_PIVOTES.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE1_REVISION_VISUAL.md,docs\WAVECOUNT_FASE1_REVISION_VISUAL.md,fase1_revision_visual,1,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/02_pivots_and_swings/WAVECOUNT_FASE1_REVISION_VISUAL.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_1_REVISION_INVALIDACIONES.md,docs\WAVECOUNT_FASE2_1_REVISION_INVALIDACIONES.md,fase2_1_revision_invalidaciones,2.1,revision visual,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_1_REVISION_INVALIDACIONES.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_2_DIAGNOSTICO_IMPULSOS.md,docs\WAVECOUNT_FASE2_2_DIAGNOSTICO_IMPULSOS.md,fase2_2_diagnostico_impulsos,2.2,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_2_DIAGNOSTICO_IMPULSOS.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,docs\WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,fase2_3_1_wave5_endpoint,2.3.1,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,False,False,False,move only after creating redirects or index
WAVECOUNT_FASE2_3_2_PARTIAL123.md,docs\WAVECOUNT_FASE2_3_2_PARTIAL123.md,fase2_3_2_partial123,2.3.2,reporte de fase,False,later phase docs / WAVECOUNT_ARTIFACTS_MANIFEST.md,False,docs/wavecount/03_counts_and_visual_review/WAVECOUNT_FASE2_3_2_PARTIAL123.md,False,False,False,move only after creating redirects or index
