example_id,group,symbol,timeframe,status,rows,first_time,last_time,raw_confirmed_pivots,degree_pivots,error
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,ok,320,2026-02-26T02:00:00,2026-03-17T09:00:00,52,60,
forex_gbpusd_h1,Forex Majors,GBPUSD.r,H1,ok,320,2026-02-26T02:00:00,2026-03-17T09:00:00,57,68,
forex_usdjpy_h1,Forex Majors,USDJPY.r,H1,error,0,,,0,0,insufficient SQL rows: 0
forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,ok,320,2026-02-26T02:00:00,2026-03-17T09:00:00,53,52,
forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,ok,320,2026-03-06T18:00:00,2026-03-17T09:30:00,47,41,
forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,ok,320,2026-03-06T18:00:00,2026-03-17T09:30:00,54,29,
metals_xauusd_m30,Metals,XAUUSD.r,M30,ok,320,2026-03-06T11:00:00,2026-03-17T09:30:00,59,66,
metals_xauusd_h1,Metals,XAUUSD.r,H1,ok,320,2026-02-25T12:00:00,2026-03-17T09:00:00,53,66,
metals_xagusd_h1,Metals,XAGUSD.r,H1,ok,320,2026-02-25T12:00:00,2026-03-17T09:00:00,59,68,
metals_xptusd_h1,Metals,XPTUSD,H1,ok,300,2026-02-26T09:00:00,2026-03-17T09:00:00,48,56,
metals_xpdusd_h1,Metals,XPDUSD,H1,ok,300,2026-02-26T09:00:00,2026-03-17T09:00:00,50,62,
index_aus200_m30,Index,AUS200,M30,ok,320,2026-03-05T17:00:00,2026-03-17T09:30:00,45,69,
index_aus200_h1,Index,AUS200,H1,ok,320,2026-02-24T19:00:00,2026-03-17T09:00:00,56,72,
index_hk50_m30,Index,HK50,M30,ok,320,2026-03-06T11:00:00,2026-03-17T09:30:00,51,65,
index_us500_m30,Index,US500,M30,ok,320,2026-03-06T11:00:00,2026-03-17T09:30:00,50,56,
index_us30_m30,Index,US30,M30,ok,320,2026-03-06T11:00:00,2026-03-17T09:30:00,50,63,
