candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order
impulse_forex_audjpy_h1_minor_impulse_013,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-06 16:00:00,2026-03-11 07:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,1
impulse_metals_xagusd_h1_minor_impulse_019,impulse,impulse_diagnostics,metals_xagusd_h1_minor_impulse_019,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,19.0,24.0,2026-03-10 05:00:00,2026-03-12 03:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,2
impulse_index_aus200_h1_minor_impulse_006,impulse,impulse_diagnostics,index_aus200_h1_minor_impulse_006,index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,6.0,11.0,2026-03-02 07:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,3
impulse_forex_audjpy_h1_minor_impulse_015,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_015,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,15.0,20.0,2026-03-09 02:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,4
impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,impulse_diagnostics,forex_audjpy_h1_intermediate_impulse_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-06 16:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,5
impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,impulse_diagnostics,metals_xauusd_h1_intermediate_impulse_013,metals_xauusd_h1,Metals,XAUUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-11 04:00:00,2026-03-16 02:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,6
impulse_index_aus200_h1_intermediate_impulse_004,impulse,impulse_diagnostics,index_aus200_h1_intermediate_impulse_004,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,4.0,9.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,7
impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,impulse_diagnostics,forex_eurjpy_m30_intermediate_impulse_005,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,5.0,10.0,2026-03-11 07:00:00,2026-03-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,8
impulse_metals_xagusd_h1_major_impulse_009,impulse,impulse_diagnostics,metals_xagusd_h1_major_impulse_009,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-10 05:00:00,2026-03-16 13:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,9
impulse_index_aus200_h1_major_impulse_002,impulse,impulse_diagnostics,index_aus200_h1_major_impulse_002,index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,2.0,7.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,10
