candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path
impulse_forex_audjpy_h1_minor_impulse_013,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-06 16:00:00,2026-03-11 07:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,1,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.0145285714285563,0.3726999999999947,positive,H4,2026-03-11 00:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png
impulse_metals_xagusd_h1_minor_impulse_019,impulse,impulse_diagnostics,metals_xagusd_h1_minor_impulse_019,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,19.0,24.0,2026-03-10 05:00:00,2026-03-12 03:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,2,conflict_with_htf,0,HTF conflicts with candidate direction,False,False,True,True,False,True,False,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=positive,mixed_or_unclear,bullish_alignment,below_band,no_transition,-1.8825000000000074,0.180499999999995,negative,H4,2026-03-11 20:00:00,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png
impulse_index_aus200_h1_minor_impulse_006,impulse,impulse_diagnostics,index_aus200_h1_minor_impulse_006,index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,6.0,11.0,2026-03-02 07:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,3,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png
impulse_forex_audjpy_h1_minor_impulse_015,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_015,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,15.0,20.0,2026-03-09 02:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,4,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7761857142856883,-0.01338571428573232,positive,H4,2026-03-11 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png
impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,impulse_diagnostics,forex_audjpy_h1_intermediate_impulse_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-06 16:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,5,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7761857142856883,-0.01338571428573232,positive,H4,2026-03-11 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png
impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,impulse_diagnostics,metals_xauusd_h1_intermediate_impulse_013,metals_xauusd_h1,Metals,XAUUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-11 04:00:00,2026-03-16 02:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,6,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-71.63942857142865,-7.734142857142615,negative,H4,2026-03-13 20:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png
impulse_index_aus200_h1_intermediate_impulse_004,impulse,impulse_diagnostics,index_aus200_h1_intermediate_impulse_004,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,4.0,9.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,7,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png
impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,impulse_diagnostics,forex_eurjpy_m30_intermediate_impulse_005,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,5.0,10.0,2026-03-11 07:00:00,2026-03-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,8,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.3852857142857431,-0.08648571428574314,negative,H1,2026-03-13 23:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png
impulse_metals_xagusd_h1_major_impulse_009,impulse,impulse_diagnostics,metals_xagusd_h1_major_impulse_009,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-10 05:00:00,2026-03-16 13:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,9,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-2.5704142857142784,-0.4056142857142788,negative,H4,2026-03-16 08:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png
impulse_index_aus200_h1_major_impulse_002,impulse,impulse_diagnostics,index_aus200_h1_major_impulse_002,index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,2.0,7.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,10,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png
