doc_path,exists,size_bytes,mentions_phase253,mentions_no_signals,mentions_wavecount,issue
docs/ESTADO_TFG_ACTUAL.md,True,58742,True,True,True,
docs/AUDITORIA_GLOBAL_TFG_2026-05-16.md,True,26512,False,False,True,
docs/AUDITORIA_MENENDEZ_2026-05-14.md,True,10974,False,False,False,
docs/CIERRE_EMPIRICO_MENENDEZ_2026-05-14.md,True,6287,False,False,False,
docs/LIVE_SIGNAL_WATCHER_ENBOLSA.md,True,9998,False,False,True,
docs/RISKGUARD_OPERATIVO.md,True,5756,False,False,True,
docs/WAVECOUNT_ARTIFACTS_MANIFEST.md,True,26560,True,True,True,
docs/WAVECOUNT_FORMALIZACION.md,True,18051,False,True,True,
docs/WAVECOUNT_FASE1_PIVOTES.md,True,6237,False,True,True,
docs/WAVECOUNT_FASE1_5_SWINGS.md,True,5821,False,False,True,
docs/WAVECOUNT_FASE1_6_GRADOS.md,True,4993,False,True,True,
docs/WAVECOUNT_FASE2_CONTEO_CANDIDATO.md,True,14903,False,True,True,
docs/WAVECOUNT_FASE2_3_REVISION_VISUAL.md,True,11769,False,True,True,
docs/WAVECOUNT_FASE2_3_1_WAVE5_ENDPOINT.md,True,6552,False,True,True,
docs/WAVECOUNT_FASE2_3_2_PARTIAL123.md,True,4590,False,True,True,
docs/WAVECOUNT_FASE2_3_3_CALIBRACION_GRADOS.md,True,5358,False,False,True,
docs/WAVECOUNT_FASE2_3_4_CIERRE_VISUAL_H4_D1.md,True,3826,False,False,True,
docs/WAVECOUNT_FASE2_4_CONTEXTO_TECNICO.md,True,12674,False,True,True,
docs/WAVECOUNT_FASE2_4_2_AUDITORIA_CONTEXTO_CALIDAD.md,True,5432,False,False,True,
docs/WAVECOUNT_FASE2_4_3_AUDITORIA_ABC.md,True,5243,False,False,True,
docs/WAVECOUNT_FASE2_4_4_CORRECCIONES_CONTEXTUALES.md,True,5084,False,False,True,
docs/WAVECOUNT_FASE2_4_5_CIERRE_PRE_25.md,True,4826,False,False,True,
docs/WAVECOUNT_FASE2_5_0_SCORING_CONTEXTO.md,True,7127,False,True,True,
docs/WAVECOUNT_FASE2_5_1_PERFIL_IMPULSO_GUIADO.md,True,4370,False,False,True,
docs/WAVECOUNT_FASE2_5_2_EXPANSION_IMPULSO_GUIADO.md,True,5286,True,True,True,
docs/WAVECOUNT_FASE2_5_2B_H1_H4_AUXILIAR.md,True,4224,True,True,True,
docs/WAVECOUNT_FASE2_5_3_ESTADISTICA_DESCRIPTIVA.md,True,4963,True,True,True,
docs/ROADMAP_TFG_PLATAFORMA.md,True,24124,True,False,True,
