example_id,group,symbol,timeframe,example_type,raw_pivot_id,structure_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,atr,structural_detected_at,reason,leg_move_abs,leg_move_pct,leg_move_atr,bars_from_previous,previous_raw_pivot_id,replaced_by_raw_pivot_id,replacement_of_raw_pivot_id
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2,ambiguous_structure,high,2026-03-03 21:00:00,2026-03-04 00:00:00,1.16258,0.0025607142857142,2026-03-04 00:00:00,leg too close in bars,0.009539999999999882,0.008273780614722717,3.4390851952855526,4.0,1.0,,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,3,discarded_minor_pivot,low,2026-03-04 03:00:00,2026-03-04 06:00:00,1.15748,0.0021307142857143,2026-03-04 06:00:00,less extreme same-type pivot,,,,,,1.0,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,4,discarded_minor_pivot,low,2026-03-04 07:00:00,2026-03-04 10:00:00,1.1587,0.0016971428571428,2026-03-04 10:00:00,less extreme same-type pivot,,,,,,1.0,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,6,ambiguous_structure,low,2026-03-04 17:00:00,2026-03-04 20:00:00,1.16166,0.0021614285714285,2026-03-04 20:00:00,leg too close in bars,0.003810000000000091,0.0032690674148627514,1.7592348284961132,4.0,5.0,,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,7,discarded_minor_pivot,high,2026-03-05 03:00:00,2026-03-05 06:00:00,1.16475,0.0013164285714285,2026-03-05 06:00:00,less extreme same-type pivot,,,,,,5.0,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,8,discarded_minor_pivot,low,2026-03-05 10:00:00,2026-03-05 13:00:00,1.15816,0.0018535714285714,2026-03-05 13:00:00,superseded by more extreme same-type pivot,0.007309999999999928,0.006272147717229897,3.633587786259532,21.0,,9.0,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,11,discarded_minor_pivot,low,2026-03-06 16:00:00,2026-03-06 19:00:00,1.1546,0.0019721428571428,2026-03-06 19:00:00,superseded by more extreme same-type pivot,0.00749999999999984,0.006453833577144687,4.660452729693828,10.0,,13.0,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,12,ambiguous_structure,high,2026-03-06 20:00:00,2026-03-06 23:00:00,1.16215,0.0021714285714285,2026-03-06 23:00:00,leg too close in bars,0.007549999999999946,0.00653906114671743,3.6441992759869852,4.0,11.0,,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,14,ambiguous_structure,high,2026-03-09 08:00:00,2026-03-09 11:00:00,1.15714,0.0027299999999999,2026-03-09 11:00:00,leg too close in bars,0.006450000000000067,0.00560533245270235,2.5693555271021276,4.0,13.0,,
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,15,discarded_minor_pivot,low,2026-03-09 11:00:00,2026-03-09 14:00:00,1.15153,0.0025199999999999,2026-03-09 14:00:00,less extreme same-type pivot,,,,,,13.0,
