raw_confirmed_pivots,structural_pivots,discarded_minor_pivots,ambiguous_structure,compression_ratio,min_leg_atr_multiplier,min_leg_relative_move_pct,min_leg_bars,example_id,swing_degree,degree_min_leg_atr_multiplier,degree_min_leg_relative_move_pct,degree_min_leg_bars
39,29,7,3,0.7435897435897436,2.0,0.002,4,forex_clean_eurusd_h1,minor,2.0,0.002,4
39,23,12,4,0.5897435897435898,2.0,0.002,4,metals_ambiguous_xptusd_h1,minor,2.0,0.002,4
33,24,7,2,0.7272727272727273,2.0,0.002,4,index_gap_aus200_m30,minor,2.0,0.002,4
41,24,13,4,0.5853658536585366,2.0,0.002,4,metals_noisy_xauusd_m30,minor,2.0,0.002,4
39,13,16,10,0.3333333333333333,3.0,0.003,6,forex_clean_eurusd_h1,intermediate,3.0,0.003,6
39,13,15,11,0.3333333333333333,3.0,0.003,6,metals_ambiguous_xptusd_h1,intermediate,3.0,0.003,6
33,18,10,5,0.5454545454545454,3.0,0.003,6,index_gap_aus200_m30,intermediate,3.0,0.003,6
41,16,18,7,0.3902439024390244,3.0,0.003,6,metals_noisy_xauusd_m30,intermediate,3.0,0.003,6
39,8,19,12,0.20512820512820512,5.0,0.005,10,forex_clean_eurusd_h1,major,5.0,0.005,10
39,10,15,14,0.2564102564102564,5.0,0.005,10,metals_ambiguous_xptusd_h1,major,5.0,0.005,10
33,14,11,8,0.42424242424242425,5.0,0.005,10,index_gap_aus200_m30,major,5.0,0.005,10
41,11,18,12,0.2682926829268293,5.0,0.005,10,metals_noisy_xauusd_m30,major,5.0,0.005,10
