example_id,group,symbol,timeframe,example_type,timestamp,pivot_state,pivot_type,pivot_extreme_time,pivot_detected_at,pivot_extreme_price,confirmation_lag_bars,visibility_score,atr,lookahead_safe,is_candidate,is_confirmed,is_ambiguous,reason
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-03 13:00:00,candidate_low,low,2026-03-03 13:00:00,2026-03-03 13:00:00,1.15819,3,2.471607314725672,0.002597499999999975,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-03 16:00:00,candidate_low,low,2026-03-03 16:00:00,2026-03-03 16:00:00,1.15649,3,1.873343932167467,0.0026957142857142774,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-03 17:00:00,candidate_low,low,2026-03-03 17:00:00,2026-03-03 17:00:00,1.15304,3,2.792607802874742,0.003043749999999984,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-03 20:00:00,confirmed_low,low,2026-03-03 17:00:00,2026-03-03 20:00:00,1.15304,3,3.062994522215446,0.0029872727272727373,True,False,True,False,"visible move: atr_score=3.063, relative_score=0.00788"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-03 21:00:00,candidate_high,high,2026-03-03 21:00:00,2026-03-03 21:00:00,1.16258,3,3.2293370944992565,0.0029541666666666653,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 00:00:00,confirmed_high,high,2026-03-03 21:00:00,2026-03-04 00:00:00,1.16258,3,2.1986052998605294,0.0025607142857142972,True,False,True,False,"visible move: atr_score=2.199, relative_score=0.00485"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 02:00:00,candidate_low,low,2026-03-04 02:00:00,2026-03-04 02:00:00,1.15922,3,1.3540298507463113,0.002392857142857165,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 03:00:00,candidate_low,low,2026-03-04 03:00:00,2026-03-04 03:00:00,1.15748,3,1.9036001190121628,0.0024007142857143116,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 06:00:00,confirmed_low,low,2026-03-04 03:00:00,2026-03-04 06:00:00,1.15748,3,2.1448206503519436,0.002130714285714319,True,False,True,False,"visible move: atr_score=2.145, relative_score=0.00394"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 08:00:00,candidate_high,high,2026-03-04 08:00:00,2026-03-04 08:00:00,1.16177,3,1.7393767705381742,0.0017650000000000166,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 09:00:00,candidate_high,high,2026-03-04 09:00:00,2026-03-04 09:00:00,1.16281,3,2.3220338983049897,0.0017700000000000018,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 10:00:00,confirmed_low,low,2026-03-04 07:00:00,2026-03-04 10:00:00,1.1587,3,2.421717171717075,0.0016971428571428574,True,False,True,False,"visible move: atr_score=2.422, relative_score=0.00354"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 12:00:00,candidate_high,high,2026-03-04 12:00:00,2026-03-04 12:00:00,1.16469,3,3.026455026454981,0.0018900000000000108,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 13:00:00,candidate_high,high,2026-03-04 13:00:00,2026-03-04 13:00:00,1.16547,3,3.137240886347377,0.001998571428571437,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 16:00:00,confirmed_high,high,2026-03-04 13:00:00,2026-03-04 16:00:00,1.16547,3,2.889400921658978,0.0021700000000000053,True,False,True,False,"visible move: atr_score=2.889, relative_score=0.00539"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 17:00:00,candidate_low,low,2026-03-04 17:00:00,2026-03-04 17:00:00,1.16166,3,1.749426041325059,0.002177857142857152,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-04 20:00:00,confirmed_low,low,2026-03-04 17:00:00,2026-03-04 20:00:00,1.16166,3,1.642432253800475,0.002161428571428568,True,False,True,False,"visible move: atr_score=1.642, relative_score=0.00305"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 02:00:00,candidate_high,high,2026-03-05 02:00:00,2026-03-05 02:00:00,1.16453,3,1.3209990749306486,0.0015442857142857122,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 03:00:00,candidate_high,high,2026-03-05 03:00:00,2026-03-05 03:00:00,1.16475,3,1.4868421052631136,0.0015199999999999975,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 04:00:00,candidate_low,low,2026-03-05 04:00:00,2026-03-05 04:00:00,1.16224,3,1.760521042084179,0.001425714285714284,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 05:00:00,candidate_low,low,2026-03-05 05:00:00,2026-03-05 05:00:00,1.16099,3,2.6925831202045996,0.0013964285714285682,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 06:00:00,confirmed_high,high,2026-03-05 03:00:00,2026-03-05 06:00:00,1.16475,3,3.1904503526858337,0.0013164285714285676,True,False,True,False,"visible move: atr_score=3.190, relative_score=0.00362"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 07:00:00,candidate_low,low,2026-03-05 07:00:00,2026-03-05 07:00:00,1.1594,3,4.1518847006652,0.0012885714285714167,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 08:00:00,candidate_low,low,2026-03-05 08:00:00,2026-03-05 08:00:00,1.15877,3,3.2307692307692935,0.0013649999999999812,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 10:00:00,candidate_low,low,2026-03-05 10:00:00,2026-03-05 10:00:00,1.15816,3,2.357317670092955,0.0014592857142856947,True,True,False,False,"potential local low, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 11:00:00,candidate_high,high,2026-03-05 11:00:00,2026-03-05 11:00:00,1.1644,3,3.7158655891110435,0.0016792857142857085,True,True,False,False,"potential local high, waiting for confirmation latency"
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,2026-03-05 13:00:00,confirmed_low,low,2026-03-05 10:00:00,2026-03-05 13:00:00,1.15816,3,3.3664739884393007,0.0018535714285714386,True,False,True,False,"visible move: atr_score=3.366, relative_score=0.00537"
