example_id,group,symbol,timeframe,swing_degree,structural_pivots,full_impulse_windows,strict_candidate_impulse,soft_impulse_near_miss,hard_invalid_impulse,possible_diagonal,possible_truncation,partial_windows,partial_123_candidate,partial_123_ambiguous,partial_123_invalid
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,intermediate,13,8,0,2,6,2,2,10,3,0,7
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,major,8,3,0,1,2,1,0,5,1,0,4
forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,minor,29,24,3,4,17,4,3,26,10,0,16
index_gap_aus200_m30,Index,AUS200,M30,intermediate,18,13,0,2,11,2,2,15,3,1,11
index_gap_aus200_m30,Index,AUS200,M30,major,14,9,0,1,8,1,1,11,2,1,8
index_gap_aus200_m30,Index,AUS200,M30,minor,24,19,1,3,15,3,3,21,6,0,15
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,intermediate,13,8,0,3,5,2,3,10,3,0,7
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,major,10,5,0,1,4,1,1,7,2,0,5
metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,minor,23,18,1,5,12,5,4,20,8,0,12
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,intermediate,16,11,0,4,7,3,2,13,4,1,8
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,major,11,6,0,1,5,0,1,8,2,0,6
metals_noisy_xauusd_m30,Metals,XAUUSD.r,M30,minor,24,19,0,5,14,3,5,21,5,1,15
