partial_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,partial_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,partial_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1
forex_clean_eurusd_h1_intermediate_partial123_001,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bullish,1,4,2026-03-03 17:00:00,2026-03-06 06:00:00,2026-03-06 09:00:00,2026-03-06 09:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,0.012429999999999941,0.7715205148833494,0.006219999999999892,0.5004022526146357
forex_clean_eurusd_h1_intermediate_partial123_002,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_candidate,bearish,2,5,2026-03-04 13:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,True,,,,0.009589999999999987,0.6485922836287696,0.01140999999999992,1.1897810218978035
forex_clean_eurusd_h1_intermediate_partial123_003,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bullish,3,6,2026-03-05 18:00:00,2026-03-10 01:00:00,2026-03-10 04:00:00,2026-03-10 04:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.006219999999999892,1.8344051446945526,0.013859999999999983,2.2282958199357275
forex_clean_eurusd_h1_intermediate_partial123_004,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bearish,4,7,2026-03-06 06:00:00,2026-03-10 07:00:00,2026-03-10 10:00:00,2026-03-10 10:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.01140999999999992,1.214723926380375,0.0038599999999999746,0.33829973707274336
forex_clean_eurusd_h1_intermediate_partial123_005,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_candidate,bullish,5,8,2026-03-09 04:00:00,2026-03-10 20:00:00,2026-03-10 23:00:00,2026-03-10 23:00:00,True,,,,0.013859999999999983,0.27849927849927697,0.006040000000000045,0.43578643578643955
forex_clean_eurusd_h1_intermediate_partial123_006,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bearish,6,9,2026-03-10 01:00:00,2026-03-13 23:00:00,2026-03-16 02:00:00,2026-03-16 02:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,0.0038599999999999746,1.5647668393782603,0.025660000000000016,6.647668393782431
forex_clean_eurusd_h1_intermediate_partial123_007,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bullish,7,10,2026-03-10 07:00:00,2026-03-16 04:00:00,2026-03-16 07:00:00,2026-03-16 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.006040000000000045,4.248344370860898,0.0045800000000000285,0.7582781456953632
forex_clean_eurusd_h1_intermediate_partial123_008,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bearish,8,11,2026-03-10 20:00:00,2026-03-16 10:00:00,2026-03-16 13:00:00,2026-03-16 13:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,0.025660000000000016,0.17848791893998542,0.004229999999999956,0.1648480124707698
forex_clean_eurusd_h1_intermediate_partial123_009,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_candidate,bullish,9,12,2026-03-13 23:00:00,2026-03-16 22:00:00,2026-03-17 01:00:00,2026-03-17 01:00:00,True,,,,0.0045800000000000285,0.9235807860261855,0.011069999999999913,2.4170305676855555
forex_clean_eurusd_h1_intermediate_partial123_010,forex_clean_eurusd_h1,Forex Majors,EURUSD.r,H1,clean,intermediate,partial_impulse_123,partial_123_invalid,bearish,10,13,2026-03-16 04:00:00,2026-03-17 04:00:00,2026-03-17 07:00:00,2026-03-17 07:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,0.004229999999999956,2.6170212765957515,0.00383,0.9054373522458723
