candidate_id,source_id,review_category,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,start_pivot_id,end_pivot_id,count_detected_at,wave5_endpoint_status,proposed_endpoint_classification,wave5_exceeds_wave3,future_more_extreme_found,post_count_pivots_checked,post_wave5_extreme_pivot_id,post_wave5_extreme_time,post_wave5_extreme_detected_at,post_wave5_extreme_price,post_wave5_extension_abs,post_wave5_extension_vs_wave5,post_wave5_extension_vs_wave1,diagnostic_uses_post_count_pivots,causal_note,scenario,candidate_order,chart_path,chart_path_absolute
impulse_forex_audjpy_h1_minor_impulse_013,forex_audjpy_h1_minor_impulse_013,impulse,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,13,18,2026-03-11 10:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,20.0,2026-03-11 18:00:00,2026-03-11 21:00:00,113.959,0.32800000000000296,0.13999146393512696,0.38862559241706784,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,1,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png
impulse_metals_xagusd_h1_minor_impulse_019,metals_xagusd_h1_minor_impulse_019,impulse,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bearish,strict_candidate_impulse,19,24,2026-03-12 06:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,28.0,2026-03-13 10:00:00,2026-03-13 13:00:00,81.563,2.384999999999991,1.1308677098150692,0.7847976307996054,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,2,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png
impulse_index_aus200_h1_minor_impulse_006,index_aus200_h1_minor_impulse_006,impulse,index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,6,11,2026-03-06 02:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,15.0,2026-03-09 04:00:00,2026-03-09 07:00:00,8449.8,295.7000000000007,1.272922944468367,3.3412429378531154,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,3,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png
impulse_forex_audjpy_h1_intermediate_impulse_009,forex_audjpy_h1_intermediate_impulse_009,impulse,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,9,14,2026-03-11 21:00:00,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,True,False,2,,,,,,,,True,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",h1_m30,5,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png
impulse_index_aus200_h1_intermediate_impulse_004,index_aus200_h1_intermediate_impulse_004,impulse,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,strict_candidate_impulse,4,9,2026-03-06 02:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,11.0,2026-03-09 04:00:00,2026-03-09 07:00:00,8449.8,295.7000000000007,1.272922944468367,2.290472501936515,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,7,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png
impulse_forex_eurjpy_m30_intermediate_impulse_005,forex_eurjpy_m30_intermediate_impulse_005,impulse,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,intermediate,bearish,strict_candidate_impulse,5,10,2026-03-16 01:30:00,premature_wave5_completion,premature_wave5_completion,True,True,3,12.0,2026-03-16 10:30:00,2026-03-16 12:00:00,181.869,0.26900000000000546,0.34398976982098667,0.2969094922737441,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,8,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png
impulse_index_aus200_h1_major_impulse_002,index_aus200_h1_major_impulse_002,impulse,index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,2,7,2026-03-06 02:00:00,premature_wave5_completion,premature_wave5_completion,True,True,4,9.0,2026-03-09 04:00:00,2026-03-09 07:00:00,8449.8,295.7000000000007,1.272922944468367,2.290472501936515,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,10,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png
impulse_index_hk50_m30_major_impulse_003,index_hk50_m30_major_impulse_003,impulse,index_hk50_m30,Index,HK50,M30,major,bearish,strict_candidate_impulse,3,8,2026-03-13 04:30:00,premature_wave5_completion,premature_wave5_completion,True,True,4,10.0,2026-03-16 04:30:00,2026-03-16 06:00:00,25312.75,100.25,0.269670477471419,0.2726036709721278,True,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",h1_m30,12,charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\012_impulse_index_hk50_m30_major_impulse_003.png
near_miss_forex_audjpy_h1_intermediate_impulse_011,forex_audjpy_h1_intermediate_impulse_011,near_miss,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,soft_impulse_near_miss,11,16,2026-03-17 01:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,0,,,,,,,,False,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,37,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png
near_miss_metals_xagusd_h1_intermediate_impulse_003,metals_xagusd_h1_intermediate_impulse_003,near_miss,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,soft_impulse_near_miss,3,8,2026-03-04 23:00:00,truncated_fifth_candidate,truncated_fifth_candidate,False,False,4,,,,,,,,True,"Wave 5 does not exceed wave 3. Keep as truncation/near-miss, not as a clean impulse.",h1_m30,38,charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\038_near_miss_metals_xagusd_h1_intermediate_impulse_003.png
