phase,candidate_order,candidate_id,review_category,swing_degree,chart_path,chart_path_absolute,context_chart_path,context_chart_path_absolute,example_type,visual_review_status,visual_quality_score,swing_degree_fit,d1_context_usefulness,ema_context_usefulness,ewo_context_usefulness,context_changes_phase23_reading,why_good
phase2_3_h4_count_only,2,impulse_metals_xagusd_h4_minor_impulse_001,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,,keep_as_good_example,excellent_example,5,good,,,,,Clean bullish 0-5 sequence with visible retracements and good Elliott readability.
phase2_3_h4_count_only,4,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,minor,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,,keep_as_good_example,excellent_example,5,good,,,,,Natural bullish five-wave structure before the later selloff.
phase2_3_h4_count_only,6,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,intermediate,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,,keep_as_good_example,excellent_example,5,good,,,,,Strong broad bullish 1-2-3-4-5; one of the cleanest intermediate examples.
phase2_3_h4_count_only,8,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,intermediate,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,,keep_as_good_example,excellent_example,5,good,,,,,"Very clean bullish advance from a low, with five recognizable H4 legs."
phase2_3_h4_count_only,12,impulse_forex_gbpusd_h4_major_impulse_012,impulse,major,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,,,keep_as_good_example,excellent_example,5,good,,,,,Good major bearish impulse with strong wave 3 and natural extended fifth.
phase2_3_h4_count_only,14,partial_123_metals_xagusd_h4_intermediate_partial123_001,partial_123,intermediate,charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\014_partial_123_metals_xagusd_h4_intermediate_partial123_001.png,,,keep_as_good_example,visually_defensible,4,good,,,,,"Good bullish 1-2-3 launch on XAGUSD, natural as intermediate start."
phase2_3_h4_count_only,16,partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,intermediate,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,,,keep_as_good_example,visually_defensible,4,good,,,,,Clean and proportional bullish 1-2-3; fits the later H4 trend.
phase2_3_h4_count_only,20,partial_123_forex_audjpy_h4_minor_partial123_005,partial_123,minor,charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\020_partial_123_forex_audjpy_h4_minor_partial123_005.png,,,keep_as_good_example,excellent_example,5,good,,,,,Clean bullish sequence; wave 2 corrects without breaking and wave 3 extends naturally.
phase2_3_h4_count_only,21,partial_123_forex_audjpy_h4_major_partial123_003,partial_123,major,charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\021_partial_123_forex_audjpy_h4_major_partial123_003.png,,,keep_as_good_example,excellent_example,5,good,,,,,"Very good major 0-1-2-3; proportions, pivots and continuation fit well."
phase2_3_h4_count_only,24,partial_123_forex_audjpy_h4_major_partial123_005,partial_123,major,charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\024_partial_123_forex_audjpy_h4_major_partial123_005.png,,,keep_as_good_example,excellent_example,5,good,,,,,"Very clear major structure; waves 1, 2 and 3 respect an impulsive read."
