metric,value
phase2_3_reviewed_cases,54
phase2_4_reviewed_cases,54
user_must_review_rows,77
best_h4_examples_rows,22
phase2_3_status_visually_defensible,12
phase2_3_status_likely_false_candidate,11
phase2_3_status_excellent_example,10
phase2_3_status_hard_invalid_correct,9
phase2_3_status_ambiguous,8
phase2_3_status_plausible_but_needs_review,3
phase2_3_status_visually_forced,1
phase2_3_degree_minor,18
phase2_3_degree_intermediate,18
phase2_3_degree_major,18
phase2_3_category_impulse,12
phase2_3_category_partial_123,12
phase2_3_category_abc,12
phase2_3_category_near_miss,9
phase2_3_category_hard_invalid,9
phase2_4_d1_useful,27
phase2_4_d1_partially_useful,13
phase2_4_d1_conflict_explains_case,11
phase2_4_d1_conflict_suspicious,3
phase2_4_change_misleading_if_used_as_filter,12
phase2_4_change_flags_transition,11
phase2_4_change_confirms,10
phase2_4_change_downgrades_confidence,9
phase2_4_change_improves_confidence,5
phase2_4_change_reframes_as_correction,5
phase2_4_change_no_change,2
