candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,visual_review_status,visual_quality_score,swing_degree_fit,user_review_priority,suggested_action,visual_notes,chart_path_absolute
impulse_forex_audjpy_h4_minor_impulse_005,impulse,impulse_diagnostics,forex_audjpy_h4_minor_impulse_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,5,10,2025-12-17 00:00:00,2025-12-23 20:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,1,visually_defensible,4,good,low,keep_as_good_example,Compact bullish impulse; wave 3 is clear and wave 5 is short but natural on H4.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,impulse,impulse_diagnostics,metals_xagusd_h4_minor_impulse_001,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-09 00:00:00,2025-12-24 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,2,excellent_example,5,good,low,keep_as_good_example,Clean bullish 0-5 sequence with visible retracements and good Elliott readability.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,impulse,impulse_diagnostics,index_hk50_h4_minor_impulse_012,index_hk50_h4,Index,HK50,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2025-12-29 16:00:00,2026-01-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,3,visually_defensible,4,good,medium,inspect_manually_before_phase_2_5,Recognizable bullish impulse; wave 4 is deep and close to wave 1 territory.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,forex_eurjpy_h4_minor_impulse_022,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2026-01-28 12:00:00,2026-02-10 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,4,excellent_example,5,good,low,keep_as_good_example,Natural bullish five-wave structure before the later selloff.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_007,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-24 04:00:00,2026-01-19 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,5,visually_defensible,4,good,low,keep_as_good_example,Clear bearish impulse with extended wave 3 and no obvious wave 4 overlap.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,metals_xagusd_h4_intermediate_impulse_007,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-31 20:00:00,2026-01-28 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,6,excellent_example,5,good,low,keep_as_good_example,Strong broad bullish 1-2-3-4-5; one of the cleanest intermediate examples.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,impulse_diagnostics,index_aus200_h4_intermediate_impulse_015,index_aus200_h4,Index,AUS200,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,15,20,2026-02-06 04:00:00,2026-02-27 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,7,excellent_example,5,good,low,keep_as_good_example,Clear bullish impulse with natural waves 3 and 5 and visible corrections.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_012,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2026-01-19 00:00:00,2026-01-29 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,8,excellent_example,5,good,low,keep_as_good_example,"Very clean bullish advance from a low, with five recognizable H4 legs.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,impulse,impulse_diagnostics,forex_eurusd_h4_major_impulse_011,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,11,16,2026-02-23 00:00:00,2026-03-09 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,9,plausible_but_needs_review,3,too_micro,high,inspect_manually_before_phase_2_5,"Bearish pattern is plausible, but too local for major; waves 4-5 are small versus wave 3.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,impulse_diagnostics,metals_xpdusd_h4_major_impulse_001,metals_xpdusd_h4,Metals,XPDUSD,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-08 00:00:00,2025-12-29 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,10,plausible_but_needs_review,3,mixed,high,inspect_manually_before_phase_2_5,Valid-looking shape with violent spikes and a weak wave 5; may be a lower degree.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png
