candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path,d1_context_usefulness,ema_context_usefulness,ewo_context_usefulness,context_changes_phase23_reading,user_review_priority,suggested_action,context_notes,context_chart_path_absolute
impulse_forex_audjpy_h4_minor_impulse_005,impulse,impulse_diagnostics,forex_audjpy_h4_minor_impulse_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,5,10,2025-12-17 00:00:00,2025-12-23 20:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,1,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.9039857142857102,-0.0694142857142736,positive,D1,2025-12-22,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,useful,useful,useful_for_wave_role,improves_confidence,medium,possible_rule_candidate,"D1 and EMAs support the small bullish reversal; EWO turns positive, but the count remains minor.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png
impulse_metals_xagusd_h4_minor_impulse_001,impulse,impulse_diagnostics,metals_xagusd_h4_minor_impulse_001,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-09 00:00:00,2025-12-24 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,2,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,3.563414285714288,0.4705285714285878,positive,D1,2025-12-23,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,useful,useful,useful_for_wave_role,confirms,low,keep_as_good_example,Clean early bullish sequence inside aligned D1 trend with constructive EWO.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png
impulse_index_hk50_h4_minor_impulse_012,impulse,impulse_diagnostics,index_hk50_h4_minor_impulse_012,index_hk50_h4,Index,HK50,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2025-12-29 16:00:00,2026-01-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,3,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,347.6657142857148,-13.307142857145664,positive,D1,2026-01-15,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,partially_useful,partially_useful,useful_for_wave_role,flags_transition,medium,keep_as_ambiguous_example,"Bullish context helps, but broader chart later rolls over; late-cycle/transition sensitive.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,forex_eurjpy_h4_minor_impulse_022,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2026-01-28 12:00:00,2026-02-10 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,4,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.9125142857143088,-0.0924714285714003,positive,D1,2026-02-09,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,partially_useful,partially_useful,useful_for_wave_role,flags_transition,medium,keep_as_ambiguous_example,Completes near a top before sharp selloff; context warns against treating it as fresh continuation.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_007,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-24 04:00:00,2026-01-19 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,5,correction_against_htf,40,HTF conflicts with candidate direction; LTF EMA alignment matches candidate,True,False,False,True,False,True,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.0033714285714283,5.8142857142895465e-05,negative,D1,2026-01-16,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,conflict_explains_case,partially_useful,useful_for_momentum_only,reframes_as_correction,high,inspect_manually_before_phase_2_5,Bearish H4 sequence conflicts with bullish D1 and is followed by strong upside.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,metals_xagusd_h4_intermediate_impulse_007,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-31 20:00:00,2026-01-28 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,6,impulse_with_htf,80,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=inside_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,10.028757142857144,0.2346285714285727,positive,D1,2026-01-27,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,useful,useful,useful_for_wave_role,confirms,low,keep_as_good_example,Strong aligned bullish impulse with rising EMAs and positive EWO.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,impulse_diagnostics,index_aus200_h4_intermediate_impulse_015,index_aus200_h4,Index,AUS200,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,15,20,2026-02-06 04:00:00,2026-02-27 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,7,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,84.66285714285732,-2.0942857142854336,positive,D1,2026-02-26,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,partially_useful,partially_useful,useful_for_wave_role,flags_transition,medium,keep_as_ambiguous_example,"Readable count, but post-wave-5 collapse makes it a completed/terminal impulse example.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_012,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2026-01-19 00:00:00,2026-01-29 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,8,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.0109169999999998,-0.0031077142857143,positive,D1,2026-01-28,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,useful,partially_useful,useful_for_wave_role,improves_confidence,medium,possible_rule_candidate,"Bullish D1 and EWO support the rally, though EMA confirmation arrives after the turn.",C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_forex_eurusd_h4_major_impulse_011,impulse,impulse_diagnostics,forex_eurusd_h4_major_impulse_011,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,11,16,2026-02-23 00:00:00,2026-03-09 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,9,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.0083188571428574,-0.0010535714285717,negative,D1,2026-03-06,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,conflict_explains_case,useful,useful_for_wave_role,flags_transition,high,inspect_manually_before_phase_2_5,Local bearish count has EMA/EWO support but conflicts with bullish D1; transition/correction candidate.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,impulse_diagnostics,metals_xpdusd_h4_major_impulse_001,metals_xpdusd_h4,Metals,XPDUSD,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-08 00:00:00,2025-12-29 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,10,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=flat_or_unknown,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,79.59557142857147,58.90599999999995,positive,D1,2025-12-26,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,useful,useful,useful_for_wave_role,confirms,low,keep_as_good_example,Aligned bullish major impulse with supportive EMAs and EWO.,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png
