review_phase,candidate_order,candidate_id,review_category,swing_degree,chart_path_relative,context_chart_path_relative,chart_path_absolute_out,visual_review_status,visual_quality_score,swing_degree_fit,context_status,user_review_priority,suggested_action,why_review,visual_notes
best_examples_for_user_validation,2,impulse_metals_xagusd_h4_minor_impulse_001,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Clean bullish 0-5 sequence with visible retracements and good Elliott readability.
best_examples_for_user_validation,4,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,minor,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Natural bullish five-wave structure before the later selloff.
phase2_4_h4_d1_context,5,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,intermediate,,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,,,,conflict_explains_case/reframes_as_correction,high,inspect_manually_before_phase_2_5,d1_context_conflict_or_unclear,Bearish H4 sequence conflicts with bullish D1 and is followed by strong upside.
best_examples_for_user_validation,6,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,intermediate,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Strong broad bullish 1-2-3-4-5; one of the cleanest intermediate examples.
best_examples_for_user_validation,8,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,intermediate,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,excellent_example,5,good,,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,"Very clean bullish advance from a low, with five recognizable H4 legs."
phase2_3_h4_count_only,9,impulse_forex_eurusd_h4_major_impulse_011,impulse,major,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,plausible_but_needs_review,3,too_micro,,high,inspect_manually_before_phase_2_5,manual_or_doubtful_count,"Bearish pattern is plausible, but too local for major; waves 4-5 are small versus wave 3."
phase2_4_h4_d1_context,9,impulse_forex_eurusd_h4_major_impulse_011,impulse,major,,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,,,,conflict_explains_case/flags_transition,high,inspect_manually_before_phase_2_5,d1_context_conflict_or_unclear,Local bearish count has EMA/EWO support but conflicts with bullish D1; transition/correction candidate.
best_examples_for_user_validation,10,impulse_metals_xpdusd_h4_major_impulse_001,impulse,major,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,,,,useful,high,inspect_manually_before_phase_2_5,best_positive_or_negative_example,Aligned bullish major impulse with supportive EMAs and EWO.
phase2_3_h4_count_only,10,impulse_metals_xpdusd_h4_major_impulse_001,impulse,major,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,plausible_but_needs_review,3,mixed,,high,inspect_manually_before_phase_2_5,manual_or_doubtful_count,Valid-looking shape with violent spikes and a weak wave 5; may be a lower degree.
phase2_4_h4_d1_context,11,impulse_index_aus200_h4_major_impulse_013,impulse,major,,charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,,,,partially_useful/flags_transition,high,inspect_manually_before_phase_2_5,context_changes_reading,Plausible count but wave 5 precedes major reversal; context marks completion risk.
