phase,candidate_order,candidate_id,review_category,swing_degree,chart_path,example_type,why_good,notes
phase2_3_count_only,4,impulse_forex_audjpy_h1_minor_impulse_015,impulse,minor,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,excellent_example,best clean bullish impulse without indicators,"Very good bullish impulse: wave 3 is strong, wave 4 is clean, and wave 5 reaches the visible high."
phase2_3_count_only,6,impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,intermediate,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,excellent_example,clean bearish intermediate impulse without indicators,"Proportional bearish impulse: wave 3 breaks well, wave 4 corrects without invasion, and wave 5 marks the final low."
phase2_3_count_only,9,impulse_metals_xagusd_h1_major_impulse_009,impulse,major,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,excellent_example,clean major bearish impulse without indicators,"Very clear major bearish impulse: broad pivots, strong wave 3, brief wave 4 and final low at wave 5."
phase2_3_count_only,14,partial_123_metals_xagusd_h1_intermediate_partial123_003,partial_123,intermediate,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,excellent_example,clean bearish partial 1-2-3 without indicators,"Very clear bearish partial: 0 high, strong wave 1 decline, clear wave 2 rebound and broad wave 3 extension."
phase2_3_count_only,23,partial_123_index_aus200_h1_major_partial123_002,partial_123,major,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\023_partial_123_index_aus200_h1_major_partial123_002.png,excellent_example,clean major bearish partial 1-2-3 without indicators,"Very clean major bearish 1-2-3; 0 high, wave 1 decline, wave 2 pullback, and wave 3 new low."
phase2_3_count_only,24,partial_123_forex_eurusd_h1_major_partial123_002,partial_123,major,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,excellent_example,clean EURUSD major bearish partial 1-2-3 without indicators,Clear bearish 1-2-3; major swings are coherent and wave 3 is visually well supported.
phase2_4_context,8,impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,intermediate,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,context_confirms,best context-confirmed bearish impulse with EMA/EWO/HTF,"Clean context example: EMA50 turns under EMA150, EWO sinks at wave 3, and H1 confirms bearish bias."
phase2_4_context,13,partial_123_forex_audjpy_h1_intermediate_partial123_009,partial_123,intermediate,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,context_confirms,clean context-confirmed bullish partial 1-2-3,"Very clear bullish partial: wave 3 launches above EMAs, EWO rises, HTF H4 aligns."
phase2_4_context,20,partial_123_forex_audjpy_h1_minor_partial123_013,partial_123,minor,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,context_confirms,very clear context-confirmed bullish minor partial 1-2-3,"Excellent context example: 1-2-3 starts after base, breaks EMAs, EWO stays positive and HTF/LTF align."
phase2_4_context,24,partial_123_forex_eurusd_h1_major_partial123_002,partial_123,major,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\partials\024_partial_123_forex_eurusd_h1_major_partial123_002.png,context_confirms,clean context-confirmed bearish partial 1-2-3,"Clean bearish example: price below EMAs, falling alignment, negative EWO and HTF aligned."
phase2_4_context,43,near_miss_forex_audjpy_h1_major_impulse_007,near_miss,major,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\043_near_miss_forex_audjpy_h1_major_impulse_007.png,context_partially_supports,best near-miss showing context supports direction without rescuing truncation,Best bullish near-miss context: EMAs/EWO/HTF support direction but do not erase truncated wave 5.
