metric,value
phase2_3_reviewed_cases,54
phase2_4_reviewed_cases,54
phase2_3_user_review_cases,31
phase2_4_user_review_cases,26
combined_user_review_rows,57
best_example_rows,11
phase2_3_status_excellent_example,13
phase2_3_status_visually_defensible,13
phase2_3_status_hard_invalid_correct,9
phase2_3_status_plausible_but_needs_review,8
phase2_3_status_ambiguous,4
phase2_3_status_visually_forced,3
phase2_3_status_too_coarse,2
phase2_3_status_likely_false_candidate,1
phase2_3_status_too_micro,1
phase2_4_status_context_confirms,14
phase2_4_status_context_explains_ambiguity,13
phase2_4_status_context_conflicts_but_useful,10
phase2_4_status_context_partially_supports,9
phase2_4_status_context_conflict_suspicious,4
phase2_4_status_context_misleading,4
