review_phase,candidate_order,candidate_id,review_category,swing_degree,chart_path_relative,chart_path_absolute,visual_count_status,visual_quality_score,degree_fit,likely_problem_if_any,user_review_priority,suggested_action,why_review,visual_notes
phase2_4_context,2,impulse_metals_xagusd_h1_minor_impulse_019,impulse,minor,charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,context_conflict_suspicious,,,true,high,review_manually,manual_flag_or_context_conflict,Bearish count sits in choppy rebound; EMA/HTF do not validate the same count cleanly.
phase2_3_count_only,3,impulse_index_aus200_h1_minor_impulse_006,impulse,minor,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,visually_forced,2,mixed,wave 5 cuts the decline before the dominant visual low,high,use_as_ambiguous_example,manual_flag_or_low_quality,"Internal count is readable until wave 4, but wave 5 sits inside a larger bearish continuation."
phase2_3_count_only,7,impulse_index_aus200_h1_intermediate_impulse_004,impulse,intermediate,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,plausible_but_needs_review,3,mixed,wave 5 ends before a visually relevant bearish continuation,high,review_manually,manual_flag_or_low_quality,"The 0-4 sequence is defensible, but wave 5 does not exhaust the later move."
phase2_3_count_only,8,impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,intermediate,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,visually_forced,2,mixed,0-1 drags through a long drift and wave 5 misses the more natural later low,high,use_as_ambiguous_example,manual_flag_or_low_quality,"A bearish 1-2-3-4-5 can be seen, but the first leg and final low are weak visually."
phase2_3_count_only,10,impulse_index_aus200_h1_major_impulse_002,impulse,major,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,likely_false_candidate,2,too_micro,"for major degree, wave 5 stops too early and misses the later larger low",high,use_as_negative_example,manual_flag_or_low_quality,"Could be a smaller impulse, but as major it is visually incomplete."
phase2_4_context,11,impulse_index_aus200_h1_major_impulse_010,impulse,major,charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\011_impulse_index_aus200_h1_major_impulse_010.png,context_partially_supports,,,true,high,review_manually,manual_flag_or_context_conflict,"Bearish context aligns, but 0-5 is late and choppy; EWO does not separate wave role well."
phase2_3_count_only,15,partial_123_index_aus200_h1_intermediate_partial123_001,partial_123,intermediate,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,too_micro,2,too_micro,"the 1-2-3 is a small topping zigzag, not a convincing intermediate launch",high,use_as_negative_example,manual_flag_or_low_quality,Wave 3 barely exceeds wave 1 and price reverses strongly right after.
phase2_3_count_only,25,abc_forex_audjpy_h1_abc_009,abc,intermediate,charts\abc\025_abc_forex_audjpy_h1_abc_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\025_abc_forex_audjpy_h1_abc_009.png,plausible_but_needs_review,3,mixed,multiple ABC sequences overlap and the exact candidate is not isolated,high,review_manually,manual_flag_or_low_quality,"The central ABC is plausible, but too many crossed labels make it weak as clean evidence."
phase2_3_count_only,26,abc_metals_xagusd_h1_abc_003,abc,intermediate,charts\abc\026_abc_metals_xagusd_h1_abc_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\026_abc_metals_xagusd_h1_abc_003.png,ambiguous,2,unclear,repeated A/B/C paths and crossed diagonals prevent isolating the sequence,high,do_not_use_for_rules,manual_flag_or_low_quality,ABC reading is unreliable in this image; labels dominate the visual structure.
phase2_3_count_only,27,abc_index_aus200_h1_abc_004,abc,intermediate,charts\abc\027_abc_index_aus200_h1_abc_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\abc\027_abc_index_aus200_h1_abc_004.png,ambiguous,2,unclear,several bearish ABC routes overlap and target leg is not unambiguous,high,do_not_use_for_rules,manual_flag_or_low_quality,"A broad bearish move exists, but repeated labels make the exact count ambiguous."
