candidate_id,source_id,review_category,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,start_pivot_id,end_pivot_id,partial_detected_at,post_partial_diagnostic_detected_at,partial123_status,live_state,origin_break,wave3_too_weak,post_3_invalidates,post_3_confirms,post_3_pivots_checked,post_3_event_pivot_id,post_3_event_time,post_3_event_detected_at,post_3_event_price,possible_prior_wave_45_context,prior_more_extreme_origin_pivot_id,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave3_breakout_vs_wave1,causal_note,scenario,candidate_order,chart_path,chart_path_absolute,manual_interpretation,manual_final_label
partial_123_forex_audjpy_h1_intermediate_partial123_009,forex_audjpy_h1_intermediate_partial123_009,partial_123,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,9,12,2026-03-10 01:00:00,2026-03-16 03:00:00,valid_partial_123,partial_123_provisional,False,False,False,True,3,14.0,2026-03-11 18:00:00,2026-03-11 21:00:00,113.959,True,5.0,0.8439999999999941,0.866113744075829,1.5190000000000055,1.7997630331753744,0.9336492890995456,"Post-3 structure confirms continuation, but this remains context only, not a signal.",h1_m30,13,charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\013_partial_123_forex_audjpy_h1_intermediate_partial123_009.png,,
partial_123_metals_xagusd_h1_intermediate_partial123_003,metals_xagusd_h1_intermediate_partial123_003,partial_123,metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,partial_123_candidate,3,6,2026-03-03 16:00:00,2026-03-05 08:00:00,partial_123_provisional,partial_123_provisional,False,False,False,False,3,,,,,False,,10.262,0.47115572013252854,13.397999999999996,1.3055934515688945,0.834437731436366,No immediate post-3 invalidation; keep as provisional context only.,h1_m30,14,charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\014_partial_123_metals_xagusd_h1_intermediate_partial123_003.png,,
partial_123_index_aus200_h1_intermediate_partial123_001,index_aus200_h1_intermediate_partial123_001,partial_123,index_aus200_h1,Index,AUS200,H1,intermediate,bullish,partial_123_candidate,1,4,2026-02-27 14:00:00,2026-03-03 20:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,True,False,3,5.0,2026-03-02 00:00:00,2026-03-02 03:00:00,9096.7,False,,135.79999999999927,0.2356406480117833,57.399999999999636,0.42268041237113363,0.18703976435935032,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h1_m30,15,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,No es una onda 1-2-3 valida; necesita continuidad coherente hacia 4-5 o no invalidarse enseguida.,partial_123_too_lax
partial_123_forex_audjpy_h1_intermediate_partial123_011,forex_audjpy_h1_intermediate_partial123_011,partial_123,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,11,14,2026-03-11 21:00:00,2026-03-17 01:00:00,belongs_to_prior_wave_45,ambiguous_partial,False,False,False,False,2,,,,,True,5.0,1.5190000000000055,0.308755760368668,2.6710000000000065,1.7583936800526643,1.4496379196839961,A prior same-type pivot is more extreme; this may be the end of a previous 4-5 structure.,h1_m30,16,charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\016_partial_123_forex_audjpy_h1_intermediate_partial123_011.png,,
partial_123_forex_audjpy_h1_minor_partial123_007,forex_audjpy_h1_minor_partial123_007,partial_123,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,7,10,2026-03-05 01:00:00,2026-03-06 19:00:00,partial_123_too_lax,ambiguous_partial,False,True,False,False,3,,,,,False,,1.6739999999999924,0.7634408602150522,1.2929999999999922,0.7724014336917551,0.00896057347670289,Wave 3 displacement or breakout is too weak for a useful partial 1-2-3.,h1_m30,17,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,No debe mantenerse como parcial util solo por tener tres swings alternantes.,partial_123_too_lax
partial_123_metals_xagusd_h1_minor_partial123_002,metals_xagusd_h1_minor_partial123_002,partial_123,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,partial_123_candidate,2,5,2026-03-02 04:00:00,2026-03-03 16:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,False,3,6.0,2026-03-02 18:00:00,2026-03-02 21:00:00,86.475,False,,3.384999999999991,0.4425406203840456,7.678999999999988,2.268537666174301,1.8259970457902552,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h1_m30,18,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,Parece mas bien una onda 4-5 previa; el punto 0 no deberia empezar ahi y tras el 3 se cancela.,belongs_to_prior_wave_45
partial_123_index_aus200_h1_minor_partial123_001,index_aus200_h1_minor_partial123_001,partial_123,index_aus200_h1,Index,AUS200,H1,minor,bullish,partial_123_candidate,1,4,2026-02-27 14:00:00,2026-03-02 19:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,True,False,3,5.0,2026-03-02 00:00:00,2026-03-02 03:00:00,9096.7,False,,135.79999999999927,0.2356406480117833,57.399999999999636,0.42268041237113363,0.18703976435935032,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h1_m30,19,charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\019_partial_123_index_aus200_h1_minor_partial123_001.png,,
partial_123_forex_audjpy_h1_minor_partial123_013,forex_audjpy_h1_minor_partial123_013,partial_123,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,13,16,2026-03-10 01:00:00,2026-03-11 15:00:00,valid_partial_123,partial_123_provisional,False,False,False,True,3,18.0,2026-03-11 07:00:00,2026-03-11 10:00:00,113.631,True,7.0,0.8439999999999941,0.866113744075829,1.5190000000000055,1.7997630331753744,0.9336492890995456,"Post-3 structure confirms continuation, but this remains context only, not a signal.",h1_m30,20,charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\020_partial_123_forex_audjpy_h1_minor_partial123_013.png,,
partial_123_forex_audjpy_h1_major_partial123_007,forex_audjpy_h1_major_partial123_007,partial_123,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,partial_123_candidate,7,10,2026-03-11 21:00:00,2026-03-17 01:00:00,belongs_to_prior_wave_45,ambiguous_partial,False,False,False,False,2,,,,,True,5.0,1.043999999999997,0.8352490421455963,3.7210000000000036,3.5641762452107417,2.7289272030651457,A prior same-type pivot is more extreme; this may be the end of a previous 4-5 structure.,h1_m30,21,charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\021_partial_123_forex_audjpy_h1_major_partial123_007.png,,
partial_123_metals_xagusd_h1_major_partial123_006,metals_xagusd_h1_major_partial123_006,partial_123,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,partial_123_candidate,6,9,2026-03-10 08:00:00,2026-03-13 22:00:00,invalidated_after_3,partial_123_provisional_then_invalidated,False,False,True,False,3,12.0,2026-03-13 19:00:00,2026-03-13 22:00:00,79.414,True,4.0,5.462000000000003,0.3971072867081673,7.143000000000001,1.307762724276821,0.9106554375686537,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,h1_m30,22,charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\022_partial_123_metals_xagusd_h1_major_partial123_006.png,,
