scenario,example_id,group,symbol,timeframe,swing_degree,source_rows,pivot_count,pivot_density_per_100_bars,median_leg_abs,mean_leg_abs,median_leg_atr,mean_leg_atr,median_bars_from_previous,mean_bars_from_previous,degree_min_leg_atr_multiplier,degree_min_leg_relative_move_pct,degree_min_leg_bars
h1_m30,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,320,16,5.0,0.9939999999999998,1.1379333333333326,4.058309037900837,4.370768598413313,13.0,14.533333333333333,3.0,0.003,6.0
h1_m30,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,320,12,3.75,1.1200000000000045,1.3769090909090922,4.719045948789928,5.160966797682633,17.0,24.454545454545453,5.0,0.005,10.0
h1_m30,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,320,24,7.5,0.9819999999999993,1.0012173913043463,3.538765822784794,3.8081217767008266,8.0,12.91304347826087,2.0,0.002,4.0
h1_m30,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,intermediate,320,13,4.0625,0.744499999999988,0.8070833333333264,4.821874698278203,5.19977189702054,16.5,29.25,3.0,0.003,6.0
h1_m30,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,major,320,5,1.5625,0.9699999999999989,0.9724999999999966,5.365899416358779,6.14422578387752,35.0,46.75,5.0,0.005,10.0
h1_m30,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,minor,320,23,7.187499999999999,0.5769999999999982,0.6216818181818152,3.7646532467056013,4.23400528229834,9.5,14.409090909090908,2.0,0.002,4.0
h1_m30,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,intermediate,320,17,5.3125,0.006649999999999934,0.007725624999999958,3.4808489284823088,4.035419852841901,13.5,18.625,3.0,0.003,6.0
h1_m30,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,major,320,8,2.5,0.010650000000000048,0.009912857142857088,5.056516054046148,4.939469711409347,21.0,25.571428571428573,5.0,0.005,10.0
h1_m30,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,minor,320,35,10.9375,0.005875000000000075,0.006267647058823505,3.1346637310047454,3.4460196869592927,7.0,11.529411764705882,2.0,0.002,4.0
h1_m30,forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,intermediate,320,7,2.1875,0.9159999999999826,1.002166666666658,4.801306687532935,5.336212587615331,17.0,28.833333333333332,3.0,0.003,6.0
h1_m30,forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,major,320,3,0.9375,0.9709999999999894,0.9709999999999894,6.587476662435513,6.587476662435513,19.0,19.0,5.0,0.005,10.0
h1_m30,forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,minor,320,19,5.9375,0.612000000000009,0.7149444444444428,3.5483387945961433,4.098157352588068,9.0,15.222222222222221,2.0,0.002,4.0
