scenario,example_id,group,symbol,timeframe,minor_pivots,intermediate_pivots,major_pivots,minor_density,intermediate_density,major_density,intermediate_vs_minor_ratio,major_vs_intermediate_ratio,major_vs_minor_ratio,monotonic_ok,degree_issue
h1_m30,index_aus200_m30,Index,AUS200,M30,29,23,17,9.0625,7.187499999999999,5.3125,0.7931034482758621,0.7391304347826086,0.5862068965517241,True,degree_not_discriminative_intermediate_vs_minor
h1_m30,index_hk50_m30,Index,HK50,M30,27,25,13,8.4375,7.8125,4.0625,0.9259259259259259,0.52,0.48148148148148145,True,degree_not_discriminative_intermediate_vs_minor
h1_m30,index_us30_m30,Index,US30,M30,27,21,15,8.4375,6.5625,4.6875,0.7777777777777778,0.7142857142857143,0.5555555555555556,True,degree_not_discriminative_intermediate_vs_minor
h1_m30,metals_xpdusd_h1,Metals,XPDUSD,H1,26,22,14,8.666666666666668,7.333333333333333,4.666666666666667,0.8461538461538461,0.6363636363636364,0.5384615384615384,True,degree_not_discriminative_intermediate_vs_minor
h1_m30,index_us500_m30,Index,US500,M30,24,18,14,7.5,5.625,4.375,0.75,0.7777777777777778,0.5833333333333334,True,degree_not_discriminative_intermediate_vs_minor|degree_not_discriminative_major_vs_intermediate
h1_m30,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,24,16,12,7.5,5.0,3.75,0.6666666666666666,0.75,0.5,True,degree_not_discriminative_major_vs_intermediate
h1_m30,metals_xauusd_h1,Metals,XAUUSD.r,H1,30,20,16,9.375,6.25,5.0,0.6666666666666666,0.8,0.5333333333333333,True,degree_not_discriminative_major_vs_intermediate
h1_m30,metals_xptusd_h1,Metals,XPTUSD,H1,29,15,12,9.666666666666666,5.0,4.0,0.5172413793103449,0.8,0.41379310344827586,True,degree_not_discriminative_major_vs_intermediate
h1_m30,metals_xauusd_m30,Metals,XAUUSD.r,M30,31,21,14,9.6875,6.5625,4.375,0.6774193548387096,0.6666666666666666,0.45161290322580644,True,degree_reasonable
h1_m30,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,23,13,5,7.187499999999999,4.0625,1.5625,0.5652173913043478,0.38461538461538464,0.21739130434782608,True,degree_too_coarse_major
h1_m30,forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,19,7,3,5.9375,2.1875,0.9375,0.3684210526315789,0.42857142857142855,0.15789473684210525,True,degree_too_coarse_major
h1_m30,forex_eurusd_h1,Forex Majors,EURUSD.r,H1,35,17,8,10.9375,5.3125,2.5,0.4857142857142857,0.47058823529411764,0.22857142857142856,True,degree_too_micro
h1_m30,forex_gbpusd_h1,Forex Majors,GBPUSD.r,H1,37,21,10,11.5625,6.5625,3.125,0.5675675675675675,0.47619047619047616,0.2702702702702703,True,degree_too_micro
h1_m30,index_aus200_h1,Index,AUS200,H1,34,22,16,10.625,6.875000000000001,5.0,0.6470588235294118,0.7272727272727273,0.47058823529411764,True,degree_too_micro
h1_m30,metals_xagusd_h1,Metals,XAGUSD.r,H1,32,22,14,10.0,6.875000000000001,4.375,0.6875,0.6363636363636364,0.4375,True,degree_too_micro
h4_d1,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,36,28,18,8.571428571428571,6.666666666666667,4.285714285714286,0.7777777777777778,0.6428571428571429,0.5,True,degree_not_discriminative_intermediate_vs_minor
h4_d1,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,36,30,18,8.571428571428571,7.142857142857142,4.285714285714286,0.8333333333333334,0.6,0.5,True,degree_not_discriminative_intermediate_vs_minor
h4_d1,index_us30_h4,Index,US30,H4,40,33,19,9.523809523809524,7.857142857142857,4.523809523809524,0.825,0.5757575757575758,0.475,True,degree_not_discriminative_intermediate_vs_minor
h4_d1,index_us500_h4,Index,US500,H4,37,31,17,8.80952380952381,7.380952380952381,4.0476190476190474,0.8378378378378378,0.5483870967741935,0.4594594594594595,True,degree_not_discriminative_intermediate_vs_minor
h4_d1,index_hk50_h4,Index,HK50,H4,34,30,28,8.095238095238095,7.142857142857142,6.666666666666667,0.8823529411764706,0.9333333333333333,0.8235294117647058,True,degree_not_discriminative_intermediate_vs_minor|degree_not_discriminative_major_vs_intermediate
