candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,scenario,chart_path_absolute,visual_review_status,visual_quality_score,swing_degree_fit,suggested_action,visual_notes,wave5_endpoint_status,proposed_endpoint_classification,future_more_extreme_found,post_wave5_extension_vs_wave5,causal_note,partial123_status,live_state,wave3_too_weak,post_3_invalidates,post_3_confirms,possible_prior_wave_45_context,causal_note_partial123,degree_issue,fixed_chart_path,abc_interpretation,fixed_chart_path_absolute,manual_visual_status,final_phase23_decision,visual_closure_notes,wave5_diagnostic,partial123_diagnostic,source_gallery_status,degree_policy,requires_user_review,user_review_reason,reviewed_chart_status,source_chart_path,reviewed_chart_path,problem_chart_path,best_chart_path
partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,2,5,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,13,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,likely_false_candidate,2,too_micro,do_not_use_for_rules,Small bearish 1-2-3 is absorbed by the later rise; forced as intermediate.,,,,,,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,False,False,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,degree_reasonable,,,,should_downgrade,exclude_from_phase25_rules,Bajista pequeno dentro de arranque alcista posterior claro; sin continuidad bajista.,not_applicable,invalidated_after_3,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,
partial_123_index_aus200_h4_intermediate_partial123_006,partial_123,partial_impulses,index_aus200_h4_intermediate_partial123_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,6,9,2025-12-23 12:00:00,2026-01-07 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,15,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,likely_false_candidate,1,too_micro,do_not_use_for_rules,Weak bearish partial; wave 3 barely breaks before immediate bullish reversal.,,,,,,invalidated_after_3,partial_123_provisional_then_invalidated,True,True,False,False,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,degree_not_discriminative_major_vs_intermediate,,,,not_usable_for_methodology,exclude_from_phase25_rules,1-2-3 bajista comprimido; despues del 3 revierte en subida prolongada.,not_applicable,invalidated_after_3,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\015_partial_123_index_aus200_h4_intermediate_partial123_006.png,
partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,5,8,2025-12-17 00:00:00,2026-01-07 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,16,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,visually_defensible,2,good,keep_as_good_example,Clean and proportional bullish 1-2-3; fits the later H4 trend.,,,,,,partial_123_too_lax,ambiguous_partial,True,False,True,False,Wave 3 displacement or breakout is too weak for a useful partial 1-2-3.,degree_reasonable,,,,should_downgrade,exclude_from_phase25_rules,Estructura alcista limpia y proporcional; 3 desplaza con claridad. Diagnostico mecanico partial_123_too_lax no se aplica como downgrade duro porque la revision visual muestra continuidad o estructura defendible. User: mal; Onda 3 muy pequena; degradar.,not_applicable,partial_123_too_lax,phase23_h4_count_only_vigente_with_external_diagnostics,intermediate_primary_candidate,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,
partial_123_forex_audjpy_h4_minor_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_minor_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,partial_123_candidate,partial_impulse_123,2,5,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,17,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,plausible_but_needs_review,2,good,inspect_manually_before_phase_2_5,"More defensible as minor than intermediate, but later reversal lowers quality.",,,,,,invalidated_after_3,partial_123_provisional_then_invalidated,False,True,False,False,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,degree_reasonable,,,,should_downgrade,exclude_from_phase25_rules,Lectura menor absorbida por reversion alcista amplia.,not_applicable,invalidated_after_3,phase23_h4_count_only_vigente_with_external_diagnostics,minor_substructure_only,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,
partial_123_index_aus200_h4_major_partial123_006,partial_123,partial_impulses,index_aus200_h4_major_partial123_006,index_aus200_h4,Index,AUS200,H4,major,bearish,partial_123_candidate,partial_impulse_123,6,9,2025-12-23 12:00:00,2026-01-07 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,23,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,likely_false_candidate,1,mixed,do_not_use_for_rules,Weak bearish 0-1-2-3; wave 3 barely exceeds wave 1 before bullish turn.,,,,,,invalidated_after_3,partial_123_provisional_then_invalidated,True,True,False,False,Post-3 structural pivot breaks wave 2; use only as retrospective diagnostic.,degree_not_discriminative_major_vs_intermediate,,,,not_usable_for_methodology,exclude_from_phase25_rules,Bajista debil invalidado por subida posterior a nuevos maximos.,not_applicable,invalidated_after_3,phase23_h4_count_only_vigente_with_external_diagnostics,degree_not_discriminative,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\023_partial_123_index_aus200_h4_major_partial123_006.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\023_partial_123_index_aus200_h4_major_partial123_006.png,
abc_metals_xagusd_h4_abc_003,abc,candidate_counts,metals_xagusd_h4_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3,6,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\026_abc_metals_xagusd_h4_abc_003.png,26,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,likely_false_candidate,2,unclear,do_not_use_for_rules,Forced ABC; it labels a bullish impulse as correction with several overlapping C labels.,,,,,,,,,,,,,degree_reasonable,,,,not_usable_for_methodology,exclude_from_phase25_rules,Legacy sobrecargado; no usar como evidencia limpia. ABC se mantiene experimental y debe revisarse desde phase2_abc_fix.,not_applicable,not_applicable,legacy_abc_superseded_by_fix,intermediate_primary_candidate,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\026_abc_metals_xagusd_h4_abc_003.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\026_abc_metals_xagusd_h4_abc_003.png,
abc_forex_audjpy_h4_abc_005,abc,candidate_counts,forex_audjpy_h4_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5,8,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\028_abc_forex_audjpy_h4_abc_005.png,28,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,likely_false_candidate,2,unclear,do_not_use_for_rules,Too many diagonals over a bullish trend; corrective read is not natural.,,,,,,,,,,,,,degree_reasonable,,,,not_usable_for_methodology,exclude_from_phase25_rules,Legacy sobreajustado con diagonales cruzadas. ABC se mantiene experimental y debe revisarse desde phase2_abc_fix.,not_applicable,not_applicable,legacy_abc_superseded_by_fix,intermediate_primary_candidate,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\028_abc_forex_audjpy_h4_abc_005.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\028_abc_forex_audjpy_h4_abc_005.png,
abc_forex_audjpy_h4_abc_009,abc,candidate_counts,forex_audjpy_h4_abc_009,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,9,12,2025-12-23 04:00:00,2025-12-29 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_forex_audjpy_h4_abc_009.png,30,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,likely_false_candidate,2,unclear,do_not_use_for_rules,Fan of lines over most of the trend; no legible H4 A-B-C.,,,,,,,,,,,,,degree_reasonable,,,,not_usable_for_methodology,exclude_from_phase25_rules,Legacy largo y cruzado; no aisla ABC dominante. ABC se mantiene experimental y debe revisarse desde phase2_abc_fix.,not_applicable,not_applicable,legacy_abc_superseded_by_fix,minor_substructure_only,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\030_abc_forex_audjpy_h4_abc_009.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\030_abc_forex_audjpy_h4_abc_009.png,
abc_forex_eurjpy_h4_abc_004,abc,candidate_counts,forex_eurjpy_h4_abc_004,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,candidate_abc,abc,4,7,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,31,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,likely_false_candidate,2,unclear,do_not_use_for_rules,Crossed and confused range; no natural A-B-C on H4.,,,,,,,,,,,,,degree_not_discriminative_intermediate_vs_minor,,,,not_usable_for_methodology,exclude_from_phase25_rules,Legacy con abanico de lineas; no limpio. ABC se mantiene experimental y debe revisarse desde phase2_abc_fix.,not_applicable,not_applicable,legacy_abc_superseded_by_fix,minor_substructure_only,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\031_abc_forex_eurjpy_h4_abc_004.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\031_abc_forex_eurjpy_h4_abc_004.png,
abc_forex_eurusd_h4_abc_002,abc,candidate_counts,forex_eurusd_h4_abc_002,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,minor,bullish,candidate_abc,abc,2,5,2025-12-09 16:00:00,2025-12-16 16:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\032_abc_forex_eurusd_h4_abc_002.png,32,h4_d1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\032_abc_forex_eurusd_h4_abc_002.png,likely_false_candidate,2,unclear,do_not_use_for_rules,Congestion with multiple labels; corrective pattern is overfit.,,,,,,,,,,,,,degree_not_discriminative_intermediate_vs_minor,,,,not_usable_for_methodology,exclude_from_phase25_rules,Legacy con varias ABC simultaneas. ABC se mantiene experimental y debe revisarse desde phase2_abc_fix.,not_applicable,not_applicable,legacy_abc_superseded_by_fix,minor_substructure_only,False,,ok,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\abc\032_abc_forex_eurusd_h4_abc_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\032_abc_forex_eurusd_h4_abc_002.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\problem_cases\032_abc_forex_eurusd_h4_abc_002.png,
