candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,scenario,chart_path_absolute,visual_review_status,visual_quality_score,swing_degree_fit,suggested_action,visual_notes,wave5_endpoint_status,proposed_endpoint_classification,future_more_extreme_found,post_wave5_extension_vs_wave5,causal_note,partial123_status,live_state,wave3_too_weak,post_3_invalidates,post_3_confirms,possible_prior_wave_45_context,causal_note_partial123,degree_issue,fixed_chart_path,abc_interpretation,fixed_chart_path_absolute,manual_visual_status,final_phase23_decision,visual_closure_notes,wave5_diagnostic,partial123_diagnostic,source_gallery_status,degree_policy,requires_user_review,user_review_reason,reviewed_chart_status,source_chart_path,reviewed_chart_path,problem_chart_path,best_chart_path
impulse_forex_audjpy_h4_minor_impulse_005,impulse,impulse_diagnostics,forex_audjpy_h4_minor_impulse_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,5,10,2025-12-17 00:00:00,2025-12-23 20:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,1,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,visually_defensible,3,good,keep_as_good_example,Compact bullish impulse; wave 3 is clear and wave 5 is short but natural on H4.,premature_wave5_completion,premature_wave5_completion,True,0.6852976913730398,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",,,,,,,,degree_reasonable,,,,too_micro,keep_as_ambiguous_example,"Limpio pero pequeno frente al tramo H4 posterior; subonda, no ejemplo principal.",clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png,,
impulse_metals_xagusd_h4_minor_impulse_001,impulse,impulse_diagnostics,metals_xagusd_h4_minor_impulse_001,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-09 00:00:00,2025-12-24 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,2,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,excellent_example,3,good,keep_as_good_example,Clean bullish 0-5 sequence with visible retracements and good Elliott readability.,premature_wave5_completion,premature_wave5_completion,True,2.4445416757821072,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",,,,,,,,degree_reasonable,,,,too_micro,keep_as_ambiguous_example,"Impulso inicial razonable, pero absorbido por estructura alcista mayor.",clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,
impulse_index_hk50_h4_minor_impulse_012,impulse,impulse_diagnostics,index_hk50_h4_minor_impulse_012,index_hk50_h4,Index,HK50,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2025-12-29 16:00:00,2026-01-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,3,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,visually_defensible,3,good,inspect_manually_before_phase_2_5,Recognizable bullish impulse; wave 4 is deep and close to wave 1 territory.,premature_wave5_completion,premature_wave5_completion,True,0.687096142549442,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",,,,,,,,degree_not_discriminative_intermediate_vs_minor|degree_not_discriminative_major_vs_intermediate,,,,plausible_but_needs_review,keep_as_ambiguous_example,"Onda 3 desplaza, pero el grado minor no encaja del todo.",clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,minor_substructure_only,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png,,
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,forex_eurjpy_h4_minor_impulse_022,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2026-01-28 12:00:00,2026-02-10 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,4,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,excellent_example,2,good,keep_as_good_example,Natural bullish five-wave structure before the later selloff.,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_not_discriminative_intermediate_vs_minor,,,,plausible_but_needs_review,keep_as_ambiguous_example,Conteo comprimido y zigzagueante; onda 3 no domina visualmente. User: dudoso.,endpoint_uncertain,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,minor_substructure_only,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,
impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_007,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-24 04:00:00,2026-01-19 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,5,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,visually_defensible,4,good,keep_as_good_example,Clear bearish impulse with extended wave 3 and no obvious wave 4 overlap.,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_not_discriminative_intermediate_vs_minor,,,,visually_defensible,keep_as_good_example,"Impulso bajista defendible, escala H4 correcta.",clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,intermediate_primary_candidate,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,impulse_diagnostics,metals_xagusd_h4_intermediate_impulse_007,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2025-12-31 20:00:00,2026-01-28 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,6,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,excellent_example,5,good,keep_as_good_example,Strong broad bullish 1-2-3-4-5; one of the cleanest intermediate examples.,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_reasonable,,,,excellent_example,keep_as_good_example,Muy buen ejemplo H4: onda 3 amplia y onda 5 natural. User: bien.,clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,intermediate_primary_candidate,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
impulse_index_aus200_h4_intermediate_impulse_015,impulse,impulse_diagnostics,index_aus200_h4_intermediate_impulse_015,index_aus200_h4,Index,AUS200,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,15,20,2026-02-06 04:00:00,2026-02-27 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,7,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,excellent_example,5,good,keep_as_good_example,Clear bullish impulse with natural waves 3 and 5 and visible corrections.,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_not_discriminative_major_vs_intermediate,,,,excellent_example,keep_as_good_example,Estructura H4 limpia con onda 3 suficiente y 4-5 legibles.,clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,intermediate_primary_candidate,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\007_impulse_index_aus200_h4_intermediate_impulse_015.png,,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_012,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,12,17,2026-01-19 00:00:00,2026-01-29 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,8,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,excellent_example,4,good,keep_as_good_example,"Very clean bullish advance from a low, with five recognizable H4 legs.",clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_not_discriminative_intermediate_vs_minor,,,,visually_defensible,keep_as_good_example,Onda 3 clara; tramo algo corto pero defendible. User: bien.,clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,intermediate_primary_candidate,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
impulse_metals_xpdusd_h4_major_impulse_001,impulse,impulse_diagnostics,metals_xpdusd_h4_major_impulse_001,metals_xpdusd_h4,Metals,XPDUSD,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,1,6,2025-12-08 00:00:00,2025-12-29 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,10,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,plausible_but_needs_review,3,mixed,inspect_manually_before_phase_2_5,Valid-looking shape with violent spikes and a weak wave 5; may be a lower degree.,premature_wave5_completion,premature_wave5_completion,True,0.6597019867549669,"A later confirmed structural pivot makes a materially more extreme wave-5 endpoint. This is a post-count diagnostic, so live code should treat the original impulse as provisional until confirmation.",,,,,,,,degree_too_micro,,,,plausible_but_needs_review,keep_as_ambiguous_example,"Movimiento amplio pero final muy vertical/volatil; contexto, no ejemplo limpio.",endpoint_uncertain,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\010_impulse_metals_xpdusd_h4_major_impulse_001.png,,
impulse_index_aus200_h4_major_impulse_013,impulse,impulse_diagnostics,index_aus200_h4_major_impulse_013,index_aus200_h4,Index,AUS200,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,13,18,2026-02-06 04:00:00,2026-02-27 08:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,11,h4_d1,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,visually_defensible,4,too_micro,inspect_manually_before_phase_2_5,"Good Elliott shape, but visually closer to intermediate than major.",clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,"No material later same-direction structural extreme was found inside the diagnostic horizon. The clean impulse remains provisional, not a trading signal.",,,,,,,,degree_not_discriminative_major_vs_intermediate,,,,visually_defensible,keep_as_good_example,"Bueno visualmente, pero similar al intermediate; tratar como contexto superior.",clean_or_acceptable,not_applicable,phase23_h4_count_only_vigente_with_external_diagnostics,degree_too_micro,False,,ok,artifacts\wavecount\phase2_3_visual_review_2026-05-17\h4_d1\charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\011_impulse_index_aus200_h4_major_impulse_013.png,,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\best_final_examples\011_impulse_index_aus200_h4_major_impulse_013.png
