review_category,swing_degree,degree_policy,case_count
abc,intermediate,degree_not_discriminative,1
abc,intermediate,intermediate_primary_candidate,3
abc,major,degree_not_discriminative,2
abc,major,major_context,2
abc,minor,minor_substructure_only,4
hard_invalid,intermediate,intermediate_primary_candidate,3
hard_invalid,major,degree_not_discriminative,1
hard_invalid,major,major_context,2
hard_invalid,minor,minor_substructure_only,3
impulse,intermediate,intermediate_primary_candidate,4
impulse,major,degree_too_micro,4
impulse,minor,degree_too_micro,2
impulse,minor,minor_substructure_only,2
near_miss,intermediate,degree_not_discriminative,1
near_miss,intermediate,intermediate_primary_candidate,2
near_miss,major,degree_not_discriminative,1
near_miss,major,major_context,2
near_miss,minor,degree_too_micro,2
near_miss,minor,minor_substructure_only,1
partial_123,intermediate,degree_too_micro,2
partial_123,intermediate,intermediate_primary_candidate,2
partial_123,major,degree_not_discriminative,1
partial_123,major,major_operable_higher_degree,3
partial_123,minor,minor_substructure_only,4
