candidate_order,candidate_id,filename,chart_path,chart_path_absolute,review_category,symbol,timeframe,swing_degree,direction,prior_visual_status,prior_visual_quality_score,prior_degree_fit,prior_suggested_action,prior_notes,user_observation,issue_type,manual_assessment,recommended_action,rule_implication
1,impulse_forex_audjpy_h1_minor_impulse_013,001_impulse_forex_audjpy_h1_minor_impulse_013.png,charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,impulse,AUDJPY.r,H1,minor,bullish,plausible_but_needs_review,3,mixed,review_manually,"0-1-2-3-4 reads well, but the fifth looks premature.",La onda 5 termina un poco mas adelante.,premature_wave5_completion,downgrade,mark_as_premature_completion,El motor necesita distinguir impulso cerrado de wave_5_in_progress o cierre prematuro.
3,impulse_index_aus200_h1_minor_impulse_006,003_impulse_index_aus200_h1_minor_impulse_006.png,charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,impulse,AUS200,H1,minor,bearish,visually_forced,2,mixed,use_as_ambiguous_example,"Internal count is readable until wave 4, but wave 5 sits inside a larger bearish continuation.",La onda 5 termina pronto.,premature_wave5_completion,downgrade,degrade_to_ambiguous_or_negative,El cierre de onda 5 no debe darse por completo si el extremo estructural natural aparece despues.
5,impulse_forex_audjpy_h1_intermediate_impulse_009,005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,impulse,AUDJPY.r,H1,intermediate,bullish,visually_defensible,4,mixed,review_manually,"Valid visual count, but the early proportionality is a bit micro compared with the final leg.",Esta muy bien y corrige el problema del anterior.,good_reference,keep,keep_as_good_example,Este caso puede servir como referencia positiva para calibrar endpoint de onda 5 y escala intermediate.
7,impulse_index_aus200_h1_intermediate_impulse_004,007_impulse_index_aus200_h1_intermediate_impulse_004.png,charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,impulse,AUS200,H1,intermediate,bearish,plausible_but_needs_review,3,mixed,review_manually,"The 0-4 sequence is defensible, but wave 5 does not exhaust the later move.",No se ve realmente diferencia respecto al anterior en la construccion de ondas.,degree_not_discriminative,downgrade,flag_degree_calibration,El grado intermediate no debe replicar visualmente un minor sin aportar escala estructural.
8,impulse_forex_eurjpy_m30_intermediate_impulse_005,008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,impulse,EURJPY.r,M30,intermediate,bearish,visually_forced,2,mixed,use_as_ambiguous_example,"A bearish 1-2-3-4-5 can be seen, but the first leg and final low are weak visually.",La onda 5 deberia terminar en la bajada siguiente.,premature_wave5_completion,downgrade,degrade_to_ambiguous_or_negative,"Si el movimiento continua claramente en la misma direccion, el conteo no debe cerrar la onda 5 antes."
10,impulse_index_aus200_h1_major_impulse_002,010_impulse_index_aus200_h1_major_impulse_002.png,charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,impulse,AUS200,H1,major,bearish,likely_false_candidate,2,too_micro,use_as_negative_example,"Could be a smaller impulse, but as major it is visually incomplete.",Es major pero no se ve diferencia clara respecto a otros grados.,degree_not_discriminative,downgrade,flag_degree_calibration,El grado major necesita swings visiblemente mas amplios que minor/intermediate.
15,partial_123_index_aus200_h1_intermediate_partial123_001,015_partial_123_index_aus200_h1_intermediate_partial123_001.png,charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\015_partial_123_index_aus200_h1_intermediate_partial123_001.png,partial_123,AUS200,H1,intermediate,bullish,too_micro,2,too_micro,use_as_negative_example,Wave 3 barely exceeds wave 1 and price reverses strongly right after.,No es una onda 1-2-3 valida; los parciales deben dejar continuidad coherente hacia 4-5.,partial_123_too_lax,downgrade,degrade_partial_to_false_candidate,Un 1-2-3 no debe aceptarse solo por tres pivotes alternantes si no hay desplazamiento claro y continuidad.
17,partial_123_forex_audjpy_h1_minor_partial123_007,017_partial_123_forex_audjpy_h1_minor_partial123_007.png,charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\017_partial_123_forex_audjpy_h1_minor_partial123_007.png,partial_123,AUDJPY.r,H1,minor,bullish,ambiguous,2,mixed,use_as_ambiguous_example,"Fits minor degree, but lacks visual breakout after wave 2.",Esta mal.,partial_123_too_lax,downgrade,degrade_partial_to_false_candidate,Los parciales minor con escaso breakout tras onda 2 deben degradarse.
18,partial_123_metals_xagusd_h1_minor_partial123_002,018_partial_123_metals_xagusd_h1_minor_partial123_002.png,charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\partials\018_partial_123_metals_xagusd_h1_minor_partial123_002.png,partial_123,XAGUSD.r,H1,minor,bullish,visually_defensible,4,mixed,review_manually,"Good geometric 1-2-3, but not ideal as a clean continuation template.","Esta mal; parece mas bien onda 4 y 5 que 1-2-3, el 0 no empieza ahi y despues del 3 se cancelaria.",structure_belongs_to_prior_wave_45,downgrade,degrade_partial_to_false_candidate,El motor debe detectar si el supuesto 1-2-3 pertenece a una estructura previa o queda invalidado inmediatamente.
37,near_miss_forex_audjpy_h1_intermediate_impulse_011,037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_3_visual_review_2026-05-17\h1_m30\charts\impulses\037_near_miss_forex_audjpy_h1_intermediate_impulse_011.png,near_miss,AUDJPY.r,H1,intermediate,bullish,visually_defensible,4,good,use_as_ambiguous_example,Broad and legible count; good bullish near-miss due to truncation and fourth-wave overlap.,Mas o menos bien; revisar regla de onda 5 que no excede onda 3.,truncated_fifth_candidate,keep_with_caution,keep_as_near_miss_not_clean_impulse,"La onda 5 que no supera onda 3 puede existir como truncamiento, pero no debe ser impulso limpio."
