candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
1,impulse_forex_audjpy_h4_minor_impulse_005,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_forex_audjpy_h4_minor_impulse_005.png,Forex Majors,AUDJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_audjpy_h4_minor_impulse_005,forex_audjpy_h4,2025-12-17 00:00:00,2025-12-23 20:00:00
2,impulse_metals_xagusd_h4_minor_impulse_001,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_metals_xagusd_h4_minor_impulse_001.png,Metals,XAGUSD.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,metals_xagusd_h4_minor_impulse_001,metals_xagusd_h4,2025-12-09 00:00:00,2025-12-24 00:00:00
3,impulse_index_hk50_h4_minor_impulse_012,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_index_hk50_h4_minor_impulse_012.png,Index,HK50,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,index_hk50_h4_minor_impulse_012,index_hk50_h4,2025-12-29 16:00:00,2026-01-16 00:00:00
4,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,Forex Majors,EURJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_eurjpy_h4_minor_impulse_022,forex_eurjpy_h4,2026-01-28 12:00:00,2026-02-10 00:00:00
5,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,Forex Majors,EURUSD.r,H4,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_007,forex_eurusd_h4,2025-12-24 04:00:00,2026-01-19 00:00:00
6,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,Metals,XAGUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,metals_xagusd_h4_intermediate_impulse_007,metals_xagusd_h4,2025-12-31 20:00:00,2026-01-28 04:00:00
7,impulse_index_aus200_h4_intermediate_impulse_015,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_index_aus200_h4_intermediate_impulse_015.png,Index,AUS200,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,index_aus200_h4_intermediate_impulse_015,index_aus200_h4,2026-02-06 04:00:00,2026-02-27 08:00:00
8,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,Forex Majors,EURUSD.r,H4,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_eurusd_h4_intermediate_impulse_012,forex_eurusd_h4,2026-01-19 00:00:00,2026-01-29 08:00:00
9,impulse_forex_eurusd_h4_major_impulse_011,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_eurusd_h4_major_impulse_011,forex_eurusd_h4,2026-02-23 00:00:00,2026-03-09 04:00:00
10,impulse_metals_xpdusd_h4_major_impulse_001,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_metals_xpdusd_h4_major_impulse_001.png,Metals,XPDUSD,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,metals_xpdusd_h4_major_impulse_001,metals_xpdusd_h4,2025-12-08 00:00:00,2025-12-29 00:00:00
11,impulse_index_aus200_h4_major_impulse_013,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_index_aus200_h4_major_impulse_013.png,Index,AUS200,H4,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,index_aus200_h4_major_impulse_013,index_aus200_h4,2026-02-06 04:00:00,2026-02-27 08:00:00
12,impulse_forex_gbpusd_h4_major_impulse_012,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_forex_gbpusd_h4_major_impulse_012.png,Forex Majors,GBPUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,forex_gbpusd_h4_major_impulse_012,forex_gbpusd_h4,2026-02-09 20:00:00,2026-03-03 16:00:00
13,partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,visually_good_partial_123,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,Forex Majors,AUDJPY.r,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,,partial_impulses,forex_audjpy_h4_intermediate_partial123_002,forex_audjpy_h4,2025-12-10 08:00:00,2025-12-17 00:00:00
