candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path,manual_visual_status,visual_quality_score,degree_policy,wave5_diagnostic,partial123_diagnostic,final_phase23_decision,reviewed_chart_path,d1_context_usefulness,ema_context_usefulness,ewo_context_usefulness,context_changes_phase23_reading,user_review_priority,suggested_action,context_notes,phase,context_source_dir,phase23_closure_dir,source_context_chart_path,reviewed_context_chart_path,context_review_status,ema_usefulness,ewo_usefulness,htf_usefulness,quality_filter_candidate,phase25_rule_candidate,context_notes_integrated,context_rule_safety_note,must_user_review,visual_review_status,htf_ltf_context_usefulness,likely_problem_if_any,visual_notes,ewo_rule_assessment,aux_notes,auxiliary_policy
impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse_diagnostics,forex_eurjpy_h4_minor_impulse_022,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,strict_candidate_impulse,full_impulse_12345,22.0,27.0,2026-01-28 12:00:00,2026-02-10 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,4,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.9125142857143088,-0.0924714285714003,positive,D1,2026-02-09,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,plausible_but_needs_review,2,minor_substructure_only,endpoint_uncertain,not_applicable,keep_as_ambiguous_example,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,partially_useful,partially_useful,useful_for_wave_role,flags_transition,medium,keep_as_ambiguous_example,Completes near a top before sharp selloff; context warns against treating it as fresh continuation.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,context_should_not_rescue_count,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,no_context_only,do_not_use_as_rule,"EMAs/D1 confirman, pero la estructura es local y luego gira fuerte. El contexto puede dar falsa seguridad.",Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
impulse_forex_eurusd_h4_major_impulse_011,impulse,impulse_diagnostics,forex_eurusd_h4_major_impulse_011,forex_eurusd_h4,Forex Majors,EURUSD.r,H4,major,bearish,strict_candidate_impulse,full_impulse_12345,11.0,16.0,2026-02-23 00:00:00,2026-03-09 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,9,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.0083188571428574,-0.0010535714285717,negative,D1,2026-03-06,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,visually_forced,2,degree_too_micro,endpoint_uncertain,not_applicable,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\009_impulse_forex_eurusd_h4_major_impulse_011.png,conflict_explains_case,useful,useful_for_wave_role,flags_transition,high,inspect_manually_before_phase_2_5,Local bearish count has EMA/EWO support but conflicts with bullish D1; transition/correction candidate.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\impulses\009_impulse_forex_eurusd_h4_major_impulse_011.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png,context_should_not_rescue_count,useful_trend_context,useful_for_momentum_phase,useful_correction_context,no_context_only,do_not_use_as_rule,"H4 bajista y EWO bajista explican el tramo, pero 2.3.4 lo excluyo por forma/grado. No rescatar.",Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
partial_123_forex_audjpy_h4_intermediate_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,partial_123_candidate,partial_impulse_123,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,13,correction_against_htf,35,HTF conflicts with candidate direction; EWO 5-35 confirms direction,False,False,True,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=flat_or_unknown,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,mixed_or_unclear,bullish_alignment,below_band,no_transition,-0.8071285714285636,-0.089985714285703,negative,D1,2025-12-16,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,should_downgrade,2,degree_too_micro,not_applicable,invalidated_after_3,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,conflict_explains_case,misleading,useful_for_momentum_only,downgrades_confidence,high,do_not_use_for_rules,Bearish partial occurs against bullish D1 and broader rising structure; EWO only captures pullback momentum.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\013_partial_123_forex_audjpy_h4_intermediate_partial123_002.png,context_should_not_rescue_count,neutral,useful_for_momentum_phase,useful_correction_context,no_too_noisy,do_not_use_as_rule,"Parcial bajista pequeno contra D1 alcista y luego absorbido. EWO confirma bajada local, pero no lo salva.",Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
partial_123_forex_audjpy_h4_intermediate_partial123_005,partial_123,partial_impulses,forex_audjpy_h4_intermediate_partial123_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,partial_123_candidate,partial_impulse_123,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,16,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.572100000000006,0.2291142857143029,positive,D1,2026-01-06,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,should_downgrade,2,intermediate_primary_candidate,not_applicable,partial_123_too_lax,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,useful,useful,useful_for_wave_role,confirms,low,keep_as_good_example,Bullish partial aligns with D1 and EWO supports developing impulse.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\016_partial_123_forex_audjpy_h4_intermediate_partial123_005.png,context_should_not_rescue_count,useful_quality_filter,useful_for_wave_role,useful_regime_filter,no_context_only,do_not_use_as_rule,"Contexto lo haria parecer bueno, pero 2.3.4 lo excluyo. Caso clave: EMAs/EWO/D1 no deben rescatar por si solos.",Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
partial_123_forex_audjpy_h4_minor_partial123_002,partial_123,partial_impulses,forex_audjpy_h4_minor_partial123_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,partial_123_candidate,partial_impulse_123,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,17,correction_against_htf,35,HTF conflicts with candidate direction; EWO 5-35 confirms direction,False,False,True,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=flat_or_unknown,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,mixed_or_unclear,bullish_alignment,below_band,no_transition,-0.8071285714285636,-0.089985714285703,negative,D1,2025-12-16,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,should_downgrade,2,minor_substructure_only,not_applicable,invalidated_after_3,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,conflict_explains_case,misleading,useful_for_momentum_only,reframes_as_correction,high,do_not_use_for_rules,Minor bearish partial is better read as pullback inside bullish D1.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\017_partial_123_forex_audjpy_h4_minor_partial123_002.png,context_should_not_rescue_count,neutral,useful_for_momentum_phase,useful_correction_context,no_too_noisy,do_not_use_as_rule,"Muy parecido al 13 pero mas minor. Sirve como correccion local, no como partial util para metodologia.",Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
partial_123_index_aus200_h4_major_partial123_006,partial_123,partial_impulses,index_aus200_h4_major_partial123_006,index_aus200_h4,Index,AUS200,H4,major,bearish,partial_123_candidate,partial_impulse_123,6.0,9.0,2025-12-23 12:00:00,2026-01-07 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,23,conflict_with_htf,0,HTF conflicts with candidate direction,False,False,True,True,False,False,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=inside_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,inside_band,no_transition,-12.8799999999992,2.022857142856082,negative,D1,2026-01-06,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,not_usable_for_methodology,1,degree_not_discriminative,not_applicable,invalidated_after_3,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\023_partial_123_index_aus200_h4_major_partial123_006.png,conflict_suspicious,partially_useful,useful_for_momentum_only,downgrades_confidence,high,do_not_use_for_rules,D1/EMAs remain bullish while bearish 0-1-2-3 is flat and forced.,h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\partials\023_partial_123_index_aus200_h4_major_partial123_006.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\023_partial_123_index_aus200_h4_major_partial123_006.png,context_should_not_rescue_count,partially_useful,noisy,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,Correctamente excluido: conflicto HTF y estructura debil. El contexto no lo rescata.,Context can explain the move but must not rescue a downgraded/excluded/invalid count.,no,,,,,,,
abc_metals_xagusd_h4_abc_003,abc,candidate_counts,metals_xagusd_h4_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,26,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,6.320371428571434,1.5703428571428617,positive,D1,2025-12-26,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,not_usable_for_methodology,2,intermediate_primary_candidate,not_applicable,not_applicable,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\026_abc_metals_xagusd_h4_abc_003.png,useful,useful,useful_for_momentum_only,misleading_if_used_as_filter,high,keep_as_ambiguous_example,"Bullish context is real, but ABC overlays are dense and forced.",h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\026_abc_metals_xagusd_h4_abc_003.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\026_abc_metals_xagusd_h4_abc_003.png,context_should_not_rescue_count,misleading,misleading,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,ABC legacy con maraña/duplicados. Contexto alcista no debe rescatarlo.,"ABC legacy/integrated view remains experimental; use the ABC fix line, not this gallery, for ABC methodology.",no,,,,,,,
abc_forex_audjpy_h4_abc_005,abc,candidate_counts,forex_audjpy_h4_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,28,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.572100000000006,0.2291142857143029,positive,D1,2026-01-06,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,not_usable_for_methodology,2,intermediate_primary_candidate,not_applicable,not_applicable,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\028_abc_forex_audjpy_h4_abc_005.png,useful,useful,useful_for_momentum_only,misleading_if_used_as_filter,high,keep_as_ambiguous_example,"Bullish regime supports direction, but multiple ABC paths share pivots.",h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\028_abc_forex_audjpy_h4_abc_005.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\028_abc_forex_audjpy_h4_abc_005.png,context_should_not_rescue_count,misleading,misleading,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,ABC muy sobrepuesto. Contexto fuerte alcista no arregla la mala geometria.,"ABC legacy/integrated view remains experimental; use the ABC fix line, not this gallery, for ABC methodology.",no,,,,,,,
abc_forex_audjpy_h4_abc_009,abc,candidate_counts,forex_audjpy_h4_abc_009,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,9.0,12.0,2025-12-23 04:00:00,2025-12-29 04:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,30,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7406000000000006,-0.0297571428571359,positive,D1,2025-12-26,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,not_usable_for_methodology,2,minor_substructure_only,not_applicable,not_applicable,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\030_abc_forex_audjpy_h4_abc_009.png,useful,useful,useful_for_momentum_only,misleading_if_used_as_filter,high,keep_as_ambiguous_example,"Trend context is supportive, but ABCs overlap across the same rising leg.",h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\030_abc_forex_audjpy_h4_abc_009.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\030_abc_forex_audjpy_h4_abc_009.png,context_should_not_rescue_count,misleading,misleading,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,ABC legacy saturado; no rescatable.,"ABC legacy/integrated view remains experimental; use the ABC fix line, not this gallery, for ABC methodology.",no,,,,,,,
abc_forex_eurjpy_h4_abc_004,abc,candidate_counts,forex_eurjpy_h4_abc_004,forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,minor,bullish,candidate_abc,abc,4.0,7.0,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,visually_good_abc,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,31,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.7331571428571806,0.4858714285714427,positive,D1,2025-12-19,bullish_alignment,bullish_alignment,above_band,no_transition,True,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,not_usable_for_methodology,2,minor_substructure_only,not_applicable,not_applicable,exclude_from_phase25_rules,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\031_abc_forex_eurjpy_h4_abc_004.png,useful,partially_useful,useful_for_momentum_only,misleading_if_used_as_filter,high,keep_as_ambiguous_example,"Bullish context helps direction, but several ABCs compete for the same pivots.",h4_d1_main,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23,artifacts\wavecount\phase2_4_context_2026-05-18\h4_d1\charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\031_abc_forex_eurjpy_h4_abc_004.png,context_should_not_rescue_count,noisy,noisy,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,ABC en lateralidad/solapes; experimental.,"ABC legacy/integrated view remains experimental; use the ABC fix line, not this gallery, for ABC methodology.",no,,,,,,,
