candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path,visual_review_status,visual_quality_score,ema_context_usefulness,ewo_context_usefulness,htf_ltf_context_usefulness,likely_problem_if_any,suggested_action,visual_notes,ewo_rule_assessment,phase,source_context_chart_path,reviewed_context_chart_path,context_review_status,ema_usefulness,ewo_usefulness,htf_usefulness,quality_filter_candidate,phase25_rule_candidate,aux_notes,auxiliary_policy
impulse_forex_audjpy_h1_minor_impulse_013,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_013,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-06 16:00:00,2026-03-11 07:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,1,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,1.0145285714285563,0.3726999999999947,positive,H4,2026-03-11 00:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,visually_defensible,5,useful,useful_for_wave_role,useful,wave 5 may be the strongest leg instead of wave 3,keep_as_good_example,Natural bullish 1-2-3-4-5 after EMA compression; 3 and 5 ride above EMA50/150 and HTF agrees. Count is defensible but the final high looks more like the momentum climax than a clean weaker fifth.,usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\001_impulse_forex_audjpy_h1_minor_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\001_impulse_forex_audjpy_h1_minor_impulse_013.png,context_confirms_good_count,useful_trend_context,useful_for_wave_role,useful_regime_filter,yes_but_needs_manual_validation,htf_alignment_soft_filter,Natural bullish 1-2-3-4-5 after EMA compression; 3 and 5 ride above EMA50/150 and HTF agrees. Count is defensible but the final high looks more like the momentum climax than a clean weaker fifth.,H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_metals_xagusd_h1_minor_impulse_019,impulse,impulse_diagnostics,metals_xagusd_h1_minor_impulse_019,metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,19.0,24.0,2026-03-10 05:00:00,2026-03-12 03:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,2,conflict_with_htf,0,HTF conflicts with candidate direction,False,False,True,True,False,True,False,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=inside_band|transition=no_transition|ewo=positive,mixed_or_unclear,bullish_alignment,below_band,no_transition,-1.8825000000000076,0.180499999999995,negative,H4,2026-03-11 20:00:00,mixed_or_unclear,bullish_alignment,inside_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,visually_forced,2,partially_useful,unclear,conflict_suspicious,labels compress a choppy pullback into five waves,use_as_negative_example,Bearish count sits inside noisy sideways decline after a bullish rebound; 0-2 are crowded and 3-5 do not separate cleanly. EMA context is bearish locally but HTF conflict and weak structure make it poor for rules.,too_noisy,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\002_impulse_metals_xagusd_h1_minor_impulse_019.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\002_impulse_metals_xagusd_h1_minor_impulse_019.png,context_should_not_rescue_count,partially_useful,noisy,misleading_if_hard_filter,no_misleading,do_not_use_as_rule,Bearish count sits inside noisy sideways decline after a bullish rebound; 0-2 are crowded and 3-5 do not separate cleanly. EMA context is bearish locally but HTF conflict and weak structure make it poor for rules.,H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_index_aus200_h1_minor_impulse_006,impulse,impulse_diagnostics,index_aus200_h1_minor_impulse_006,index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,6.0,11.0,2026-03-02 07:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,3,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,visually_defensible,4,useful,useful_for_wave_role,conflict_explains_case,HTF bullish conflict makes it a countertrend impulse,possible_rule_candidate,The bearish 1-2-3-4-5 is visually coherent: wave 3 is the sharp break under both EMAs and wave 5 extends lower. Context says correction against HTF rather than clean trend continuation.,usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\003_impulse_index_aus200_h1_minor_impulse_006.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\003_impulse_index_aus200_h1_minor_impulse_006.png,context_confirms_good_count,useful_trend_context,useful_for_divergence_or_wave5_loss,useful_transition_context,yes_but_needs_manual_validation,htf_alignment_soft_filter,The bearish 1-2-3-4-5 is visually coherent: wave 3 is the sharp break under both EMAs and wave 5 extends lower. Context says correction against HTF rather than clean trend continuation.,H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_forex_audjpy_h1_minor_impulse_015,impulse,impulse_diagnostics,forex_audjpy_h1_minor_impulse_015,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,15.0,20.0,2026-03-09 02:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,4,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7761857142856883,-0.0133857142857323,positive,H4,2026-03-11 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,visually_defensible,5,useful,useful_for_wave_role,useful,minor ambiguity between wave 3 and extended wave 5,keep_as_good_example,"Best AUDJPY minor example in this block: 0-1-2 launches from basing area, wave 3 breaks trend cleanly and 4 is shallow. EMAs and HTF support the bullish reading.",usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\004_impulse_forex_audjpy_h1_minor_impulse_015.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\004_impulse_forex_audjpy_h1_minor_impulse_015.png,context_confirms_good_count,useful_trend_context,useful_for_wave_role,useful_regime_filter,yes_but_needs_manual_validation,htf_alignment_soft_filter,"Best AUDJPY minor example in this block: 0-1-2 launches from basing area, wave 3 breaks trend cleanly and 4 is shallow. EMAs and HTF support the bullish reading.",H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_forex_audjpy_h1_intermediate_impulse_009,impulse,impulse_diagnostics,forex_audjpy_h1_intermediate_impulse_009,forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-06 16:00:00,2026-03-11 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,5,impulse_with_htf,65,HTF aligned with candidate direction; LTF EMA alignment matches candidate,True,True,False,False,False,True,False,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,0.7761857142856883,-0.0133857142857323,positive,H4,2026-03-11 12:00:00,bullish_alignment,bullish_alignment,above_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,visually_defensible,4,useful,useful_for_wave_role,useful,intermediate scale may overmerge minor swings,keep_as_good_example,"Same rally works at intermediate scale, with a reasonable 1-2 base and strong continuation to 5. EWO is positive through the advance, though the strongest oscillator reading arrives late.",usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\005_impulse_forex_audjpy_h1_intermediate_impulse_009.png,context_confirms_good_count,useful_trend_context,useful_for_wave_role,useful_regime_filter,yes_but_needs_manual_validation,htf_alignment_soft_filter,"Same rally works at intermediate scale, with a reasonable 1-2 base and strong continuation to 5. EWO is positive through the advance, though the strongest oscillator reading arrives late.",H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_metals_xauusd_h1_intermediate_impulse_013,impulse,impulse_diagnostics,metals_xauusd_h1_intermediate_impulse_013,metals_xauusd_h1,Metals,XAUUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,13.0,18.0,2026-03-11 04:00:00,2026-03-16 02:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,6,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-71.63942857142865,-7.734142857142615,negative,H4,2026-03-13 20:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,plausible_but_needs_review,4,useful,useful_for_wave_role,conflict_explains_case,wave 4 to 5 spans too much later chop,inspect_manually_before_phase_2_5,"Bearish direction is supported by EMAs and later price action, but the fifth is selected far after the first decline and feels stitched across congestion. Useful as a counter-HTF case, not a clean template.",promising_but_needs_review,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\006_impulse_metals_xauusd_h1_intermediate_impulse_013.png,context_explains_ambiguity,useful_trend_context,useful_for_wave_role,useful_transition_context,no_context_only,htf_alignment_soft_filter,"Bearish direction is supported by EMAs and later price action, but the fifth is selected far after the first decline and feels stitched across congestion. Useful as a counter-HTF case, not a clean template.",H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_index_aus200_h1_intermediate_impulse_004,impulse,impulse_diagnostics,index_aus200_h1_intermediate_impulse_004,index_aus200_h1,Index,AUS200,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,4.0,9.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,7,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,plausible_but_needs_review,4,useful,useful_for_wave_role,conflict_explains_case,0-1-2 placement is visually awkward,possible_rule_candidate,"The major drop into wave 3 is convincing and EWO goes deeply negative, but the first two waves are cramped around the top. Keep for review as a bearish correction against bullish HTF.",promising_but_needs_review,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\007_impulse_index_aus200_h1_intermediate_impulse_004.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\007_impulse_index_aus200_h1_intermediate_impulse_004.png,context_explains_ambiguity,useful_trend_context,useful_for_wave_role,useful_transition_context,no_context_only,htf_alignment_soft_filter,"The major drop into wave 3 is convincing and EWO goes deeply negative, but the first two waves are cramped around the top. Keep for review as a bearish correction against bullish HTF.",H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_forex_eurjpy_m30_intermediate_impulse_005,impulse,impulse_diagnostics,forex_eurjpy_m30_intermediate_impulse_005,forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,5.0,10.0,2026-03-11 07:00:00,2026-03-16 00:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,8,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-0.3852857142857431,-0.0864857142857431,negative,H1,2026-03-13 23:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,plausible_but_needs_review,4,useful,useful_for_wave_role,useful,wave 5 is delayed after a broad corrective stretch,possible_rule_candidate,"Bearish count is mostly natural: wave 3 is the momentum break below EMAs and 4 is a clear rebound. The fifth low is distant and lower-momentum, which is plausible Elliott behavior but needs manual acceptance.",usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\008_impulse_forex_eurjpy_m30_intermediate_impulse_005.png,context_explains_ambiguity,useful_trend_context,useful_for_wave_role,useful_regime_filter,no_too_noisy,do_not_use_as_rule,"Bearish count is mostly natural: wave 3 is the momentum break below EMAs and 4 is a clear rebound. The fifth low is distant and lower-momentum, which is plausible Elliott behavior but needs manual acceptance.",H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_metals_xagusd_h1_major_impulse_009,impulse,impulse_diagnostics,metals_xagusd_h1_major_impulse_009,metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,9.0,14.0,2026-03-10 05:00:00,2026-03-16 13:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,9,impulse_with_htf,85,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=mixed_or_unclear|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-2.5704142857142784,-0.4056142857142788,negative,H4,2026-03-16 08:00:00,bearish_alignment,bearish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,plausible_but_needs_review,4,useful,useful_for_wave_role,useful,wave 3 and 5 are visually separated by noisy consolidation,possible_rule_candidate,Large bearish structure is coherent and aligned with EMA/HTF context. It is less clean than AUS200 because the middle segment contains overlapping chop before the final low.,promising_but_needs_review,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\009_impulse_metals_xagusd_h1_major_impulse_009.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\009_impulse_metals_xagusd_h1_major_impulse_009.png,context_explains_ambiguity,useful_trend_context,useful_for_wave_role,useful_regime_filter,no_context_only,htf_alignment_soft_filter,Large bearish structure is coherent and aligned with EMA/HTF context. It is less clean than AUS200 because the middle segment contains overlapping chop before the final low.,H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
impulse_index_aus200_h1_major_impulse_002,impulse,impulse_diagnostics,index_aus200_h1_major_impulse_002,index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,2.0,7.0,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,10,correction_against_htf,60,HTF conflicts with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,False,False,True,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bearish_alignment|band=below_band|transition=no_transition|ewo=negative,trend=mixed_or_unclear|band=below_band|transition=no_transition|ewo=negative,bearish_alignment,bearish_alignment,below_band,no_transition,-106.70428571428602,-49.2814285714303,negative,H4,2026-03-05 16:00:00,mixed_or_unclear,bullish_alignment,below_band,no_transition,True,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,visually_defensible,4,useful,useful_for_wave_role,conflict_explains_case,HTF conflict means it should be labelled countertrend,possible_rule_candidate,Good bearish five-wave candidate: sharp wave 3 visible wave 4 rebound and lower wave 5. The oscillator supports bearish momentum but HTF bullish context should prevent treating it as a clean aligned setup.,usable_soft_rule,auxiliary_h1_h4_m30_h1,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_context_2026-05-18\h1_m30\charts\impulses\010_impulse_index_aus200_h1_major_impulse_002.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\auxiliary_h1_h4_m30_h1\010_impulse_index_aus200_h1_major_impulse_002.png,context_confirms_good_count,useful_trend_context,useful_for_divergence_or_wave5_loss,useful_transition_context,yes_but_needs_manual_validation,htf_alignment_soft_filter,Good bearish five-wave candidate: sharp wave 3 visible wave 4 rebound and lower wave 5. The oscillator supports bearish momentum but HTF bullish context should prevent treating it as a clean aligned setup.,H1/H4 can refine H4/D1; M30/H1 is microstructure/failure-bank only.
