candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,phase,fixed_chart_path,abc_interpretation,scope,source_chart_path,reviewed_chart_path,abc_visual_status,abc_quality_score,abc_state_interpretation,causality_status,context_usefulness,phase25_abc_policy,policy_bucket,visual_notes,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,last_structural_detected_at,plot_ready,diagnostic_note,count_detected_at_available,causality_basis,should_user_review,status,error,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,fixed_context_chart_path
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h4,charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Limpio geometricamente, pero parece arranque impulsivo alcista; C es demasiado expansiva para lectura correctiva limpia.",4,0|A|B|C,0|1|2|3,True,True,2025-12-29 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_intermediate_abc_005,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,28,h4,charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,Se lee mas como 1-2-3 alcista que como correccion ABC limpia.,4,0|A|B|C,0|1|2|3,True,True,2026-01-07 16:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_minor_abc_003,abc,candidate_counts,metals_xagusd_h4_minor_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-24 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,30,h4,charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_030_abc_metals_xagusd_h4_minor_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Demasiado micro; B/C no construyen una correccion clara.,4,0|A|B|C,0|1|2|3,True,True,2025-12-24 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_index_aus200_h4_minor_abc_005,abc,candidate_counts,index_aus200_h4_minor_abc_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-18 00:00:00,2025-12-23 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,31,h4,charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_031_abc_index_aus200_h4_minor_abc_005.png,visually_forced_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Parece tramo impulsivo inicial, no ABC; A/B pequenos y C tipo spike.",4,0|A|B|C,0|1|2|3,True,True,2025-12-24 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_minor_abc_005,abc,candidate_counts,forex_audjpy_h4_minor_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,32,h4,charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_032_abc_forex_audjpy_h4_minor_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Muy micro y con C expansiva; mas 1-2-3 que correccion.,4,0|A|B|C,0|1|2|3,True,True,2025-12-22 20:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_major_abc_003,abc,candidate_counts,metals_xagusd_h4_major_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-31 20:00:00,2026-01-20 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,34,h4,charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_034_abc_metals_xagusd_h4_major_abc_003.png,not_clean_abc,3,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Ordenado, pero C parece continuacion impulsiva antes del blow-off.",4,0|A|B|C,0|1|2|3,True,True,2026-01-21 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_forex_audjpy_h4_major_abc_005,abc,candidate_counts,forex_audjpy_h4_major_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,5.0,8.0,2026-01-02 00:00:00,2026-01-23 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,36,h4,charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_036_abc_forex_audjpy_h4_major_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_036_abc_forex_audjpy_h4_major_abc_005.png,not_clean_abc,3,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Estructura grande y clara, pero se lee mas como impulso alcista que ABC.",4,0|A|B|C,0|1|2|3,True,True,2026-01-23 20:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,901,h4,charts\after_phase2_3\focus_cases\h4_metals_xagusd_h4_intermediate_abc_003.png,,focus_case,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\focus_cases\h4_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\focus_h4_metals_xagusd_h4_intermediate_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Focus H4 corregido de dibujo, pero no usable como ABC limpio: parece tramo impulsivo alcista.",4,0|A|B|C,0|1|2|3,True,True,2025-12-29 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,,,,phase2_4_context,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_4\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\context_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,context_misleading,keep_experimental,experimental,"Contexto alcista lo hace tentador, pero no valida que sea correccion; parece continuacion impulsiva.",4,0|A|B|C,0|1|2|3,True,True,2025-12-29 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; D1 context uses htf_lookahead_safe from phase2_4_abc_fixed_context.,yes,,,impulse_with_htf,85.0,HTF aligned with candidate direction; LTF EMA alignment matches candidate; EWO 5-35 confirms direction,True,True,False,False,False,True,True,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,above_band,no_transition,6.320371428571434,1.5703428571428617,positive,D1,2025-12-26,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\after_phase2_4\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,abc,candidate_counts,index_aus200_h4_intermediate_abc_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,candidate_abc,abc,6.0,9.0,2025-12-23 12:00:00,2026-01-07 16:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,27,,,,phase2_4_context,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_4\h4_027_abc_index_aus200_h4_intermediate_abc_006.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\context_h4_027_abc_index_aus200_h4_intermediate_abc_006.png,not_clean_abc,2,ambiguous_correction,causal_with_confirmation_latency,context_flags_transition,exclude_from_phase25,excluded_from_phase25,Muy comprimido dentro de banda EMA. El desplome posterior no debe rescatarlo.,4,0|A|B|C,0|1|2|3,True,True,2026-01-08 04:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; D1 context uses htf_lookahead_safe from phase2_4_abc_fixed_context.,yes,,,conflict_with_htf,0.0,HTF conflicts with candidate direction,False,False,True,True,False,False,False,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,trend=bullish_alignment|band=inside_band|transition=no_transition|ewo=negative,trend=bullish_alignment|band=above_band|transition=no_transition|ewo=positive,bullish_alignment,bullish_alignment,inside_band,no_transition,-12.8799999999992,2.022857142856082,negative,D1,2026-01-06,bullish_alignment,bullish_alignment,above_band,no_transition,True,charts\after_phase2_4\h4_027_abc_index_aus200_h4_intermediate_abc_006.png
