candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order,phase,fixed_chart_path,abc_interpretation,scope,source_chart_path,reviewed_chart_path,abc_visual_status,abc_quality_score,abc_state_interpretation,causality_status,context_usefulness,phase25_abc_policy,policy_bucket,visual_notes,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,last_structural_detected_at,plot_ready,diagnostic_note,count_detected_at_available,causality_basis,should_user_review,status,error
abc_forex_audjpy_h4_intermediate_abc_002,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bearish,candidate_abc,abc,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,25,h4,charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png,clean_abc,4,abc_completed,causal_with_confirmation_latency,no_context_available,usable_as_soft_context,soft_context_candidate,Mejor ejemplo H4 sin indicadores: zigzag bajista pequeno pero legible dentro de una estructura alcista posterior.,4,0|A|B|C,0|1|2|3,True,True,2025-12-17 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_metals_xagusd_h4_intermediate_abc_003,abc,candidate_counts,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,intermediate,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-29 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,26,h4,charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Limpio geometricamente, pero parece arranque impulsivo alcista; C es demasiado expansiva para lectura correctiva limpia.",4,0|A|B|C,0|1|2|3,True,True,2025-12-29 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_index_aus200_h4_intermediate_abc_006,abc,candidate_counts,index_aus200_h4_intermediate_abc_006,index_aus200_h4,Index,AUS200,H4,intermediate,bearish,candidate_abc,abc,6.0,9.0,2025-12-23 12:00:00,2026-01-07 16:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,27,h4,charts\after_phase2_3\h4_027_abc_index_aus200_h4_intermediate_abc_006.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_027_abc_index_aus200_h4_intermediate_abc_006.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_027_abc_index_aus200_h4_intermediate_abc_006.png,ambiguous_correction,3,ambiguous_correction,causal_with_confirmation_latency,no_context_available,usable_only_manual_review,manual_review_only,"Temporalmente limpio, pero lateral/comprimido; C apenas mejora A.",4,0|A|B|C,0|1|2|3,True,True,2026-01-08 04:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,no,,
abc_forex_audjpy_h4_intermediate_abc_005,abc,candidate_counts,forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,intermediate,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2026-01-07 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,28,h4,charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,Se lee mas como 1-2-3 alcista que como correccion ABC limpia.,4,0|A|B|C,0|1|2|3,True,True,2026-01-07 16:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_forex_audjpy_h4_minor_abc_002,abc,candidate_counts,forex_audjpy_h4_minor_abc_002,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bearish,candidate_abc,abc,2.0,5.0,2025-12-10 08:00:00,2025-12-17 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,29,h4,charts\after_phase2_3\h4_029_abc_forex_audjpy_h4_minor_abc_002.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_029_abc_forex_audjpy_h4_minor_abc_002.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_029_abc_forex_audjpy_h4_minor_abc_002.png,plausible_abc,3,abc_completed,causal_with_confirmation_latency,no_context_available,usable_only_manual_review,manual_review_only,"Mismo patron que el mejor H4, pero en minor; util como subestructura auxiliar.",4,0|A|B|C,0|1|2|3,True,True,2025-12-17 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,no,,
abc_metals_xagusd_h4_minor_abc_003,abc,candidate_counts,metals_xagusd_h4_minor_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,minor,bullish,candidate_abc,abc,3.0,6.0,2025-12-19 04:00:00,2025-12-24 00:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,30,h4,charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_030_abc_metals_xagusd_h4_minor_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_030_abc_metals_xagusd_h4_minor_abc_003.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Demasiado micro; B/C no construyen una correccion clara.,4,0|A|B|C,0|1|2|3,True,True,2025-12-24 12:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_index_aus200_h4_minor_abc_005,abc,candidate_counts,index_aus200_h4_minor_abc_005,index_aus200_h4,Index,AUS200,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-18 00:00:00,2025-12-23 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,31,h4,charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_031_abc_index_aus200_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_031_abc_index_aus200_h4_minor_abc_005.png,visually_forced_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,"Parece tramo impulsivo inicial, no ABC; A/B pequenos y C tipo spike.",4,0|A|B|C,0|1|2|3,True,True,2025-12-24 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_forex_audjpy_h4_minor_abc_005,abc,candidate_counts,forex_audjpy_h4_minor_abc_005,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,minor,bullish,candidate_abc,abc,5.0,8.0,2025-12-17 00:00:00,2025-12-22 08:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,32,h4,charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_032_abc_forex_audjpy_h4_minor_abc_005.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_032_abc_forex_audjpy_h4_minor_abc_005.png,not_clean_abc,2,not_clean_abc,causal_with_confirmation_latency,no_context_available,exclude_from_phase25,excluded_from_phase25,Muy micro y con C expansiva; mas 1-2-3 que correccion.,4,0|A|B|C,0|1|2|3,True,True,2025-12-22 20:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
abc_forex_audjpy_h4_major_abc_003,abc,candidate_counts,forex_audjpy_h4_major_abc_003,forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-17 00:00:00,2026-01-14 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,33,h4,charts\after_phase2_3\h4_033_abc_forex_audjpy_h4_major_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_033_abc_forex_audjpy_h4_major_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_033_abc_forex_audjpy_h4_major_abc_003.png,ambiguous_correction,3,ambiguous_correction,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Limpio geometricamente, pero semanticamente parece continuacion alcista.",4,0|A|B|C,0|1|2|3,True,True,2026-01-14 16:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,no,,
abc_metals_xagusd_h4_major_abc_003,abc,candidate_counts,metals_xagusd_h4_major_abc_003,metals_xagusd_h4,Metals,XAGUSD.r,H4,major,bullish,candidate_abc,abc,3.0,6.0,2025-12-31 20:00:00,2026-01-20 12:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,,34,h4,charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,candidate_abc_visual_review_only,phase2_3_fixed,artifacts\wavecount\phase2_abc_fix_2026-05-20\charts\after_phase2_3\h4_034_abc_metals_xagusd_h4_major_abc_003.png,artifacts\wavecount\phase2_4_3_abc_quality_audit_2026-05-23\charts\reviewed\h4_h4_034_abc_metals_xagusd_h4_major_abc_003.png,not_clean_abc,3,not_clean_abc,causal_with_confirmation_latency,no_context_available,keep_experimental,experimental,"Ordenado, pero C parece continuacion impulsiva antes del blow-off.",4,0|A|B|C,0|1|2|3,True,True,2026-01-21 00:00:00,True,,False,last_structural_detected_at from corrected ABC diagnostics; no explicit count_detected_at column exported by phase2_abc_fix.,yes,,
